species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,Ci:MN,Ci:SLP,Ci:SD,Ci:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,Leaf_1,1,1537288012,0,20180918 11:26:52,11:26:52,1537288012,0.002469699,23.72584644,383.209,138.0903576,13.62591123,37.8127185,0.162661259,3.422391789,0.158485156,0.099419499,129.9145647,25.54216817,24.9975,3.179203697,51.46699753,1.679409686,3.263080744,1.499794011,-108.9137096,80.72224394,4.999986785,106.7230858,-0.040900493,0.045914387,3.436387685,5,2,1,0,52424.63455,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-206-20180918-11_26_54,264.2161923,382.431,0.309114083,0.5,673.2006007,23.72584644,104.047893,0.592606248,0.037097631,0.562658362,DARK-207-20180918-11_26_55,155.8,226.631,0.521617994,0.487038517,0.474398764,0.463379488,206,300,300,300,7154.57,369.068,-0.00535918,0.578033,800.01,673.2006007,0.841490232,0.192980465,1537288012,383.209,400.11,17.0198,15.3568,200.286,98.474,0.199879,25.435,24.9975,999.9,0,0,10016.2,0,6.2492,800.01,0.950013,0.0499867,0,264.081,4.99951,2583.95,7182.49,39.625,42.562,41.312,42.625,42.562,755.27,39.74,0,1537288014,264.2161923,-0.685846158,-13.43008548,2585.635769,15,1537288035,11:27:14,2,0.577,0.111,400,15,0.11,0.06,140.0063592,-64.81837968,3.600537675,1,1,1,1-Jan,1.87845,1.88368,1.88145,1.87865,1.87837,1.88057,1.87954,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.577,0.111,2,170.793,470.504,23.0672,26.4087,30,26.4108,26.3404,14.6138,30.3754,21.1541,23.0649,400,15.3569,99.6082,100.118
ME034,Leaf_1,2,1537288124,111.5,20180918 11:28:43,11:28:43,1537288124,0.002479285,20.7650769,285.407,76.19762951,7.519260945,28.16425816,0.165978873,3.416342953,0.161625656,0.101397645,129.9177566,25.50760413,24.9558,3.17130826,52.04232614,1.694896117,3.256764719,1.476412143,-109.3364803,82.25562817,5.102079391,107.9389839,-0.04080919,0.04581189,3.430307605,6,3,1,0,52318.26622,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-208-20180918-11_28_45,254.3687308,365.376,0.303816532,0.5,673.2174007,20.7650769,102.267288,0.582895428,0.032698765,0.635600039,DARK-209-20180918-11_28_47,152.4,212.976,0.521219617,0.521626921,0.478204039,0.500106928,208,300,300,300,7154.65,354.156,-0.00535927,0.819,800.03,673.2174007,0.841490195,0.19298039,1537288124,285.407,300.126,17.1755,15.5052,200.153,98.4811,0.199935,25.4024,24.9558,999.9,0,0,9993.12,0,6.25347,800.03,0.950013,0.0499867,0,254.766,4.99951,2492.71,7182.67,39.562,42.437,41.25,42.562,42.5,755.29,39.74,0,110.8,254.3687308,0.997504273,15.05162396,2490.070769,15,1537288099,11:28:18,3,0.452,0.113,300,15,0.43,0.06,70.53879586,68.00001787,4.577817574,1,1,1,1-Jan,1.87847,1.8837,1.88152,1.87866,1.87836,1.88063,1.87957,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.452,0.113,2,170.571,469.643,23.0114,26.4403,30.0001,26.4484,26.3766,11.7494,30.0634,20.8923,23.0197,300,15.4086,99.6227,100.118
ME034,Leaf_1,3,1537288221,208.5,20180918 11:30:20,11:30:20,1537288221,0.003355887,18.00853283,187.172,53.84948517,5.314242204,18.47143643,0.227959669,3.421397009,0.219845415,0.138108355,129.9200021,25.45244531,24.9609,3.172272968,51.85251652,1.703050806,3.284413025,1.469222162,-147.994605,107.6844528,6.674438664,96.28428854,-0.040885473,0.045897525,3.435387764,6,3,1,0,52387.20342,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-210-20180918-11_30_22,242.3963846,337.841,0.282513417,0.5,673.2291667,18.00853283,95.09813622,0.554820167,0.028603683,0.768906083,DARK-211-20180918-11_30_24,150.4,187.441,0.509198176,0.580864875,0.466496703,0.55940274,210,300,300,300,7154.7,325.815,-0.00535933,0.552826,800.044,673.2291667,0.841490176,0.192980353,1537288221,187.172,199.942,17.2571,14.9973,200.231,98.487,0.199964,25.5447,24.9609,999.9,0,0,10011.2,0,6.14829,800.044,0.950013,0.0499867,0,241.579,4.99951,2373.72,7182.8,39.562,42.375,41.25,42.5,42.5,755.3,39.74,0,96.29999995,242.3963846,-3.523350429,-25.58632478,2375.372308,15,1537288194,11:29:53,4,0.18,0.099,200,15,0.3,0.04,51.20203305,51.03375405,3.463572316,1,1,1,1-Jan,1.87842,1.88364,1.88143,1.87865,1.87836,1.88061,1.87957,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.18,0.099,2,170.692,468.588,23.7228,26.4665,30.0002,26.4762,26.406,8.8162,32.4984,20.1514,23.7397,200,14.8868,99.6357,100.12
ME034,Leaf_1,4,1537288311,298.5,20180918 11:31:50,11:31:50,1537288311,0.004074962,10.31225671,92.6971,29.91911266,2.952833614,9.148637391,0.279605205,3.428027642,0.267525092,0.168245039,129.9200021,25.45657536,25.0186,3.183205291,51.772812,1.71721447,3.316826735,1.465990822,-179.7058194,127.815859,7.915771122,85.9458128,-0.040985626,0.046009956,3.442052669,5,2,1,0,52481.27202,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-212-20180918-11_31_52,231.544,289.783,0.200974522,0.5,673.2291667,10.31225671,67.65095509,0.492723866,0.017171802,1.062263832,DARK-213-20180918-11_31_54,147,142.783,0.407884692,0.683133271,0.37203745,0.662894228,212,300,300,300,7154.68,279.484,-0.00535926,-0.122131,800.044,673.2291667,0.841490176,0.192980353,1537288311,92.6971,100.023,17.3994,14.6554,200.203,98.4941,0.19979,25.7102,25.0186,999.9,0,0,10035,0,6.25347,800.044,0.950013,0.0499867,0,230.34,4.99951,2264.93,7182.79,39.562,42.375,41.187,42.5,42.5,755.3,39.74,0,89.69999981,231.544,-7.559452997,-73.37094017,2273.053846,15,1537288288,11:31:27,5,-0.027,0.087,100,15,0.29,0.02,28.24262357,59.4258561,3.900758034,1,1,1,1-Jan,1.87839,1.88367,1.88141,1.87864,1.87835,1.88055,1.87955,1.87545,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.027,0.087,2,170.691,467.63,23.6196,26.4891,30.0001,26.4999,26.4291,5.80046,33.898,19.4049,23.6014,100,14.5417,99.6457,100.122
ME034,Leaf_1,5,1537288368,356,20180918 11:32:48,11:32:48,1537288368,0.004363036,2.978346828,47.7914,30.10872035,2.97166178,4.716901785,0.296582529,3.420335781,0.283000134,0.178043566,129.9236812,25.42830868,25.0253,3.18447686,51.15629573,1.700502342,3.324131112,1.483974518,-192.4098838,133.134737,8.265537909,78.91407227,-0.040869451,0.045879539,3.434321054,5,2,1,0,52332.23542,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-214-20180918-11_32_49,242.3780385,283.963,0.146445,0.5,673.2484912,2.978346828,49.29693765,0.496413265,0.006277991,1.104531224,DARK-215-20180918-11_32_51,143,140.963,0.295006218,0.689924749,0.275907448,0.675427427,214,300,300,300,7154.76,276.776,-0.00535918,-0.000152588,800.067,673.2484912,0.841490139,0.192980278,1537288368,47.7914,49.9756,17.2294,14.2906,200.182,98.4976,0.200111,25.7473,25.0253,999.9,0,0,10006.2,0,6.25347,800.067,0.950013,0.0499867,0,241.766,4.99951,2366.91,7183,39.562,42.375,41.187,42.5,42.5,755.32,39.74,0,57.29999995,242.3780385,-6.643452997,-53.92991457,2372.811923,15,1537288288,11:31:27,5,-0.027,0.087,100,15,0.29,0.02,38.68353581,-94.93340123,4.806446181,1,1,1,1-Jan,1.87846,1.88367,1.88147,1.87864,1.87836,1.88062,1.87957,1.87545,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.027,0.087,2,170.754,467.099,23.5534,26.5031,30.0003,26.51,26.4424,4.30053,35.2878,18.6513,23.5371,50,14.3154,99.6542,100.123
ME034,Leaf_1,6,1537288417,404.5,20180918 11:33:36,11:33:36,1537288417,0.00474113,-1.003002904,20.4422,25.0593481,2.473181566,2.017501493,0.324142236,3.417690165,0.307980306,0.193872602,129.8895166,25.35392194,25.0064,3.180891037,51.08161216,1.69914757,3.326338966,1.481743467,-209.0838515,138.5778186,8.609793919,67.9932776,-0.040829519,0.045834712,3.431661774,6,3,1,0,52281.13644,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-216-20180918-11_33_38,253.1116154,284.785,0.111218585,0.5,673.0687252,-1.003002904,37.42887548,0.506996506,0.000364447,1.098456731,DARK-217-20180918-11_33_40,140.4,144.385,0.219367556,0.684203504,0.209006348,0.673657274,216,300,300,300,7154.81,276.624,-0.00535918,-0.906494,799.853,673.0687252,0.84149053,0.192981061,1537288417,20.4422,19.8217,17.2165,14.0256,200.346,98.4931,0.199873,25.7585,25.0064,999.9,0,0,9996.88,0,6.25347,799.853,0.949999,0.0500012,0,250.963,4.99951,2453.41,7181.04,39.562,42.375,41.187,42.5,42.5,755.11,39.74,0,48.29999995,253.1116154,-16.18652994,-154.4618804,2472.045769,15,1537288288,11:31:27,5,-0.027,0.087,100,15,0.29,0.02,31.8818696,-89.30953215,4.551835034,1,1,1,1-Jan,1.87847,1.88369,1.88146,1.87866,1.87836,1.88062,1.87958,1.87545,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.027,0.087,2,170.711,466.483,23.5716,26.5157,30.0002,26.52,26.4535,3.43021,36.5065,17.5311,23.5698,20,13.9412,99.66,100.125
ME034,Leaf_1,7,1537288435,423,20180918 11:33:55,11:33:55,1537288435,0.004874169,-6.398146053,15.9203,46.94207718,4.632975158,1.571263115,0.337138592,3.420978722,0.319707972,0.201308426,129.9061733,25.32982907,24.93,3.166431898,51.05592978,1.698837011,3.327403925,1.467594887,-214.9508343,153.7976821,9.542810076,78.29583115,-0.040879158,0.045890436,3.434967317,5,2,1,0,52341.19754,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-218-20180918-11_33_56,175.4448462,285.961,0.386472819,0.5,673.1538518,-6.398146053,130.0778334,0.53000584,-0.007650324,1.089826934,DARK-219-20180918-11_33_58,134.4,151.561,0.729185964,0.672802126,0.72365833,0.671124792,218,300,300,300,7155.09,278.271,-0.00535935,-0.554047,799.954,673.1538518,0.8414907,0.192981401,1537288435,15.9203,11.588,17.2129,13.9295,200.166,98.4954,0.200172,25.7639,24.93,999.9,0,0,10008.8,0,6.25347,799.954,0.949999,0.0500012,0,252.58,4.99951,2467.37,7181.96,39.625,42.312,41.187,42.437,42.5,755.21,39.75,0,18.29999995,175.4448462,1427.821871,10997.23232,1765.388077,15,1537288288,11:31:27,5,-0.027,0.087,100,15,0.29,0.02,60.01548598,-62.92160191,4.998505676,1,1,1,1-Jan,1.87847,1.88369,1.88149,1.87866,1.87838,1.88062,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,-0.027,0.087,2,170.663,466.035,23.6034,26.5188,30.0001,26.5244,26.4573,2.8179,37.688,17.1531,23.6565,10,13.7265,99.6614,100.125
ME034,Leaf_1,8,1537288535,522.5,20180918 11:35:34,11:35:34,1537288535,0.004694167,22.12615265,383.657,259.047809,25.56826018,37.86730347,0.31681145,3.416889457,0.30135013,0.189670073,129.9276571,25.40071892,25.0412,3.18749624,50.63781015,1.687993209,3.333464074,1.499503031,-207.0127445,138.7848269,8.627750324,70.32748975,-0.040817436,0.045821148,3.43085693,6,3,1,0,52260.15092,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-220-20180918-11_35_36,232.7736923,318.958,0.270205819,0.5,673.2694837,22.12615265,90.96066621,0.536616106,0.034717827,0.87362913,DARK-221-20180918-11_35_38,147.8,171.158,0.503536543,0.619487382,0.464065834,0.600066724,220,300,300,300,7155.14,307.078,-0.00535956,0.188538,800.092,673.2694837,0.841490083,0.192980167,1537288535,383.657,400.033,17.1021,13.9443,200.464,98.501,0.199932,25.7946,25.0412,999.9,0,0,9993.12,0,6.25347,800.092,0.950013,0.0499867,0,232.839,4.99951,2283.22,7183.23,39.562,42.312,41.187,42.437,42.562,755.35,39.74,0,99.39999986,232.7736923,-1.337025649,-9.152478619,2283.938077,15,1537288505,11:35:04,6,0.607,0.056,400,14,0.03,0.03,254.5648354,80.38416073,4.357597189,1,1,1,1-Jan,1.87845,1.88364,1.88146,1.87866,1.87836,1.88059,1.87957,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.607,0.056,2,170.728,466.174,23.4002,26.5428,30.0003,26.5512,26.4802,14.6599,36.6703,16.0273,23.3898,400,13.9259,99.6732,100.124
ME034,Leaf_1,26,1537288922,909.5,20180918 11:42:01,11:42:01,1537288922,0.00210631,19.13033793,386.178,148.6247964,14.67137149,38.12123572,0.135136856,3.413693951,0.132233719,0.082901715,129.8859999,25.70384491,25.0928,3.197312224,50.74318636,1.663639559,3.27854768,1.533672664,-92.88825287,77.62767901,4.824800541,119.4502265,-0.040769227,0.045767028,3.427644928,6,3,1,0,52250.17088,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-256-20180918-11_42_03,247.2638846,339.49,0.271660772,0.5,673.0502422,19.13033793,91.4206741,0.542254558,0.030278035,0.760314,DARK-257-20180918-11_42_05,155.4,184.09,0.500983842,0.583703633,0.447161926,0.555851667,256,300,300,300,7154.15,329.244,-0.00535867,0.774475,799.831,673.0502422,0.841490568,0.192981135,1537288922,386.178,399.824,16.8531,15.4362,200.519,98.514,0.200157,25.5146,25.0928,999.9,0,0,9980,0,6.25347,799.831,0.949999,0.0500012,0,240.57,4.99951,2363.7,7180.85,40,42.5,41.562,42.625,42.812,755.09,39.74,0,30.9000001,247.2638846,-65.12557262,-619.9747007,2427.517692,15,1537288505,11:35:04,6,0.607,0.056,400,14,0.03,0.03,153.9418908,-92.7507151,4.901344794,1,1,1,1-Jan,1.87849,1.88369,1.88151,1.87866,1.87837,1.88061,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.607,0.056,2,170.575,465.609,23.8048,26.581,30,26.5982,26.5358,14.7057,28.6471,12.6572,23.727,400,15.4837,99.7105,100.13
ME034,Leaf_1,27,1537288956,944,20180918 11:42:36,11:42:36,1537288956,0.002085258,20.18862131,385.617,132.5137537,13.08107293,38.06611737,0.133469887,3.416082579,0.130639059,0.08189875,129.881996,25.78023729,25.158,3.209753133,50.81279635,1.673038716,3.292553915,1.536714418,-91.95986495,78.89750437,4.903671927,121.7233073,-0.040805261,0.04580748,3.430045887,6,3,1,0,52281.92198,0,133.2423077,597.609,464.3666923,0.777040996,-1.248301015,MPF-258-20180918-11_42_37,243.9513462,340.527,0.283606451,0.5,673.0292348,20.18862131,95.43771625,0.547759796,0.031851398,0.754953352,DARK-259-20180918-11_42_39,154,186.527,0.517756967,0.57952386,0.465908277,0.553618518,258,300,300,300,7154.11,329.812,-0.0053587,0.687317,799.806,673.0292348,0.841490605,0.19298121,1537288956,385.617,399.993,16.9482,15.5444,200.348,98.5147,0.200132,25.5864,25.158,999.9,0,0,9988.75,0,6.26484,799.806,0.949999,0.0500012,0,239.63,4.99951,2350.09,7180.62,40,42.562,41.562,42.625,42.812,755.07,39.74,0,34.0999999,243.9513462,-45.39716241,-443.2201711,2395.295,15,1537288505,11:35:04,6,0.607,0.056,400,14,0.03,0.03,138.8635307,-77.69146236,4.309828981,1,1,1,1-Jan,1.87848,1.88367,1.88151,1.87866,1.87836,1.88057,1.87957,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.607,0.056,2,170.441,465.551,23.4891,26.5788,30.0008,26.5982,26.5368,14.7095,27.7479,12.6572,23.3005,400,15.6509,99.7134,100.13
