species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,20,1552149441,3062.5,20190309 10:37:20,10:37:20,1552149441,0.002506304,27.27547395,391.036,120.0591196,12.08033589,39.34600087,0.168651782,3.455184347,0.164208343,0.103019689,241.6571224,25.49030836,24.9896,3.177706601,53.35266205,1.679013985,3.147010704,1.498692616,-110.528005,-30.30708869,-1.853667465,98.96836126,-0.041646289,0.046751608,3.485878597,0,0,1,0,53492.85128,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-997-20190309-10_39_01,230.6145385,285.043,0.190948248,0.5,1261.160692,27.27547395,120.4082125,0.440786127,0.022991804,1.190746929,DARK-998-20190309-10_39_04,159.4,125.643,0.433199315,0.729833162,0.269060121,0.626566084,997,300,300,300,7144.32,276.7,-0.00483515,2.68799,1499.94,1261.160692,0.840807427,0.191614854,1552149441,391.036,400.004,16.6867,15.9045,500.017,100.42,0.199894,24.8269,24.9896,999.9,0,0,10001.2,0,6.25347,1499.94,0.972999,0.0270011,0,230.387,4.99951,4203.19,13591.3,41.437,43.062,42.437,43.062,43.812,1454.58,40.37,0,294.0999999,230.6145385,-0.486153841,-7.651965796,4204.287692,15,1552149459,10:37:39,21,0.822,0.135,400,16,0.18,0.13,390.9698095,-0.030701299,0.0205348,1,1,1,1-Jan,1.87862,1.88376,1.88164,1.8788,1.87851,1.88066,1.87969,1.87554,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.822,0.135,2,513.422,529.379,21.6199,26.4712,30.0002,26.4976,26.4713,20.3796,26.1353,47.1871,21.6199,400,15.9202,99.9205,100.206
ME034,plant_1,22,1552149634,3256,20190309 10:40:34,10:40:34,1552149634,0.001141956,27.84677604,1190.561,572.1881928,57.570699,119.7882617,0.075431903,3.449612559,0.0745274,0.046659987,241.6757274,25.51563429,24.9713,3.174241012,53.9534093,1.669665214,3.094642648,1.504575797,-50.36026624,-79.07678782,-4.837082643,107.4015907,-0.041561145,0.046656026,3.480244057,0,0,1,0,53438.20522,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1001-20190309-10_42_15,230.9376154,288.992,0.200885784,0.5,1261.2612,27.84677604,126.6847228,0.449811759,0.023442933,1.160810946,DARK-1002-20190309-10_42_17,159,129.992,0.446599672,0.720721831,0.281489347,0.61927614,1001,300,300,300,7143.61,277.39,-0.00483459,2.6557,1500.06,1261.2612,0.840807168,0.191614336,1552149634,1190.561,1199.83,16.5946,16.2382,500.059,100.415,0.199972,24.5461,24.9713,999.9,0,0,9981.25,0,6.25347,1500.06,0.973003,0.0269969,0,230.942,4.99951,4210.41,13592.4,41.625,43.25,42.625,43.25,44,1454.7,40.36,0,90.69999981,230.9376154,-0.469538467,-20.16649573,4212.947308,15,1552149669,10:41:08,23,1.481,0.152,1200,16,0.3,0.28,1190.989524,-0.402077922,0.024587296,1,1,1,1-Jan,1.87852,1.8837,1.88157,1.87874,1.8785,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.481,0.152,2,513.247,531.032,20.4429,26.4868,29.9986,26.5066,26.4779,49.7689,24.7387,47.1871,20.7476,1200,16.2849,99.9205,100.204
ME034,plant_1,23,1552149749,3371,20190309 10:42:29,10:42:29,1552149749,0.001136862,27.89082587,990.851,372.967627,37.52845951,99.70064141,0.074998217,3.446026041,0.074103099,0.046393969,241.6661515,25.5567543,24.9966,3.179033111,53.92057424,1.672556188,3.101888679,1.506476922,-50.13559418,-76.43077895,-4.681611946,110.4181664,-0.041506371,0.046594538,3.476617169,0,0,1,0,53363.72746,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1003-20190309-10_44_10,229.8485385,286.34,0.197288055,0.5,1261.2108,27.89082587,124.4109126,0.476147238,0.023478796,1.180823765,DARK-1004-20190309-10_44_12,150,136.34,0.414342537,0.71263997,0.277479224,0.624171793,1003,300,300,300,7143.32,275.726,-0.00483438,3.11459,1500,1261.2108,0.8408072,0.191614401,1552149749,990.851,1000.06,16.6223,16.2675,500.059,100.421,0.200225,24.5852,24.9966,999.9,0,0,9967.5,0,6.25347,1500,0.973003,0.0269969,0,229.41,4.99951,4192.79,13591.9,41.75,43.312,42.75,43.312,44.062,1454.64,40.36,0,114.6999998,229.8485385,-2.597811961,-22.44410255,4196.082692,15,1552149769,10:42:48,24,1.434,0.151,1000,16,0.27,0.16,990.9244286,-0.432623377,0.027181176,1,1,1,1-Jan,1.87851,1.88371,1.8816,1.87876,1.8785,1.88065,1.8796,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.434,0.151,2,513.203,530.193,21.4093,26.4913,30,26.511,26.4824,42.8807,24.1981,46.8149,21.411,1000,16.3251,99.9271,100.202
ME034,plant_1,24,1552149836,3458,20190309 10:43:56,10:43:56,1552149836,0.001240889,27.54226758,890.89,330.8327334,33.28870922,89.6422124,0.081759044,3.454715687,0.080699137,0.050531044,241.6645555,25.61168299,25.0408,3.18742025,53.8236062,1.677603056,3.11685369,1.509817195,-54.72319234,-69.86261211,-4.271209927,112.8075411,-0.041639125,0.046743565,3.485404658,0,0,1,0,53513.01139,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1005-20190309-10_45_37,229.9904231,285.077,0.193234028,0.5,1261.2024,27.54226758,121.8536098,0.491365491,0.023202583,1.190485647,DARK-1006-20190309-10_45_40,145,140.077,0.393259257,0.70784246,0.272267668,0.626503319,1005,300,300,300,7143.08,274.942,-0.0048343,3.15851,1499.99,1261.2024,0.840807206,0.191614411,1552149836,890.89,899.983,16.6725,16.2852,499.989,100.421,0.199966,24.6657,25.0408,999.9,0,0,9999.38,0,6.25347,1499.99,0.973003,0.0269969,0,229.613,4.99951,4195.91,13591.8,41.812,43.437,42.812,43.375,44.125,1454.63,40.36,0,86.5,229.9904231,-2.048102573,-34.8311111,4199.751923,15,1552149855,10:44:15,25,1.403,0.151,900,16,0.43,0.18,890.9421429,-0.384,0.024656277,1,1,1,1-Jan,1.87853,1.88371,1.88165,1.8788,1.8785,1.88068,1.8796,1.87549,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.403,0.151,2,513.124,529.764,21.237,26.4913,30.0002,26.5173,26.4891,39.334,24.3428,46.8149,21.2282,900,16.2775,99.928,100.203
ME034,plant_1,25,1552149928,3550,20190309 10:45:28,10:45:28,1552149928,0.001299022,27.7645705,790.891,256.298423,25.78848462,79.57864176,0.086141791,3.455511328,0.084966352,0.053208242,241.6597675,25.56370213,25.0081,3.181213427,54.01420129,1.680045087,3.110376618,1.501168339,-57.28685979,-70.26991828,-4.293662459,109.809327,-0.041651287,0.046757219,3.486209263,0,0,1,0,53534.21812,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1007-20190309-10_47_09,229.6586923,283.709,0.190513194,0.5,1261.1772,27.7645705,120.1354482,0.449435866,0.023379313,1.201047823,DARK-1008-20190309-10_47_11,156.2,127.509,0.42389406,0.727694452,0.26896444,0.629028678,1007,300,300,300,7142.99,274.93,-0.00483414,3.02267,1499.96,1261.1772,0.840807222,0.191614444,1552149928,790.891,800.029,16.6971,16.2917,500.031,100.419,0.199975,24.6309,25.0081,999.9,0,0,10002.5,0,6.25347,1499.96,0.973003,0.0269969,0,229.599,4.99951,4190.12,13591.5,41.812,43.437,42.875,43.375,44.187,1454.6,40.36,0,91.39999986,229.6586923,-1.248615388,-25.57435899,4192.882692,15,1552149959,10:45:59,26,1.241,0.153,800,16,0.46,0.18,791.0973333,-0.333350649,0.027168492,1,1,1,1-Jan,1.87851,1.88371,1.8816,1.87873,1.8785,1.88065,1.87958,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.241,0.153,2,513.001,529.224,21.0332,26.498,30.0001,26.5244,26.4957,35.7327,24.4212,46.8149,21.0342,800,16.243,99.9298,100.2
ME034,plant_1,26,1552150032,3654,20190309 10:47:12,10:47:12,1552150032,0.00144857,27.82734625,690.891,211.6609942,21.29562684,69.51189558,0.096348222,3.458398622,0.094881505,0.05943086,241.6533836,25.54168913,24.9919,3.178142401,53.94681271,1.679163256,3.112627368,1.498979145,-63.88194097,-65.05212117,-3.971441703,108.7478797,-0.041695435,0.046806778,3.489129094,0,0,1,0,53586.29722,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1009-20190309-10_48_53,229.1765769,285.598,0.197555386,0.5,1261.1436,27.82734625,124.5728553,0.460780538,0.023429712,1.186489671,DARK-1010-20190309-10_48_56,154,131.598,0.428740734,0.720276288,0.278148949,0.625541541,1009,300,300,300,7142.82,274.104,-0.00483401,2.18948,1499.92,1261.1436,0.840807243,0.191614487,1552150032,690.891,700.041,16.6895,16.2374,500.003,100.412,0.199957,24.643,24.9919,999.9,0,0,10013.8,0,6.25347,1499.92,0.973003,0.0269969,0,229.063,4.99951,4181.59,13591.1,41.875,43.5,42.875,43.437,44.25,1454.56,40.36,0,103.5999999,229.1765769,-1.940273498,-23.48410257,4184.193462,15,1552150054,10:47:33,27,0.871,0.151,700,16,0.27,0.3,691.2625238,-0.472831169,0.027975532,1,1,1,1-Jan,1.87851,1.88371,1.88157,1.87871,1.87849,1.88065,1.87958,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.871,0.151,2,513.087,528.771,21.2679,26.5092,30,26.5333,26.5036,32.0533,24.7273,46.8149,21.2843,700,16.2181,99.935,100.203
ME034,plant_1,27,1552150129,3751,20190309 10:48:49,10:48:49,1552150129,0.001622439,27.45481225,590.955,168.7066969,16.97479597,59.4602392,0.107951718,3.444894993,0.106107008,0.066479994,241.6485956,25.55945232,25.0019,3.18003779,53.7596708,1.678687353,3.122577442,1.501350437,-71.54956937,-56.73782014,-3.478540588,109.8826655,-0.041489103,0.046575152,3.475473394,0,0,1,0,53322.40454,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1011-20190309-10_50_30,228.9059231,282.776,0.190504417,0.5,1261.1184,27.45481225,120.1243126,0.439839307,0.023134781,1.20831003,DARK-1012-20190309-10_50_33,158.4,124.376,0.433122764,0.733131399,0.269317963,0.630751017,1011,300,300,300,7142.68,273.712,-0.00483396,2.56519,1499.89,1261.1184,0.840807259,0.191614519,1552150129,590.955,599.974,16.6839,16.1775,499.971,100.417,0.200203,24.6964,25.0019,999.9,0,0,9963.75,0,6.25347,1499.89,0.973003,0.0269969,0,228.589,4.99951,4178.56,13590.9,41.937,43.562,42.937,43.5,44.25,1454.53,40.36,0,96.79999995,228.9059231,-1.578461534,-28.18598292,4181.965385,15,1552150147,10:49:07,28,0.951,0.148,600,16,0.29,0.23,590.874381,-0.420779221,0.024507484,1,1,1,1-Jan,1.87851,1.8837,1.88156,1.87872,1.87847,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.951,0.148,2,512.931,528.297,21.3245,26.5159,30.0001,26.5407,26.513,28.266,25.0691,46.8149,21.3224,600,16.1695,99.9384,100.2
ME034,plant_1,28,1552150231,3853,20190309 10:50:31,10:50:31,1552150231,0.001849624,27.33645018,491.057,122.0383333,12.2796112,49.41061448,0.123031159,3.454884586,0.120648006,0.075615276,241.6789194,25.52275083,25.0091,3.181403081,53.62305198,1.676042914,3.125601495,1.505360167,-81.56843198,-55.22601225,-3.37646094,101.5080142,-0.041641707,0.046746464,3.485575459,0,0,1,0,53507.76316,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1013-20190309-10_52_12,228.3723846,283.678,0.194959128,0.5,1261.278,27.33645018,122.9488293,0.423289786,0.02303801,1.201288351,DARK-1014-20190309-10_52_14,163.6,120.078,0.460580751,0.739446336,0.275253547,0.629085905,1013,300,300,300,7142.45,273.22,-0.00483385,2.46039,1500.08,1261.278,0.840807157,0.191614314,1552150231,491.057,500.022,16.657,16.0797,499.993,100.421,0.199935,24.7126,25.0091,999.9,0,0,10000,0,6.25347,1500.08,0.973007,0.0269927,0,228.636,4.99951,4171.99,13592.6,42,43.625,43,43.562,44.312,1454.72,40.36,0,101.5999999,228.3723846,-0.687999991,-18.54837608,4173.222308,15,1552150254,10:50:54,29,0.866,0.142,500,16,0.27,0.17,491.1606667,-0.423428571,0.027071921,1,1,1,1-Jan,1.87852,1.8837,1.88156,1.87872,1.87847,1.88065,1.87959,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.866,0.142,2,513.085,527.586,21.181,26.5249,30.0001,26.5512,26.5225,24.394,25.3247,46.4447,21.1788,500,16.1085,99.9462,100.2
ME034,plant_1,29,1552150345,3967,20190309 10:52:25,10:52:25,1552150345,0.002176634,26.29177397,391.276,92.47588075,9.304749174,39.36945513,0.146497416,3.454462685,0.143131464,0.089753141,241.6406157,25.4858563,24.9678,3.17357857,53.64512498,1.680362835,3.132368198,1.493215736,-95.98954256,-40.7859013,-2.493847796,102.371324,-0.041635258,0.046739224,3.485148805,0,0,1,0,53493.24519,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1015-20190309-10_54_06,227.9174231,281.453,0.190211428,0.5,1261.0764,26.29177397,119.9355712,0.425836641,0.022213293,1.218690428,DARK-1016-20190309-10_54_08,161.6,119.853,0.446676987,0.741058296,0.269427714,0.633193305,1015,300,300,300,7142.38,271.454,-0.00483377,1.66739,1499.84,1261.0764,0.840807286,0.191614573,1552150345,391.276,399.891,16.7004,16.0211,500.019,100.418,0.200119,24.7488,24.9678,999.9,0,0,9998.75,0,6.25347,1499.84,0.973003,0.0269969,0,227.518,4.99951,4163.4,13590.4,42.062,43.687,43.062,43.625,44.375,1454.48,40.36,0,113.3,227.9174231,-0.730632466,-18.17264959,4165.839615,15,1552150363,10:52:42,30,0.828,0.137,400,16,0.34,0.16,391.4158095,-0.729974026,0.038094643,0,0,1,0/1,1.87852,1.8837,1.88157,1.87868,1.87847,1.88065,1.87958,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.828,0.137,2,513.101,527.035,21.4874,26.5339,30,26.5602,26.5314,20.393,25.6391,46.4447,21.5026,400,16.0037,99.9502,100.202
ME034,plant_1,30,1552150454,4075.5,20190309 10:54:13,10:54:13,1552150454,0.002634618,24.28264588,292.039,64.22407016,6.461261936,29.38058067,0.178096705,3.45240737,0.173145642,0.108649395,241.6757274,25.4993419,24.9775,3.175414776,53.31479892,1.681541984,3.153987295,1.493872791,-116.1866355,-21.12532213,-1.293286625,103.0704831,-0.041603846,0.046703961,3.483070339,0,0,1,0,53433.57583,MPF-960-20190309-09_47_59,82.75192308,624.4570769,541.7051538,0.867481808,-1.720885441,MPF-1017-20190309-10_55_54,227.6085,279.44,0.185483467,0.5,1261.2612,24.28264588,116.9715501,0.44531921,0.020617087,1.234673193,DARK-1018-20190309-10_55_57,155,124.44,0.416518001,0.734927843,0.263521312,0.636909349,1017,300,300,300,7142.29,267.896,-0.00483369,2.24695,1500.06,1261.2612,0.840807168,0.191614336,1552150454,292.039,299.991,16.7143,15.892,499.97,100.405,0.19999,24.864,24.9775,999.9,0,0,9992.5,0,6.25347,1500.06,0.973007,0.0269927,0,227.349,4.99951,4157.08,13592.4,42.062,43.75,43.125,43.625,44.437,1454.7,40.36,0,108,227.6085,-2.065538472,-31.69435896,4160.565385,15,1552150478,10:54:38,31,0.737,0.134,300,16,0.38,0.12,292.2067143,-0.715480519,0.036335923,0,0,1,0/1,1.87853,1.8837,1.88159,1.8787,1.87851,1.88067,1.8796,1.87549,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.737,0.134,2,513.152,526.246,21.5345,26.5406,30,26.5691,26.5403,16.2409,26.0609,46.0734,21.7322,300,15.8321,99.9503,100.203
