species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,CO2_hrs,AccH2O_des,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME304,plant_1,21,1563814366,3028,20190722 11:52:45,11:52:45,1563814366,0.001909347,18.33216006,294.564,54.46276802,5.413820641,29.28085959,0.126565368,3.427182234,0.124024909,0.077739571,241.6794813,25.50499923,24.9855,3.17692987,53.91253442,1.68403412,3.123641169,1.49289575,-84.20221873,-52.36275486,-3.226727481,101.8877803,-0.041049594,0.046081765,3.446306662,0,0,1,0,52753.3427,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6962-20190722-11_55_57,209.1091923,246.181,0.150587607,0.5,1261.2783,18.33216006,94.96644054,0.48818146,0.014773847,1.353978764,DARK-6963-20190722-11_56_00,126,120.181,0.308466461,0.734995114,0.21415193,0.658178654,6962,300,300,300,7145.81,235.468,-0.0048364,1.56238,-,-,-,-,-,-,-,-,-,-,1500.08,1261.2783,0.840807357,0.191614714,1563814366,294.564,300.024,16.9413,16.3989,500.049,99.2039,0.200167,24.7021,24.9855,999.9,0,0,9978.75,0,6.31032,-5.36508,299.738,305.026,0.543467,293.734,300.024,16.7813,16.3989,1.68074,1.62683,14.7197,14.2153,1500.08,23:21:07,0.0270011,0,208.762,4.99951,3821.86,13592.6,40.625,42.25,41.625,42.187,43.062,1454.71,40.37,0,113.3,209.1091923,-2.915589733,###############################################################################################################################################################################################################################################################,3827.078077,15,1563814385,11:53:05,22,0.83,0.16,300,16,0.64,0.17,294.7727619,-0.975896104,0.050113115,0,1.500291157,-0.045216813,0.004714005,1,1,2,2-Jan,2.96495,2.79162,0.0732857,0.0766561,0.0885184,0.0894351,21477.1,27858.8,23479.4,27836.5,31226.1,33613.4,37515.4,40269.3,2.01397,2.0546,0.121646,0,22.9862,999.9,56.293,27.301,20.6705,61.4728,32.2957,1,-0.0946519,0.657138,20.1846,5.26311,12.0159,4.9992,3.288,9999,564.4,9999,9999,1.87828,1.88326,1.88112,1.87831,1.87805,1.8802,1.87912,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.83,0.16,2,514.241,517.122,21.8427,25.9057,29.9989,25.9451,25.9194,16.1465,26.9366,54.1311,21.9224,300,16.4422,100.031,100.432
ME304,plant_1,22,1563814476,3138.5,20190722 11:54:36,11:54:36,1563814476,0.002581184,15.99493606,195.244,40.13217898,3.989201879,19.4075615,0.172129384,3.430005711,0.167470547,0.105077167,241.6746934,25.50265386,24.992,3.17816135,53.41939662,1.68357445,3.151616372,1.4945869,-113.8302339,-25.99953658,-1.602095529,100.2428274,-0.04109237,0.046129785,3.449150067,0,0,1,0,52779.56875,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6964-20190722-11_57_48,208.4250769,239.128,0.128395349,0.5,1261.2531,15.99493606,80.96951616,0.468903683,0.012921046,1.423408577,DARK-6965-20190722-11_57_50,127,112.128,0.273820304,0.752205969,0.184894052,0.672105453,6964,300,300,300,7145.6,232.854,-0.00483634,1.96008,-,-,-,-,-,-,-,-,-,-,1500.05,1261.2531,0.840807373,0.191614747,1563814476,195.244,200.012,16.9371,16.2038,500.019,99.2016,0.199977,24.8514,24.992,999.9,0,0,9989.38,0,6.31032,-4.35548,199.029,203.306,0.741325,194.827,200.012,16.7851,16.2038,1.68098,1.60744,14.7219,14.0303,1500.05,23:21:07,0.0270011,0,207.828,4.99951,3809.58,13592.3,40.75,42.375,41.812,42.25,43.125,1454.68,40.37,0,109.8,208.4250769,-3.972034194,###############################################################################################################################################################################################################################################################,3816.090385,15,1563814495,11:54:54,23,0.417,0.152,200,16,0.51,0.12,195.712,-0.621662338,0.032011903,0,1.499441107,-0.02148807,0.00253728,1,1,2,2-Jan,2.96489,2.79151,0.051663,0.0544018,0.0885352,0.0886585,21980.9,28531.1,23482.1,27837.3,31228.1,33641.9,37519.9,40271.1,2.01415,2.05372,0.118721,0,23.0409,999.9,55.994,27.352,20.6234,61.6828,32.3598,1,-0.0955843,0.924319,20.1833,5.26356,12.0159,5.0008,3.288,9999,564.5,9999,9999,1.87834,1.88326,1.88114,1.87834,1.87805,1.8802,1.87913,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.417,0.152,2,514.174,516.294,22.1456,25.8883,30,25.9257,25.8998,11.827,27.7302,53.3837,22.2322,200,16.2452,100.043,100.436
ME304,plant_1,23,1563814586,3248,20190722 11:56:25,11:56:25,1563814586,0.003375408,10.19988946,96.9131,21.86115898,2.172945184,9.632922668,0.22874293,3.427012863,0.220586768,0.1385753,241.6699054,25.48825062,24.9715,3.174278869,53.11866334,1.690523354,3.182541215,1.483755515,-148.8554767,8.055410322,0.497167398,101.3670064,-0.041047029,0.046078885,3.446136095,0,0,1,0,52694.6433,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6966-20190722-11_59_37,211.1329615,233.27,0.09489878,0.5,1261.2279,10.19988946,59.84449466,0.473571398,0.008326538,1.484266499,DARK-6967-20190722-11_59_40,122.8,110.47,0.200389594,0.758115113,0.138184756,0.683672614,6966,300,300,300,7145.46,229.146,-0.00483605,2.42412,-,-,-,-,-,-,-,-,-,-,1500.02,1261.2279,0.840807389,0.191614779,1563814586,96.9131,99.9554,17.0077,16.0488,500.001,99.1977,0.199829,25.0151,24.9715,999.9,0,0,9978.75,0,6.31032,-2.76537,98.8721,101.586,0.963905,96.7731,99.9554,16.8607,16.0488,1.68762,1.592,14.783,13.8816,1500.02,23:21:07,0.0270011,0,211.039,4.99951,3858.26,13592,40.875,42.437,41.875,42.375,43.25,1454.65,40.37,0,109.1999998,211.1329615,-2.278461547,###############################################################################################################################################################################################################################################################,3864.95,15,1563814606,11:56:45,24,0.14,0.147,100,16,0.26,0.1,97.25685238,-0.792903896,0.040362932,0,1.487718673,-0.038416781,0.004337177,1,1,2,2-Jan,2.96485,2.79127,0.027033,0.0287415,0.088828,0.0880368,22554.5,29306.9,23484.8,27838.4,31220.2,33665.1,37524.1,40273.4,2.01435,2.053,0.112146,0,23.1286,999.9,55.659,27.412,20.5733,61.9428,32.3077,1,-0.0974543,0.744493,20.184,5.26057,12.0159,4.99995,3.28763,9999,564.5,9999,9999,1.87834,1.88325,1.88118,1.87834,1.87805,1.88019,1.87913,1.87519,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.14,0.147,2,514.176,515.619,22.5568,25.8752,30,25.9117,25.8847,7.36126,28.1964,52.6417,22.5645,100,15.963,100.054,100.441
ME304,plant_1,24,1563814667,3329,20190722 11:57:46,11:57:46,1563814667,0.003734832,5.572590009,48.3321,11.01252657,1.094629272,4.804141093,0.252152072,3.434162907,0.242299557,0.152290355,241.6715014,25.57904645,25.0186,3.183205291,52.51647269,1.68861254,3.215395957,1.494592751,-164.7060696,31.27058356,1.928082417,110.1640977,-0.04115538,0.046200519,3.453336619,0,0,1,0,52797.55188,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6968-20190722-12_00_58,217.0684615,234.374,0.073837279,0.5,1261.2363,5.572590009,46.56312839,0.437650934,0.004657623,1.47256456,DARK-6969-20190722-12_01_01,131.8,102.574,0.168712719,0.770889235,0.107286008,0.681492664,6968,300,300,300,7145.41,230.966,-0.00483599,0.919037,-,-,-,-,-,-,-,-,-,-,1500.03,1261.2363,0.840807384,0.191614768,1563814667,48.3321,49.9947,16.9883,15.9273,500.014,99.1986,0.199959,25.1875,25.0186,999.9,0,0,10005,0,6.31032,-1.58859,49.2429,50.8039,1.06601,48.2661,49.9947,16.8463,15.9273,1.68571,1.57997,14.7655,13.7648,1500.03,23:21:07,0.0270011,0,216.949,4.99951,3969.48,13592.1,40.937,42.5,41.937,42.375,43.312,1454.66,40.37,0,80.79999995,217.0684615,0.441846157,5-Jan,3969.541538,15,1563814686,11:58:06,25,0.066,0.142,50,16,0.35,0.12,48.4644619,-0.45532987,0.023444229,1,1.503522978,-0.052708427,0.005561636,1,2,2,2-Feb,2.96489,2.79163,0.0137139,0.0146585,0.0887751,0.087551,22864.7,29732.6,23486.2,27839,31223.5,33682.8,37526.8,40274.4,2.01445,2.0521,0.109412,0,23.2208,999.9,55.439,27.462,20.5523,61.9728,32.3037,1,-0.0973171,0.92921,20.1829,5.26072,12.0159,4.99835,3.28733,9999,564.5,9999,9999,1.87836,1.88327,1.88112,1.8783,1.87805,1.8802,1.87913,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.066,0.142,2,514.161,514.885,22.7352,25.8672,30.0001,25.9029,25.876,5.12797,28.3871,51.883,22.7302,50,15.9283,100.061,100.443
ME304,plant_1,25,1563814748,3410,20190722 11:59:07,11:59:07,1563814748,0.004135964,2.265959357,19.3395,5.593835625,0.556023099,1.922331911,0.280198752,3.4341848,0.26808923,0.168600148,241.6730974,25.5621457,25.0477,3.188731298,52.42119695,1.692898549,3.229416051,1.49583275,-182.3960255,39.41710883,2.431615729,101.1257964,-0.041155712,0.046200892,3.453358666,0,0,1,0,52785.03754,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6970-20190722-12_02_19,222.8551154,233.365,0.045036251,0.5,1261.2447,2.265959357,28.40086618,0.448931931,0.002035872,1.483255185,DARK-6971-20190722-12_02_22,128.6,104.765,0.100318662,0.767656079,0.065566364,0.683485028,6970,300,300,300,7145.32,231.734,-0.00483607,2.17409,-,-,-,-,-,-,-,-,-,-,1500.04,1261.2447,0.840807379,0.191614757,1563814748,19.3395,20.0174,17.0313,15.8565,500.058,99.1994,0.199856,25.2606,25.0477,999.9,0,0,10005,0,6.31032,-0.78299,19.5678,20.34,1.17881,19.1685,20.0174,16.8933,15.8565,1.68989,1.57295,14.8039,13.6964,1500.04,23:21:07,0.0270011,0,222.445,4.99951,4068.38,13592.2,41.062,42.562,42,42.5,43.437,1454.67,40.37,0,80.79999995,222.8551154,-2.222598297,###############################################################################################################################################################################################################################################################,4072.439615,15,1563814769,11:59:29,26,0.171,0.138,20,16,0.26,0.08,19.26149524,-0.497111688,0.026171349,1,1.499631615,-0.033159386,0.003635725,1,2,2,2-Feb,2.965,2.79153,0.00547675,0.00591093,0.0889594,0.0872675,23056.4,29997.9,23486.9,27840.1,31217.5,33694.2,37527.8,40276.2,2.0145,2.0511,0.106901,0,23.2913,999.9,55.201,27.493,20.5005,61.9428,32.3878,1,-0.0961839,1.36758,20.18,5.26341,12.0159,5.00065,3.288,9999,564.6,9999,9999,1.87834,1.88335,1.88124,1.87836,1.87805,1.88019,1.87913,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.171,0.138,2,514.131,514.101,22.4534,25.8665,30.0001,25.8964,25.8695,3.80833,28.3755,51.14,22.4286,20,15.9058,100.064,100.447
ME304,plant_1,26,1563814830,3492.5,20190722 12:00:30,12:00:30,1563814830,0.004200298,1.252006328,9.63146,2.198082053,0.218499173,0.957410138,0.28568065,3.433474974,0.273101619,0.171772529,241.6699054,25.52925601,25.0124,3.182029011,52.40958167,1.690661217,3.225862835,1.491367794,-185.2331211,42.51873399,2.622785252,101.5783035,-0.041144951,0.046188812,3.452643827,0,0,1,0,52775.17891,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6972-20190722-12_03_42,221.4689615,230.574,0.039488574,0.5,1261.2279,1.252006328,24.90204564,0.457007295,0.001231958,1.51331393,DARK-6973-20190722-12_03_44,125.2,105.374,0.086406879,0.768054422,0.057808723,0.688996114,6972,300,300,300,7145.25,229.522,-0.00483588,2.09309,-,-,-,-,-,-,-,-,-,-,1500.02,1261.2279,0.840807389,0.191614779,1563814830,9.63146,10.005,17.0079,15.8146,499.975,99.2042,0.200266,25.2421,25.0124,999.9,0,0,10001.9,0,6.31032,-0.370587,9.80117,10.1658,1.19423,9.46346,10.005,16.8709,15.8146,1.68735,1.56888,14.7806,13.6565,1500.02,23:21:07,0.0270011,0,221.369,4.99951,4044.79,13592,41.062,42.625,42.125,42.562,43.5,1454.65,40.37,0,82,221.4689615,-1.898017088,###############################################################################################################################################################################################################################################################,4049.984231,15,1563814853,12:00:53,27,0.168,0.137,10,16,0.39,0.06,9.656879048,-0.004937143,0.008553821,1,1.497349581,-0.032454711,0.003695766,1,2,2,2-Feb,2.96479,2.79191,0.00270648,0.00295872,0.0888763,0.0871028,23122.2,30087.2,23488.4,27840.4,31222.6,33700.6,37530.6,40276.8,2.01455,2.05053,0.10208,0,23.3353,999.9,54.938,27.523,20.4392,61.5928,32.2716,1,-0.096189,1.29689,20.1804,5.26057,12.0159,4.9989,3.28725,9999,564.6,9999,9999,1.87836,1.88334,1.88119,1.87836,1.87806,1.88021,1.87913,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.168,0.137,2,514.187,513.689,22.3003,25.8752,30,25.8986,25.8695,3.37453,28.2699,50.7661,22.3091,10,15.7822,100.071,100.449
ME304,plant_1,34,1563815511,4173.1,20190722 12:11:50,12:11:50,1563815511,0.001697736,19.71427324,394.099,101.2978706,10.06975298,39.17633762,0.111726637,3.433888157,0.10974572,0.068766127,241.6613635,25.49994714,24.9723,3.174430303,53.75904424,1.674129139,3.114134863,1.500301164,-74.87014875,-59.46304239,-3.655927554,103.6722448,-0.041151214,0.046195843,3.453059928,0,0,1,0,52887.75708,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6988-20190722-12_15_03,205.1583462,236.683,0.13319357,0.5,1261.1856,19.71427324,83.99090659,0.427081793,0.015870817,1.448443049,DARK-6989-20190722-12_15_05,135.6,101.083,0.311868997,0.772286784,0.192679531,0.676933331,6988,300,300,300,7143.81,230.928,-0.00483493,2.11862,-,-,-,-,-,-,-,-,-,-,1499.97,1261.1856,0.840807216,0.191614433,1563815511,394.099,399.99,16.8411,16.3587,499.982,99.2074,0.199951,24.6511,24.9723,999.9,0,0,10003.1,0,6.31032,-5.85522,400.89,406.642,0.491398,393.196,399.99,16.6851,16.3587,1.67166,1.62291,14.6357,14.1781,1499.97,23:21:07,0.0269969,0,204.675,4.99951,3767.22,13591.6,41.375,42.937,42.375,42.812,43.687,1454.61,40.36,0,78.39999986,205.1583462,-2.67900854,###############################################################################################################################################################################################################################################################,3770.481923,15,1563815534,12:12:13,35,0.903,0.156,400,16,0.63,0.27,394.1712381,0.124195152,0.011092274,1,1.508037196,-0.037736001,0.003955503,1,2,2,2-Feb,2.96481,2.79161,0.0923578,0.0961648,0.0881595,0.0892914,21051.7,27276.5,23497.7,27842.9,31265,33629.7,37546.1,40281.2,2.01413,2.05093,0.124719,0,22.9224,999.9,53.547,27.815,20.2637,61.7583,32.3518,1,-0.0970478,1.38582,20.1802,5.26371,12.0159,5.00065,3.288,9999,564.8,9999,9999,1.87836,1.88336,1.88123,1.87836,1.87806,1.8802,1.87915,1.87522,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.903,0.156,2,513.807,513.881,21.5753,25.8612,29.9998,25.8899,25.86,20.3062,25.4996,48.5047,21.5965,400,16.367,100.112,100.459
ME304,plant_1,35,1563815600,4262.1,20190722 12:13:19,12:13:19,1563815600,0.001478415,20.8641185,493.823,136.5577957,13.57589517,49.09342046,0.096806505,3.432060517,0.095314744,0.059703829,241.6597675,25.60878239,25.0553,3.190175896,53.94836583,1.685979222,3.125171998,1.504196674,-65.19808482,-63.83509008,-3.929634646,108.696958,-0.04112351,0.046164743,3.451219381,0,0,1,0,52843.25664,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6990-20190722-12_16_32,206.1161154,239.128,0.138051105,0.5,1261.1772,20.8641185,87.053453,0.414539493,0.016782647,1.423408577,DARK-6991-20190722-12_16_34,140,99.128,0.333022805,0.774455274,0.198798697,0.672105453,6990,300,300,300,7143.72,233.17,-0.00483488,2.48019,-,-,-,-,-,-,-,-,-,-,1499.96,1261.1772,0.840807222,0.191614444,1563815600,493.823,500.062,16.959,16.5391,500.138,99.2148,0.200214,24.7103,25.0553,999.9,0,0,9995.62,0,6.31032,-6.46967,502.103,508.472,0.410885,492.69,500.062,16.794,16.5391,1.68169,1.64092,14.7284,14.3486,1499.96,23:21:07,0.0269969,0,205.876,4.99951,3786.42,13591.5,41.375,42.937,42.437,42.812,43.75,1454.6,40.36,0,88.79999995,206.1161154,-1.616854691,###############################################################################################################################################################################################################################################################,3788.699615,15,1563815621,12:13:41,36,1.133,0.165,500,17,0.36,0.17,493.5540476,0.424207792,0.029402747,1,1.506518032,-0.002869594,0.001278519,1,2,2,2-Feb,2.96521,2.79181,0.109362,0.113578,0.0885923,0.0900181,20658.3,26751.9,23498.8,27843.7,31252.5,33605.2,37548,40282.5,2.01465,2.0513,0.128135,0,22.9495,999.9,53.4,27.855,20.2513,61.8883,32.3157,1,-0.0976067,1.66879,20.1772,5.26416,12.0159,5.00095,3.28785,9999,564.8,9999,9999,1.87836,1.88333,1.88124,1.87836,1.87805,1.88019,1.87913,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.133,0.165,2,514.044,514.046,21.5661,25.8469,30.0002,25.8769,25.8497,24.3114,24.5162,48.1332,21.5194,500,16.5605,100.117,100.462
ME304,plant_1,36,1563815683,4345.1,20190722 12:14:42,12:14:42,1563815683,0.001158156,21.30360794,593.736,130.55357,12.97947835,59.02851648,0.075828839,3.425043902,0.074908383,0.046899508,241.6565755,25.57461175,25.0404,3.187344262,54.36033654,1.687922326,3.105062318,1.499421936,-51.07466181,-80.89558857,-4.98697996,104.6993452,-0.041017208,0.04604541,3.444153241,0,0,1,0,52731.39387,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6992-20190722-12_17_55,206.9290769,242.339,0.146117311,0.5,1261.1604,21.30360794,92.13868334,0.422296865,0.017131351,1.391298331,DARK-6993-20190722-12_17_57,140,102.339,0.346006147,0.767149325,0.209194622,0.665765038,6992,300,300,300,7143.69,233.706,-0.00483483,1.9126,-,-,-,-,-,-,-,-,-,-,1499.94,1261.1604,0.840807233,0.191614465,1563815683,593.736,600.091,16.9779,16.6489,500.037,99.2188,0.199993,24.6023,25.0404,999.9,0,0,9969.38,0,6.31032,-6.35938,603.983,610.252,0.323917,592.599,600.091,16.8079,16.6489,1.68403,1.65189,14.75,14.4516,1499.94,23:21:07,0.0269969,0,206.702,4.99951,3797.41,13591.3,41.437,43,42.437,42.812,43.75,1454.58,40.36,0,82.4000001,206.9290769,-1.490393165,###############################################################################################################################################################################################################################################################,3801.481923,15,1563815708,12:15:07,37,1.137,0.17,600,17,0.4,0.19,593.6465714,0.467844156,0.027347101,1,1.506204242,-0.01917857,0.002459207,1,2,2,2-Feb,2.96497,2.79136,0.124829,0.129352,0.088652,0.0904596,20301,26276.6,23500.4,27844.5,31253.4,33590.6,37550.6,40283.3,2.01443,2.05205,0.128902,0,22.9219,999.9,53.302,27.865,20.227,61.6584,32.3037,1,-0.0973476,2.07901,20.1724,5.26012,12.0159,4.9987,3.28725,9999,564.8,9999,9999,1.87836,1.8833,1.88118,1.87836,1.87805,1.88019,1.87914,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.137,0.17,2,513.782,514.475,21.0415,25.8382,30.0001,25.866,25.8389,28.1842,24.1688,48.1332,21.0415,600,16.6926,100.123,100.464
ME304,plant_1,37,1563815779,4441.1,20190722 12:16:18,12:16:18,1563815779,0.001180714,21.25898363,693.695,236.7817377,23.5410099,68.96765359,0.077183224,3.433929121,0.076232251,0.047729622,241.6565755,25.51530743,24.989,3.177592923,54.12184723,1.675308659,3.095438801,1.502284264,-52.06949854,-81.1980122,-4.990074439,103.3989903,-0.041151835,0.04619654,3.453101182,0,0,1,0,52906.71412,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6994-20190722-12_19_31,207.1403846,242.58,0.146094548,0.5,1261.1604,21.25898363,92.12432915,0.450078325,0.017095967,1.388922608,DARK-6995-20190722-12_19_33,133.4,109.18,0.324598053,0.755259328,0.209072365,0.665289161,6994,300,300,300,7143.7,234.69,-0.00483484,1.74391,-,-,-,-,-,-,-,-,-,-,1499.94,1261.1604,0.840807233,0.191614465,1563815779,693.695,700.076,16.8507,16.5152,499.965,99.2208,0.199916,24.5504,24.989,999.9,0,0,10001.9,0,6.31032,-6.46387,705.504,711.832,0.340494,692.476,700.076,16.6857,16.5152,1.67243,1.63865,14.6429,14.3271,1499.94,23:21:07,0.0269969,0,206.966,4.99951,3801.35,13591.3,41.375,43,42.437,42.812,43.75,1454.58,40.36,0,95.5,207.1403846,-0.907555551,###############################################################################################################################################################################################################################################################,3804.597308,15,1563815799,12:16:39,38,1.219,0.165,700,17,0.32,0.18,693.58,0.463636364,0.028458826,1,1.505006867,-0.017464597,0.00206229,1,2,2,2-Feb,2.9648,2.79156,0.139022,0.143828,0.0881809,0.089933,19973.2,25841.5,23501.9,27846.2,31272.7,33612.7,37553.4,40285.6,2.01485,2.052,0.131123,0,22.8337,999.9,53.223,27.926,20.268,61.6884,32.4239,1,-0.100315,1.36087,20.18,5.26521,12.0159,5.00115,3.288,9999,564.8,9999,9999,1.87834,1.88326,1.88111,1.87832,1.87804,1.88019,1.87913,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.219,0.165,2,513.971,514.332,21.5401,25.8251,30.0001,25.8552,25.8283,31.9608,24.8891,48.1332,21.5422,700,16.5206,100.13,100.47
