species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,20,1568219842,2915,20190911 11:37:22,11:37:22,1568219842,0.001252996,15.26897796,394.452,88.66561175,8.837404908,39.31549077,0.08241429,3.405820076,0.081322209,0.050923294,241.6635215,25.50369503,25.0061,3.180834148,54.36614285,1.682588822,3.094920356,1.498245326,-55.2571106,-84.18728124,-5.216858329,97.00227128,-0.04110336,0.046142123,3.44988046,0,0,1,0,52852.79543,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9420-20190911-11_41_08,188.3715769,218.762,0.138920028,0.5,1261.1943,15.26897796,87.60257351,0.484371143,0.013061477,1.455920132,DARK-9421-20190911-11_41_10,112.8,105.962,0.286804921,0.750361634,0.199331132,0.676275368,9420,300,300,300,7145.15,213.834,-0.00483592,2.78564,1499.98,1261.1943,0.840807411,0.191614822,1568219842,394.452,399.934,16.8814,16.453,500.041,99.4709,0.200266,24.5476,25.0061,999.9,0,0,9965,0,6.42402,-5.51788,401.189,406.624,0.430447,393.317,399.934,16.7144,16.453,1.67941,1.63659,14.7074,14.3077,1499.98,0.972999,0.0270011,0,188.616,4.99951,3455.55,13591.7,40.562,42.125,41.562,42.125,42.937,1454.61,40.37,0,112.8999999,188.3715769,-1.191350432,-24.18871796,3458.296154,15,1568219862,11:37:41,21,1.135,0.167,400,16,0.28,0.18,394.4461429,-0.047376623,0.014337051,1,1.50394839,-0.029493964,0.003187606,1,2,2,2/2,2.96497,2.79159,0.0926284,0.0964138,0.0885103,0.0899071,21092.6,27286.7,23550.4,27861,31321.4,33628.4,37628.4,40306.7,2.01332,2.06405,0.125021,0,22.9514,999.9,59.138,26.445,20.5962,61.8337,32.2436,1,-0.0973628,2.00453,20.201,5.26431,12.0159,5.00115,3.288,9999,9999,663.3,9999,1.87793,1.88296,1.88084,1.87799,1.87775,1.87988,1.87883,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.135,0.167,2,513.146,523.258,21.0512,25.8621,30.0001,25.879,25.85,20.2684,25.3123,49.5305,21.0496,400,16.4784,100.333,100.523
ME034,plant_1,21,1568219950,3022.5,20190911 11:39:09,11:39:09,1568219950,0.001617887,13.8444055,295.033,82.0779901,8.180959343,29.40682362,0.107903334,3.419675311,0.106046921,0.066443457,241.6517876,25.41036902,24.9207,3.164675748,54.33869773,1.680995079,3.093550543,1.483680669,-71.34881357,-70.14956421,-4.327342311,95.82606748,-0.041315462,0.046380226,3.463963056,0,0,1,0,53115.7832,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9422-20190911-11_42_55,187.3843846,216.027,0.132588127,0.5,1261.1352,13.8444055,83.60577727,0.464881705,0.011932493,1.487013197,DARK-9423-20190911-11_42_58,115.6,100.427,0.285208314,0.761830566,0.191298933,0.682082631,9422,300,300,300,7144.75,211.006,-0.00483557,2.44225,1499.91,1261.1352,0.840807249,0.191614497,1568219950,295.033,300.014,16.8651,16.3119,500.01,99.4731,0.199898,24.5402,24.9207,999.9,0,0,10016.2,0,6.42402,-4.85471,300.226,304.989,0.564264,294.024,300.014,16.7091,16.3119,1.67872,1.62259,14.7011,14.1751,1499.91,0.972999,0.0270011,0,187.194,4.99951,3437.85,13591,40.75,42.25,41.687,42.25,43.062,1454.55,40.36,0,106.8999999,187.3843846,-2.036923091,-35.25538465,3441.632308,15,1568219969,11:39:28,22,1.009,0.156,300,16,0.42,0.23,295.2129524,-0.477038961,0.026172461,1,1.487908017,-0.038743742,0.004367309,1,2,2,2/2,2.96489,2.79167,0.073558,0.0768772,0.0884926,0.0893463,21537.7,27877.9,23552.4,27862.1,31323.7,33648.7,37631.6,40307.8,2.01345,2.06275,0.124622,0,22.8723,999.9,58.833,26.516,20.5751,61.9337,32.3077,1,-0.0999594,1.08545,20.2098,5.26356,12.0159,4.99945,3.288,9999,9999,663.4,9999,1.87798,1.88301,1.88093,1.87803,1.87775,1.87988,1.87885,1.87487,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.009,0.156,2,513.19,522.268,21.701,25.86,29.9999,25.8747,25.8456,16.1349,26.3096,49.1594,21.7146,300,16.2021,100.341,100.526
ME034,plant_1,22,1568220060,3132.5,20190911 11:40:59,11:40:59,1568220060,0.001988664,12.15080143,195.701,44.43380532,4.428817663,19.50596037,0.13347988,3.417149599,0.130649496,0.081905235,241.6422117,25.53922265,24.9665,3.173332551,54.04468419,1.693222335,3.133004402,1.480110217,-87.70008066,-39.47949662,-2.440352655,112.0222817,-0.041276769,0.04633679,3.461395867,0,0,1,0,53030.28263,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9424-20190911-11_44_45,187.8423077,213.969,0.122105035,0.5,1261.0848,12.15080143,76.99240206,0.518621856,0.010589996,1.510933827,DARK-9425-20190911-11_44_48,103,110.969,0.23544136,0.744465323,0.176927401,0.68645241,9424,300,300,300,7144.43,209.724,-0.00483534,2.16924,1499.85,1261.0848,0.840807281,0.191614562,1568220060,195.701,200.063,16.9879,16.3079,499.932,99.4723,0.199957,24.7522,24.9665,999.9,0,0,10006.9,0,6.42402,-3.95575,199.497,203.38,0.682003,195.098,200.063,16.8339,16.3079,1.69003,1.62219,14.8051,14.1712,1499.85,0.972999,0.0270011,0,187.63,4.99951,3445.32,13590.4,40.812,42.437,41.875,42.312,43.25,1454.49,40.36,0,109.8999999,187.8423077,-2.114051297,-42.90940173,3450.684615,15,1568220077,11:41:17,23,0.603,0.154,200,16,0.29,0.13,196.1739048,-0.864935065,0.04563197,0,1.486133948,-0.032356349,0.00364447,1,1,2,1/2,2.9647,2.79165,0.0518766,0.0545723,0.088979,0.0893306,22043,28551.9,23553.7,27862.4,31307.6,33648,37633.9,40308,2.01365,2.06203,0.121649,0,22.9671,999.9,58.497,26.576,20.528,61.8237,32.3237,1,-0.100577,0.920253,20.2103,5.26177,12.0159,4.99915,3.28725,9999,9999,663.4,9999,1.87801,1.88305,1.88091,1.87804,1.87775,1.8799,1.87892,1.87488,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.603,0.154,2,513.287,521.698,22.1529,25.8534,30,25.8703,25.8413,11.8302,26.0003,48.4109,22.1551,200,16.1584,100.347,100.527
ME034,plant_1,23,1568220148,3220.5,20190911 11:42:27,11:42:27,1568220148,0.002221084,6.92147593,97.5345,20.27729327,2.021082654,9.721479264,0.149083274,3.413270788,0.145557992,0.091283534,241.6762893,25.60113301,25.0052,3.180663485,53.79879619,1.696969228,3.154288476,1.483694256,-97.94981302,-25.68866916,-1.590920279,116.4468869,-0.041217372,0.046270111,3.457453385,0,0,1,0,52936.92679,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9426-20190911-11_46_13,194.5889615,211.224,0.078755437,0.5,1261.2615,6.92147593,49.66560043,0.501003674,0.006442405,1.543565125,DARK-9427-20190911-11_46_16,105.4,105.824,0.157195329,0.75495876,0.114784566,0.692280906,9426,300,300,300,7144.22,210.558,-0.00483511,1.94414,1500.06,1261.2615,0.840807368,0.191614736,1568220148,97.5345,100.017,17.0255,16.2662,500.027,99.4723,0.199911,24.8656,25.0052,999.9,0,0,9992.5,0,6.42402,-2.20773,99.5035,101.671,0.758253,97.2065,100.017,16.8705,16.2662,1.69346,1.61804,14.8366,14.1317,1500.06,0.972999,0.0270011,0,193.944,4.99951,3563.37,13592.3,40.937,42.5,41.937,42.437,43.312,1454.69,40.37,0,87.69999981,194.5889615,-2.199692301,-46.32273506,3568.479231,15,1568220168,11:42:48,24,0.328,0.155,100,16,0.37,0.13,97.85888571,-0.459631169,0.023992445,1,1.495839,-0.056741089,0.006088487,1,2,2,2/2,2.96495,2.79147,0.027228,0.0288424,0.0891215,0.089164,22617.4,29328.3,23554.9,27861.6,31303.1,33652.3,37636,40307.6,2.01378,2.06163,0.118017,0,23.0657,999.9,58.222,26.606,20.4676,61.6637,32.1034,1,-0.0995351,1.47223,20.2062,5.26132,12.0159,5.001,3.288,9999,9999,663.4,9999,1.87791,1.88302,1.88085,1.87799,1.87775,1.8799,1.87883,1.87485,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.328,0.155,2,513.352,521.385,21.9204,25.8491,30,25.8682,25.8391,7.37934,25.6739,48.0402,21.9273,100,16.2734,100.353,100.525
ME034,plant_1,24,1568220231,3303.5,20190911 11:43:50,11:43:50,1568220231,0.002561496,3.734222949,48.6337,12.12899962,1.208936193,4.847476458,0.171058504,3.412449063,0.166433633,0.104426132,241.6757274,25.58742902,25.0097,3.181516879,53.21719522,1.684945527,3.166167477,1.496571352,-112.9619822,-14.92012546,-0.924552164,112.8690675,-0.041204792,0.046255989,3.456618176,0,0,1,0,52910.25158,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9428-20190911-11_47_36,201.3555,214.919,0.063109823,0.5,1261.2612,3.734222949,39.79898541,0.445372443,0.00391537,1.499834821,DARK-9429-20190911-11_47_39,119.2,95.719,0.14170123,0.771041137,0.091263567,0.684435262,9428,300,300,300,7144.09,213.738,-0.00483504,2.03983,1500.06,1261.2612,0.840807168,0.191614336,1568220231,48.6337,49.9759,16.9047,16.0288,499.959,99.473,0.200199,24.9286,25.0097,999.9,0,0,9989.38,0,6.43823,-1.24819,49.5661,50.79,0.88586,48.3997,49.9759,16.7597,16.0288,1.68256,1.59444,14.7364,13.9051,1500.06,0.973003,0.0269969,0,201.16,4.99951,3683.77,13592.4,41.062,42.562,42,42.5,43.437,1454.7,40.36,0,82.5999999,201.3555,-0.694598284,-22.50905979,3686.770385,15,1568220250,11:44:09,25,0.234,0.145,50,16,0.3,0.15,48.77665238,-0.496909091,0.027995112,1,1.504368468,-0.047494598,0.005101661,1,2,2,2/2,2.96478,2.79174,0.0137911,0.0146955,0.0886915,0.0882113,22931.3,29757.3,23556.3,27863.1,31319.4,33688.5,37638.5,40310.2,2.01375,2.06072,0.116639,0,23.0929,999.9,57.966,26.667,20.4525,61.9137,32.3598,1,-0.100526,1.29378,20.2078,5.26236,12.0159,4.99955,3.288,9999,9999,663.5,9999,1.87801,1.88306,1.88092,1.87805,1.87775,1.87992,1.87893,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.234,0.145,2,513.313,520.711,22.0887,25.8491,29.9999,25.866,25.837,5.16353,26.6589,47.2927,22.093,50,16.0372,100.359,100.531
ME034,plant_1,25,1568220311,3383.5,20190911 11:45:10,11:45:10,1568220311,0.002708169,1.362133025,19.5165,6.864724442,0.684265662,1.945376089,0.181241381,3.408716528,0.176052979,0.110486897,241.6709394,25.60022478,25.0162,3.182749912,53.13453601,1.68687975,3.174733189,1.495870162,-119.4302417,-7.773501687,-0.482352097,113.9848439,-0.041147669,0.046191863,3.452824408,0,0,1,0,52831.94614,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9430-20190911-11_48_56,203.9045385,212.384,0.039925143,0.5,1261.236,1.362133025,25.17751374,0.450052735,0.002034683,1.529672668,DARK-9431-20190911-11_48_59,116.8,95.584,0.088712144,0.772669112,0.058045108,0.689817862,9430,300,300,300,7144,212.384,-0.00483501,2.38545,1500.03,1261.236,0.840807184,0.191614368,1568220311,19.5165,20.0086,16.9232,15.9973,500.033,99.4783,0.200233,24.9739,25.0162,999.9,0,0,9975,0,6.42402,-0.619116,19.7234,20.3339,0.927903,19.1555,20.0086,16.7802,15.9973,1.68369,1.59138,14.7469,13.8756,1500.03,0.973003,0.0269969,0,203.491,4.99951,3726.35,13592.1,41.125,42.687,42.125,42.562,43.5,1454.67,40.36,0,79.5999999,203.9045385,-2.977025635,-53.54290592,3732.348846,15,1568220330,11:45:30,26,0.361,0.143,20,16,0.48,0.14,19.37005714,-0.068680519,0.012512454,1,1.503024444,-0.029929551,0.003227654,1,2,2,2/2,2.96496,2.79165,0.00548906,0.00592569,0.0887765,0.0880896,23125,30021.4,23557,27862.4,31317,33691.9,37639.7,40309.5,2.0139,2.06035,0.114791,0,23.1299,999.9,57.655,26.707,20.3883,62.1637,32.3518,1,-0.099939,1.42834,20.2065,5.26386,12.0159,5.0006,3.288,9999,9999,663.5,9999,1.87803,1.883,1.8809,1.87803,1.87775,1.8799,1.87889,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.361,0.143,2,513.397,520.395,22.0329,25.8491,30,25.8638,25.8326,3.84834,26.4043,46.9222,22.0219,20,16.0431,100.362,100.529
ME034,plant_1,26,1568220391,3464,20190911 11:46:31,11:46:31,1568220391,0.002853401,0.563944491,9.77141,4.753773248,0.473847798,0.973997049,0.191391932,3.417818386,0.185630949,0.1165225,241.6725354,25.59032004,25.0048,3.180587637,53.02327853,1.685798435,3.179355336,1.494789202,-125.8349817,-1.197699261,-0.074125149,114.5657293,-0.041287014,0.04634829,3.462075635,0,0,1,0,52999.22535,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9432-20190911-11_50_17,202.3111923,210.51,0.038947355,0.5,1261.2444,0.563944491,24.56106668,0.496460976,0.001401811,1.552192295,DARK-9433-20190911-11_50_19,106,104.51,0.078449983,0.757664714,0.056853254,0.693796952,9432,300,300,300,7143.9,210.224,-0.00483483,2.09186,1500.04,1261.2444,0.840807179,0.191614357,1568220391,9.77141,9.97722,16.9124,15.9369,500.066,99.4781,0.20015,24.9983,25.0048,999.9,0,0,10008.8,0,6.42402,-0.241804,9.90291,10.1388,0.977479,9.37441,9.97722,16.7714,15.9369,1.68261,1.58538,14.737,13.8174,1500.04,0.973003,0.0269969,0,202.067,4.99951,3700.72,13592.2,41.187,42.75,42.187,42.625,43.562,1454.68,40.36,0,79.89999986,202.3111923,-1.287282063,-32.20923079,3704.569231,15,1568220409,11:46:48,27,0.397,0.141,10,16,0.52,0.1,9.728448095,-0.020819221,0.006011651,1,1.497863168,-0.011213547,0.001248569,1,2,2,2/2,2.96504,2.79186,0.00268877,0.00295904,0.0887427,0.0878464,23191,30112.1,23557.8,27863.3,31319.4,33701.5,37641.4,40310.6,2.01395,2.05993,0.113249,0,23.1438,999.9,57.392,26.737,20.3326,61.6237,32.1595,1,-0.100615,1.26281,20.2078,5.26236,12.0159,5.00005,3.288,9999,9999,663.5,9999,1.87805,1.88308,1.88091,1.87805,1.87775,1.87993,1.87888,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.397,0.141,2,513.41,520.065,22.1443,25.8491,29.9999,25.8616,25.8304,3.41815,26.2601,46.5495,22.1379,10,15.9841,100.366,100.532
ME034,plant_1,35,1568221152,4224.9,20190911 11:59:12,11:59:12,1568221152,0.00102705,15.37484774,494.499,115.3073975,11.49397733,49.29224333,0.066811755,3.411654954,0.066093303,0.04137222,241.6358126,25.55793507,25.0416,3.187572232,54.14959843,1.67637826,3.095827686,1.511193972,-45.29290784,-89.9597433,-5.566161214,100.8170002,-0.041192637,0.046242343,3.455811037,0,0,1,0,52962.30962,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9450-20190911-12_02_58,183.7488462,210.999,0.129148261,0.5,1261.051192,15.37484774,81.43128403,0.452130105,0.013146912,1.546277471,DARK-9451-20190911-12_03_00,115.6,95.399,0.28564402,0.773754808,0.188323028,0.692758651,9450,300,300,300,7142.69,205.76,-0.00483407,2.57285,1499.81,1261.051192,0.840807297,0.191614594,1568221152,494.499,500.023,16.8174,16.4662,500.001,99.4811,0.200079,24.5525,25.0416,999.9,0,0,9985.62,0,6.42402,-5.73703,502.743,508.394,0.355261,493.105,500.023,16.6544,16.4662,1.67341,1.63807,14.652,14.3217,1499.81,0.973003,0.0269969,0,183.369,4.99951,3387.08,13590.1,41.562,43.125,42.562,43,43.812,1454.46,40.36,0,87,183.7488462,-1.011555555,-17.90974359,3390.130769,15,1568221172,11:59:32,36,1.394,0.163,500,16,0.39,0.34,494.2751429,0.445090909,0.027421378,1,1.510325114,-0.005938822,0.000789067,1,2,2,2/2,2.9649,2.79158,0.109731,0.113886,0.0882927,0.0899765,20708.3,26762.8,23565.3,27864.6,31350.9,33632.5,37653.7,40313.4,2.01382,2.06053,0.13433,0,22.8337,999.9,55.848,27.06,20.1648,61.7837,32.2877,1,-0.100165,1.81413,20.2028,5.26461,12.0159,4.9997,3.288,9999,9999,663.7,9999,1.87801,1.88302,1.88091,1.87804,1.87775,1.87989,1.87887,1.87487,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.394,0.163,2,513.154,520.344,21.2927,25.8257,30.0003,25.8443,25.8153,24.2787,23.8877,45.056,21.2844,500,16.4816,100.399,100.538
ME034,plant_1,36,1568221244,4316.9,20190911 12:00:44,12:00:44,1568221244,0.000651134,14.95618303,594.694,22.93657373,2.286305238,59.2787756,0.042667769,3.416830243,0.042373961,0.026509954,241.6703774,25.52362356,25.0395,3.187173294,55.07230118,1.692955915,3.074060605,1.494217379,-28.71502481,-111.4275112,-6.879855662,94.64798578,-0.041271878,0.046331298,3.461071268,0,0,1,0,53081.03055,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9452-20190911-12_04_30,183.4901538,210.275,0.127380079,0.5,1261.2357,14.95618303,80.3281517,0.520627749,0.012813041,1.555044584,DARK-9453-20190911-12_04_32,100.8,109.475,0.244666327,0.749176332,0.186038174,0.69429593,9452,300,300,300,7142.58,205.278,-0.00483398,2.4259,1500.03,1261.2357,0.840806984,0.191613968,1568221244,594.694,600.03,16.984,16.7614,500.041,99.4794,0.200058,24.4346,25.0395,999.9,0,0,10005,0,6.42402,-5.39984,604.895,610.259,0.207617,593.237,600.03,16.806,16.7614,1.68807,1.66741,14.7871,14.5964,1500.03,0.973007,0.0269927,0,183.501,4.99951,3381.71,13592.1,41.562,43.125,42.625,43,43.875,1454.68,40.35,0,91.79999995,183.4901538,-1.998769222,-24.81230771,3384.650769,15,1568221263,12:01:03,37,1.457,0.178,600,17,0.6,0.41,594.597381,0.499012987,0.027840492,1,1.503494391,-0.050108417,0.005335746,1,2,2,2/2,2.965,2.79173,0.125258,0.129692,0.088882,0.0911479,20347.1,26285.6,23565.3,27864.8,31331.4,33590.6,37653.9,40313.5,2.01358,2.06113,0.135645,0,22.81,999.9,55.787,27.11,20.2017,62.0637,32.0553,1,-0.0981377,2.39354,20.1956,5.26416,12.0159,5.0006,3.288,9999,9999,663.7,9999,1.87804,1.88308,1.88093,1.87805,1.87775,1.8799,1.87893,1.8749,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.457,0.178,2,513.002,520.801,20.6144,25.8294,30,25.8465,25.8175,28.1492,22.292,45.056,20.6154,600,16.8255,100.399,100.539
ME034,plant_1,37,1568221329,4401.9,20190911 12:02:09,12:02:09,1568221329,0.000778915,16.59514106,694.169,153.7999026,15.33043563,69.19323736,0.050467419,3.412411889,0.050056408,0.031321904,241.6687815,25.43273061,24.9709,3.174165298,54.22922919,1.660721825,3.062410898,1.513443473,-34.35014956,-110.3267789,-6.816178245,90.17567479,-0.041204223,0.04625535,3.456580391,0,0,1,0,53008.83155,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9454-20190911-12_05_55,183.0024231,209.727,0.127425543,0.5,1261.2273,16.59514106,80.356287,0.470740534,0.014112621,1.561720713,DARK-9455-20190911-12_05_57,111,98.727,0.270691674,0.768388925,0.186328773,0.695459506,9454,300,300,300,7142.55,206.044,-0.00483393,2.21059,1500.02,1261.2273,0.84080699,0.191613979,1568221329,694.169,700.129,16.6609,16.3945,499.987,99.4779,0.199898,24.3712,24.9709,999.9,0,0,9988.75,0,6.42402,-5.93121,705.971,711.798,0.282364,692.741,700.129,16.4989,16.3945,1.65898,1.63089,14.5179,14.2538,1500.02,0.973007,0.0269927,0,182.367,4.99951,3375.56,13592,41.562,43.125,42.625,43,43.875,1454.67,40.35,0,84.39999986,183.0024231,-0.62786325,-9.638632479,3376.348846,15,1568221355,12:02:34,38,1.428,0.162,700,16,0.44,0.19,694.1536667,0.455376623,0.025007301,1,1.510741577,0.007887355,0.001044182,1,2,2,2/2,2.96486,2.79143,0.139418,0.14421,0.0876802,0.0896872,20017.8,25847.3,23565.3,27865,31374.3,33644.9,37654.5,40313.4,2.01362,2.06033,0.137359,0,22.7129,999.9,55.61,27.15,20.184,62.1138,32.1514,1,-0.10081,1.41768,20.2073,5.26461,12.0159,5.00055,3.288,9999,9999,663.8,9999,1.87804,1.88305,1.88095,1.87805,1.87775,1.8799,1.87894,1.87487,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.428,0.162,2,513.057,520.224,21.2893,25.8338,30,25.8486,25.8177,31.9102,24.1976,44.6853,21.3007,700,16.4512,100.4,100.539
