species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_hum,AccH2O_des,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,19,1572467657,2768.6,20191030 15:34:17,15:34:17,1572467657,0.002245092,20.6784913,399.982,166.1563755,16.48795501,39.69083463,0.148856426,3.424360161,0.145352821,0.09115343,241.6464376,25.48438193,24.9945,3.178635107,53.71938922,1.683473203,3.133827892,1.495161904,-99.00854665,-43.91969558,-2.709541045,96.00865437,-0.04111706,0.046157502,3.450790828,0,0,1,0,52823.10135,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10506-20191030-15_38_40,235.7653462,278.677,0.153983479,0.5,1261.1097,20.6784913,97.09502924,0.501932345,0.016979075,1.204417245,DARK-10507-20191030-15_38_43,138.8,139.877,0.306781343,0.705844366,0.213871331,0.625866663,10506,300,300,300,7131.07,269.818,-0.00482623,1.72302,1499.88,1261.1097,0.840807065,0.19161413,1572467657,399.982,406.627,16.9651,16.2854,500.042,99.032,0.199552,24.7566,24.9945,999.9,0,0,10012.5,0,4.33479,-6.64493,406.885,413.358,0.679653,398.863,406.627,16.8081,16.2854,1.68009,1.61278,14.7136,14.0814,1499.88,0.973008,0.0269919,0,235.387,4.99951,4290.25,13590.8,41.125,42.75,42.125,42.687,43.5,1454.53,40.35,0,150.2,235.7653462,-2.696034172,-39.99999995,4295.992308,15,1572467594,15:33:14,66,1.119,0.157,407,16,0.54,0.15,399.9761905,0.018857143,0.007531641,1,1.489581478,0.008147517,0.00162652,1,2,2,2/2,2.96432,2.7913,0.0930402,0.0970257,0.0883241,0.0886842,21080,27238.5,23549.7,27832.9,31333.8,33642.6,37635.5,40269.1,1.99797,2.036,0.109561,0,23.1942,999.9,47.632,29.306,19.6902,61.4056,29.1587,1,-0.0431936,1.3976,20.1805,5.26446,12.0159,4.99895,3.28797,9999,9999,9999,696.1,1.87836,1.88326,1.88115,1.87836,1.87805,1.88019,1.87913,1.87519,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.119,0.157,2,509.566,510.428,21.8404,26.574,30.0004,26.6114,26.5865,20.6126,24.657,59.1197,21.8034,406.572,16.2699,100.344,100.426
ME034,plant_1,20,1572467770,2881.5,20191030 15:36:10,15:36:10,1572467770,0.001782776,20.69501296,393.426,102.1466299,10.13716567,39.04411281,0.11800449,3.425619549,0.115791856,0.072565251,241.6704674,25.59813801,25.0387,3.187021329,54.1081514,1.696659259,3.135681437,1.49036207,-78.62042754,-50.2704407,-3.10104268,109.6785564,-0.0411362,0.046178989,3.452062519,0,0,1,0,52845.12878,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10508-20191030-15_40_33,233.4619231,276.463,0.155540079,0.5,1261.2282,20.69501296,98.08576711,0.469730127,0.016990579,1.222070891,DARK-10509-20191030-15_40_36,146.6,129.863,0.331126471,0.72234907,0.216708295,0.629995059,10508,300,300,300,7130.46,266.446,-0.00482578,1.49655,1500.02,1261.2282,0.840807589,0.191615179,1572467770,393.426,400.016,17.0963,16.5566,500.007,99.0415,0.199813,24.7665,25.0387,999.9,0,0,10016.2,0,4.37743,-6.61063,400.244,406.75,0.530691,392.286,400.016,16.9303,16.5566,1.69235,1.63979,14.8264,14.3379,1500.02,0.972992,0.0270081,0,233.103,4.99951,4252.98,13592,41.312,42.937,42.312,42.812,43.687,1454.64,40.38,0,112.4000001,233.4619231,-2.500307698,-44.16000003,4258.23,15,1572467788,15:36:28,67,1.14,0.166,400,17,0.27,0.19,393.4467143,-0.400051948,0.020953788,1,1.500124851,-0.0563114,0.005965812,1,2,2,2/2,2.96425,2.79159,0.0918762,0.0958376,0.0888092,0.0897732,21107.6,27274.4,23550.3,27832.9,31317.5,33603.4,37636.3,40270.1,1.99828,2.03663,0.108518,0,23.2557,999.9,47.418,29.316,19.6104,61.3556,29.379,1,-0.0420503,2.21962,20.1705,5.25907,12.0159,4.99865,3.28733,9999,9999,9999,696.2,1.87836,1.88334,1.88121,1.87833,1.87806,1.88022,1.87915,1.87519,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.14,0.166,2,509.562,510.662,21.1563,26.5518,29.9999,26.5892,26.5649,20.3573,22.5452,58.5855,21.1265,400,16.5393,100.346,100.428
ME034,plant_1,21,1572467874,2985,20191030 15:37:53,15:37:53,1572467874,0.002182047,19.23860373,293.883,72.63497217,7.209377044,29.16932836,0.144877075,3.419919334,0.141551832,0.088762298,241.6975991,25.47314823,24.9588,3.171875704,53.66933042,1.679234134,3.128852402,1.49264157,-96.22825539,-42.18492933,-2.605079926,100.6793345,-0.041049594,0.046081765,3.446306632,0,0,1,0,52745.1866,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10510-20191030-15_42_17,228.781,268.947,0.14934541,0.5,1261.371,19.23860373,94.18998465,0.47796406,0.015834032,1.284168943,DARK-10511-20191030-15_42_19,140.4,128.547,0.31246159,0.728758238,0.210389704,0.644009975,10510,300,300,300,7130.02,260.874,-0.00482544,2.0126,1500.19,1261.371,0.840807498,0.191614996,1572467874,293.883,300.006,16.9184,16.2577,500,99.055,0.199902,24.73,24.9588,999.9,0,0,9993.75,0,4.37743,-5.95374,299.117,304.964,0.672663,292.912,300.006,16.7644,16.2577,1.67704,1.61041,14.6855,14.0587,1500.19,0.972996,0.0270039,0,228.489,4.99951,4172.78,13593.5,41.437,43.062,42.437,42.937,43.75,1454.81,40.38,0,103.2,228.781,-2.91705982,-53.26700849,4178.216154,15,1572467895,15:38:14,68,0.971,0.154,300,16,0.38,0.18,294.0920476,-0.465818182,0.025486647,1,1.493933241,-0.013506201,0.00154653,1,2,2,2/2,2.96424,2.79148,0.0728822,0.076405,0.0881828,0.0886017,21550.8,27861.7,23552.1,27834,31340.2,33646.5,37638.7,40271.7,1.9983,2.03575,0.107381,0,23.1942,999.9,47.369,29.336,19.6116,61.7356,29.3069,1,-0.0455107,1.46174,20.1801,5.26132,12.0159,4.99915,3.288,9999,9999,9999,696.2,1.87836,1.88331,1.8812,1.87832,1.87805,1.8802,1.87913,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.971,0.154,2,509.451,509.904,21.6759,26.5428,30.0001,26.5758,26.5515,16.1944,24.3541,58.8078,21.7041,300,16.3068,100.353,100.432
ME034,plant_1,22,1572467986,3097,20191030 15:39:45,15:39:45,1572467986,0.002806457,17.19065031,194.56,41.14077386,4.083902891,19.31330094,0.187504978,3.406012652,0.181953408,0.114205975,241.6491576,25.52577462,24.9804,3.175963925,53.15803937,1.682339794,3.164789022,1.49362413,-123.7647507,-10.85223479,-0.67362473,106.3585473,-0.040838565,0.045844867,3.432264298,0,0,1,0,52451.41308,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10512-20191030-15_44_09,223.3548846,256.924,0.130657764,0.5,1261.1187,17.19065031,82.38747483,0.517367003,0.014213282,1.391058775,DARK-10513-20191030-15_44_11,124,132.924,0.252543674,0.728903786,0.18765292,0.666428992,10512,300,300,300,7129.68,251.586,-0.00482519,1.85867,1499.89,1261.1187,0.840807459,0.191614919,1572467986,194.56,200.022,16.9477,16.0981,500.082,99.0662,0.200355,24.9213,24.9804,999.9,0,0,9941.25,0,4.37743,-5.10669,198.277,203.294,0.857574,193.944,200.022,16.8017,16.0981,1.67974,1.59478,14.7104,13.9085,1499.89,0.972992,0.0270081,0,222.604,4.99951,4075.29,13590.8,41.562,43.125,42.562,43.062,43.875,1454.52,40.37,0,111.4000001,223.3548846,-6.206803417,-87.52239324,4085.067308,15,1572468008,15:40:07,69,0.616,0.146,200,16,0.63,0.12,195.0244286,-1.035272727,0.052574275,0,1.49819131,-0.018966511,0.002072929,1,1,2,1/2,2.96446,2.79148,0.0512893,0.0542283,0.0883404,0.0879779,22054.8,28532.6,23554.3,27835.7,31336.7,33670.2,37642.4,40274.3,1.99888,2.03523,0.104278,0,23.2669,999.9,47.32,29.346,19.5995,62.2956,29.0745,1,-0.0469411,1.28282,20.1814,5.26281,12.0159,4.99925,3.288,9999,9999,9999,696.2,1.87836,1.88335,1.88124,1.87835,1.87812,1.88023,1.87916,1.87518,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.616,0.146,2,509.722,509.374,22.1309,26.5289,29.9999,26.5624,26.5358,11.8634,25.0549,58.8078,22.1302,200,16.0459,100.362,100.438
ME034,plant_1,23,1572468099,3210,20191030 15:41:38,15:41:38,1572468099,0.00382379,11.07166317,96.4711,24.90421126,2.472484092,9.577627558,0.261889116,3.421610248,0.251240975,0.157946227,241.6810773,25.47583961,24.9546,3.171081307,53.04790155,1.697127912,3.199236657,1.473953395,-168.6291589,27.35628581,1.691657011,102.0998612,-0.041075278,0.046110598,3.448014056,0,0,1,0,52711.36199,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10514-20191030-15_46_02,222.6102308,247.434,0.100324811,0.5,1261.2867,11.07166317,63.26917478,0.412368551,0.009360004,1.482764635,DARK-10515-20191030-15_46_04,145.4,102.034,0.24328919,0.782406559,0.146539902,0.684124781,10514,300,300,300,7129.38,243.18,-0.00482496,2.14842,1500.09,1261.2867,0.840807352,0.191614704,1572468099,96.4711,99.9945,17.0944,15.9369,500.041,99.0798,0.199959,25.1029,24.9546,999.9,0,0,9997.5,0,4.37743,-3.21432,98.4644,101.614,1.16851,96.1641,99.9945,16.9594,15.9369,1.6948,1.57902,14.8489,13.7556,1500.09,0.972996,0.0270039,0,222.51,4.99951,4064.94,13592.6,41.687,43.25,42.687,43.125,44,1454.72,40.37,0,112.8,222.6102308,-2.99364104,-56.70735043,4072.307308,15,1572468118,15:41:58,70,0.307,0.135,100,16,0.35,0.17,96.83013333,-0.706987013,0.037238489,0,1.482331707,-0.057426683,0.005960411,1,1,2,1/2,2.96437,2.79158,0.0267833,0.0286597,0.0889649,0.0873463,22626.1,29304,23555.8,27835.7,31315.8,33692.4,37644.9,40275.1,1.99912,2.03463,0.0962876,0,23.3726,999.9,47.284,29.376,19.6136,61.6456,29.2067,1,-0.048811,0.927026,20.1841,5.26192,12.0159,4.99855,3.28763,9999,9999,9999,696.3,1.87837,1.88336,1.88125,1.87836,1.87809,1.88021,1.87917,1.87523,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.307,0.135,2,509.767,508.814,22.4025,26.5159,29.9999,26.549,26.5225,7.37231,26.4852,58.8078,22.401,100,15.7684,100.369,100.439
ME034,plant_1,24,1572468179,3290.5,20191030 15:42:59,15:42:59,1572468179,0.0040266,6.032140928,48.0913,10.37327557,1.029864266,4.774529608,0.270667721,3.420609623,0.259307229,0.163047979,241.6762893,25.62800756,25.029,3.18517926,51.93816713,1.681305797,3.237129629,1.503873463,-177.5730534,50.10471486,3.103528315,117.3114792,-0.041060078,0.046093535,3.447003661,0,0,1,0,52657.72215,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10516-20191030-15_47_22,229.5829231,250.308,0.0827983,0.5,1261.2615,6.032140928,52.21515416,0.448679227,0.00536457,1.454257893,DARK-10517-20191030-15_47_25,138,112.308,0.184537851,0.764217523,0.120303418,0.678765698,10516,300,300,300,7129.21,244.642,-0.00482489,1.51279,1500.06,1261.2615,0.840807368,0.191614736,1572468179,48.0913,50.0087,16.9349,15.7158,500.037,99.0803,0.200227,25.3007,25.029,999.9,0,0,9993.75,0,4.37743,-1.84645,48.9921,50.8072,1.22107,47.8553,50.0087,16.8019,15.7158,1.67811,1.55713,14.6955,13.541,1500.06,0.972996,0.0270039,0,229.74,4.99951,4199.89,13592.4,41.75,43.312,42.75,43.187,44.062,1454.69,40.37,0,79.9000001,229.5829231,2.330529935,31.12444442,4196.771154,15,1572468198,15:43:17,71,0.236,0.133,50,16,0.25,0.13,48.18958095,-0.335049351,0.021185184,1,1.511301509,-0.012470574,0.002295673,1,2,2,2/2,2.96437,2.7918,0.0135538,0.0146143,0.0883586,0.0864579,22935.2,29728.4,23557.4,27836.2,31338.4,33724.6,37647.6,40275.6,1.99937,2.0343,0.094302,0,23.4799,999.9,47.192,29.376,19.5781,61.8556,29.2628,1,-0.0486687,1.28251,20.1815,5.26281,12.0159,4.9988,3.28797,9999,9999,9999,696.3,1.87836,1.88337,1.88122,1.87836,1.87811,1.8802,1.87914,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.236,0.133,2,509.854,508.51,22.6712,26.507,30,26.54,26.5151,5.13864,26.8382,58.4374,22.6427,50,15.7664,100.376,100.441
ME034,plant_1,25,1572468259,3370,20191030 15:44:18,15:44:18,1572468259,0.004381774,2.494159053,19.2609,4.968815732,0.493337088,1.912350314,0.296856846,3.4329608,0.283297517,0.178227582,241.6715014,25.6142602,25.0521,3.189567575,52.04947907,1.691646011,3.250072894,1.497921564,-193.236219,58.42905597,3.607760875,110.4720992,-0.041247834,0.046304307,3.459475529,0,0,1,0,52876.79955,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10518-20191030-15_48_42,235.9731538,247.608,0.046988975,0.5,1261.2363,2.494159053,29.63210058,0.454783367,0.002559508,1.481019937,DARK-10519-20191030-15_48_44,135,112.608,0.103321666,0.765067367,0.068612455,0.683800327,10518,300,300,300,7129.08,246.544,-0.00482464,2.23988,1500.03,1261.2363,0.840807384,0.191614768,1572468259,19.2609,20.0551,17.038,15.7114,499.997,99.0867,0.199954,25.3678,25.0521,999.9,0,0,10038.8,0,4.37743,-0.892139,19.4951,20.3752,1.32759,18.9269,20.0551,16.906,15.7114,1.68834,1.55679,14.7896,13.5376,1500.03,0.972996,0.0270039,0,235.36,4.99951,4301.45,13592.1,41.812,43.375,42.812,43.25,44.187,1454.66,40.37,0,79.20000005,235.9731538,-5.851282049,-60.39692302,4308.771923,15,1572468278,15:44:37,72,0.334,0.132,20,16,0.32,0.07,19.18954286,-0.175698701,0.010005216,1,1.505463811,-0.033985547,0.003631763,1,2,2,2/2,2.96428,2.79193,0.00539026,0.00590268,0.0887678,0.0864467,23125.3,29991.4,23557.6,27836.3,31324.4,33724.7,37648.3,40275.9,1.99923,2.03422,0.0895374,0,23.5814,999.9,47.07,29.376,19.5259,61.2756,29.4431,1,-0.0472663,1.71398,20.1774,5.26207,12.0159,4.99895,3.288,9999,9999,9999,696.3,1.87836,1.88337,1.88124,1.87836,1.87808,1.88019,1.87913,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.334,0.132,2,509.708,508.397,22.3286,26.5048,30.0003,26.5356,26.5091,3.79941,26.3751,58.0666,22.2857,20,15.7421,100.377,100.441
ME034,plant_1,26,1572468339,3450,20191030 15:45:38,15:45:38,1572468339,0.00477981,1.186282638,9.63593,3.385582838,0.33617961,0.956822902,0.325667303,3.429201047,0.309408857,0.194773632,241.6683094,25.51758737,24.986,3.177024585,51.73202325,1.680578892,3.24862394,1.496445693,-210.7896231,69.19874501,4.275847914,104.3532792,-0.041190649,0.046240112,3.455679018,0,0,1,0,52808.10649,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10520-20191030-15_50_02,234.1680385,244.732,0.043165428,0.5,1261.2195,1.186282638,27.2205398,0.417321805,0.001522548,1.510175966,DARK-10521-20191030-15_50_04,142.6,102.132,0.103434394,0.783490383,0.063372089,0.68916314,10520,300,300,300,7128.92,243.188,-0.00482464,1.84398,1500.01,1261.2195,0.840807395,0.19161479,1572468339,9.63593,10.0155,16.9247,15.4774,499.988,99.0974,0.200011,25.3603,24.986,999.9,0,0,10023.8,0,4.37743,-0.403583,9.7775,10.173,1.45625,9.27793,10.0155,16.8017,15.4774,1.67808,1.53377,14.6952,13.3091,1500.01,0.972996,0.0270039,0,234.147,4.99951,4273.64,13591.9,41.875,43.437,42.875,43.375,44.25,1454.64,40.37,0,79.60000014,234.1680385,-1.636888895,-28.77880341,4277.268462,15,1572468361,15:46:00,73,0.358,0.123,10,15,0.56,0.12,9.595670952,0.314267532,0.017974107,1,1.497040681,-0.011110038,0.00135033,1,2,2,2/2,2.96425,2.79186,0.002645,0.00295236,0.0883747,0.0855089,23190.2,30081,23558.7,27836.8,31339.4,33759.5,37650.1,40276.5,1.99948,2.03345,0.0841394,0,23.6039,999.9,46.954,29.396,19.4977,61.0756,29.2909,1,-0.0487424,1.1309,20.1823,5.26117,12.0159,4.999,3.288,9999,9999,9999,696.3,1.87836,1.88339,1.88124,1.87836,1.87805,1.8802,1.87914,1.87521,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.358,0.123,2,509.845,507.801,22.3611,26.507,29.9999,26.5317,26.5046,3.36025,27.3784,57.6961,22.4868,10,15.5463,100.382,100.443
ME034,plant_1,28,1572468530,3641,20191030 15:48:49,15:48:49,1572468530,0.003514603,19.72139949,393.634,246.9963152,24.52918678,39.09176499,0.234873152,3.423621766,0.226274626,0.142167958,241.6619255,25.70206553,25.0916,3.197083645,52.41194313,1.692529206,3.229281543,1.504554439,-154.9940098,31.06385413,1.922639067,119.6544088,-0.04110584,0.046144906,3.45004522,0,0,1,0,52721.86609,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10524-20191030-15_53_13,215.3362692,250.201,0.139346888,0.5,1261.1859,19.72139949,87.87116532,0.422864017,0.016219167,1.455307471,DARK-10525-20191030-15_53_15,144.4,105.801,0.329531203,0.774853351,0.202506028,0.678965219,10524,300,300,300,7128.7,243.018,-0.00482454,2.46399,1499.97,1261.1859,0.840807416,0.191614833,1572468530,393.634,400.134,17.0429,15.9789,500.023,99.1099,0.20003,25.2599,25.0916,999.9,0,0,10001.9,0,4.32058,-6.55603,400.393,406.632,1.04095,392.504,400.134,16.8999,15.9789,1.68684,1.58367,14.7758,13.8008,1499.97,0.972996,0.0270039,0,215.277,4.99951,3955.5,13591.5,42.062,43.562,43.062,43.5,44.375,1454.6,40.37,0,102.7,215.3362692,-0.610495725,-13.05811965,3957.031154,15,1572468551,15:49:11,75,1.13,0.143,400,16,0.5,0.12,393.5911905,-0.380103896,0.020705691,1,1.507015234,-0.003758194,0.000817502,1,2,2,2/2,2.96433,2.79168,0.0919924,0.0959351,0.0887656,0.0875454,21113.5,27275.1,23559.8,27836.5,31331.7,33690,37651.6,40276,1.99907,2.03555,0.0884235,0,23.6393,999.9,46.637,29.427,19.3986,61.5656,29.4071,1,-0.0443191,2.67004,20.1643,5.26446,12.0159,4.99975,3.288,9999,9999,9999,696.4,1.87836,1.88335,1.88123,1.87836,1.87813,1.88022,1.87913,1.87522,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.13,0.143,2,509.572,509.299,21.2699,26.5137,30.0004,26.5322,26.5046,20.3538,24.3249,57.3237,21.2584,400,16.0595,100.386,100.442
ME034,plant_1,29,1572468612,3723.5,20191030 15:50:12,15:50:12,1572468612,0.002116901,19.71706726,393.631,156.5215308,15.54456268,39.09252435,0.139630107,3.426567389,0.136544447,0.085611834,241.6571375,25.60268201,25.0318,3.185710896,53.44141561,1.683775885,3.150694768,1.50193501,-93.35534298,-34.23104363,-2.111809969,111.9589409,-0.041150608,0.046195162,3.45301962,0,0,1,0,52850.24282,MPF-10471-20191030-14_52_32,78.03461538,614.3203846,536.2857692,0.872974075,-0.733984882,MPF-10526-20191030-15_54_35,216.898,254.209,0.146772931,0.5,1261.1607,19.71706726,92.55212619,0.436683988,0.016216056,1.416595733,DARK-10527-20191030-15_54_38,143.2,111.009,0.336107883,0.764372327,0.211784478,0.671491591,10526,300,300,300,7128.53,245.692,-0.00482437,1.99049,1499.94,1261.1607,0.840807433,0.191614865,1572468612,393.631,399.96,16.9543,16.3134,500.04,99.1128,0.199816,24.8465,25.0318,999.9,0,0,10012.5,0,4.37743,-6.33731,400.407,406.593,0.628841,392.493,399.96,16.7993,16.3134,1.6792,1.61687,14.7054,14.1205,1499.94,0.972996,0.0270039,0,216.461,4.99951,3982.2,13591.2,42.062,43.625,43.125,43.5,44.437,1454.57,40.37,0,82,216.898,-1.715076933,-23.24034188,3984.746923,15,1572468634,15:50:33,76,1.138,0.155,400,16,0.41,0.17,393.627,0.249662338,0.017129757,1,1.513889925,-0.046889473,0.005199732,1,2,2,2/2,2.96436,2.79155,0.0919914,0.0959092,0.0883783,0.0888856,21113.7,27275.7,23560.1,27836.4,31345.8,33641,37652.3,40276.2,1.99877,2.03583,0.095278,0,23.4666,999.9,46.588,29.427,19.3772,61.8156,29.2708,1,-0.0418852,3.16945,20.1559,5.26476,12.0159,4.9992,3.288,9999,9999,9999,696.4,1.87845,1.88339,1.88126,1.87836,1.87817,1.88028,1.8792,1.87529,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.138,0.155,2,509.397,509.496,20.2889,26.5272,30,26.5356,26.5046,20.3615,22.4568,57.4175,20.2907,400,16.378,100.388,100.442
