species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,5,1599419537,373,20200906 14:12:16,14:12:16,1599419537,0.002402276,22.24552956,394.175,157.2939048,15.9083716,39.86602267,0.158054627,3.493534202,0.154186861,0.096706408,241.6671855,27.33094503,27.6307,3.713904105,62.28385356,2.184092681,3.506675577,1.529811424,-105.9403873,-184.3128668,-11.40199191,-59.98806056,-0.041908412,0.047045864,3.503199796,8,2,1,0,53499.17838,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-755-20200906-14_20_21,107.9885385,142.589,0.242658701,0.5,1261.2189,22.24552956,153.0228701,0.504870642,0.019248483,1.419464335,DARK-756-20200906-14_20_24,70.6,71.989,0.480635396,0.7376389,0.756348925,0.815646576,755,300,300,300,7090.89,132.582,-0.00479833,2.14133,1500.01,1261.2189,0.840806995,0.19161399,1599419537,394.175,400.205,21.5952,20.9841,500.003,100.938,0.199877,26.6521,27.6307,999.9,0,0,10012.5,0,382.618,-6.11078,402.793,408.783,0.612072,392.283,400.205,21.3072,20.9841,2.17988,2.1181,18.8152,18.356,1500.01,0.973011,0.0269889,0,108.44,4.99951,2418.14,13592,47.937,50.5,49,49.937,49.937,1454.66,40.35,0,85.20000005,107.9885385,1.069743581,5.276239305,2416.626538,15,1599419562,14:12:41,104,1.892,0.288,400,21,1.34,0.74,394.1035238,0.034597403,0.007487253,1,1.528001877,0.008524634,0.001060052,1,2,2,2-Feb,2.95548,2.79161,0.0915358,0.0955559,0.104671,0.106233,20724.2,26731,23149.7,27300.8,30298.7,32416.1,37056.8,39553.1,1.87617,1.88625,-0.0619665,0,28.6422,999.9,49.963,34.926,27.8473,63.0397,31.6186,1,0.75627,9.28105,19.9599,5.25937,12.0279,4.99715,3.287,9999,9999,968.9,9999,1.8783,1.88309,1.88099,1.87818,1.87788,1.87996,1.87885,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.892,0.288,2,502.507,482.552,19.7035,36.0724,30.0014,35.7207,35.5961,20.3372,34.6629,20,19.3154,400,20.8857,98.7383,98.5858
ME034,plant_1,6,1599419640,476.5,20200906 14:14:00,14:14:00,1599419640,0.002744357,20.08629746,294.687,109.1199333,11.03681856,29.80580042,0.182377106,3.493340126,0.177247877,0.111228748,241.6683094,27.34839751,27.6094,3.70928231,62.08098946,2.188916411,3.525904516,1.520365899,-121.0261284,-162.7950045,-10.07500839,-52.22783186,-0.041905461,0.047042551,3.503005039,7,1,1,0,53479.11784,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-757-20200906-14_22_05,106.6196154,137.183,0.2227928,0.5,1261.2195,20.08629746,140.4953116,0.485358973,0.017536455,1.514808686,DARK-758-20200906-14_22_07,70.6,66.583,0.459026848,0.757340856,0.757631634,0.837432077,757,300,300,300,7088.31,128.758,-0.0047965,1.56717,1500.01,1261.2195,0.840807395,0.19161479,1599419640,294.687,300.119,21.6416,20.9436,500.065,100.944,0.199927,26.745,27.6094,999.9,0,0,10011.2,0,382.137,-5.09784,301.547,306.539,0.696945,293.129,300.119,21.3526,20.9436,2.18449,2.11414,18.849,18.3261,1500.01,0.972999,0.0270009,0,106.812,4.99951,2400.43,13591.9,48.5,51.062,49.687,50.5,50.5,1454.64,40.37,0,103,106.6196154,0.43480341,13.83282053,2397.188846,15,1599419663,14:14:22,105,1.558,0.289,300,21,0.85,0.49,295.089,-0.465194805,0.024979992,1,1.523534554,-0.016323456,0.001994693,1,2,2,2-Feb,2.95534,2.79165,0.072465,0.0759782,0.104752,0.106006,21144.7,27291.2,23134.9,27283.6,30277.7,32403.9,37035.4,39529.4,1.87342,1.88035,-0.065919,0,28.6854,999.9,50.433,35.147,28.4523,62.9897,31.2901,1,0.781939,9.28105,19.9586,5.25922,12.0279,4.99715,3.287,9999,9999,969,9999,1.87828,1.88309,1.88097,1.87817,1.87787,1.87992,1.87883,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.558,0.289,2,503.276,481.13,19.6576,36.3849,30.001,36.0702,35.9541,16.1755,36.0177,20,19.3581,300,20.9238,98.679,98.5255
ME034,plant_1,7,1599419732,568.5,20200906 14:15:32,14:15:32,1599419732,0.003565756,16.06429063,195.681,81.08867047,8.20090512,19.79020381,0.238688129,3.491056689,0.229978378,0.144492544,241.6821113,27.28842244,27.6203,3.711646827,61.65247373,2.189320562,3.551066859,1.522326265,-157.2498349,-141.9855095,-8.798692151,-66.3519252,-0.041870752,0.047003588,3.500713597,7,1,1,0,53414.90059,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-759-20200906-14_23_37,104.6229615,128.963,0.188736602,0.5,1261.2948,16.06429063,119.0262477,0.433946171,0.014346616,1.67510061,DARK-760-20200906-14_23_39,73,55.963,0.434930909,0.794245356,0.757768177,0.870557645,759,300,300,300,7086.31,123.586,-0.00479503,1.91183,1500.1,1261.2948,0.840807146,0.191614293,1599419732,195.681,200.039,21.6475,20.7405,500.015,100.935,0.20003,26.8659,27.6203,999.9,0,0,10003.8,0,381.909,-3.83539,200.547,204.276,0.918987,194.646,200.039,21.3705,20.7405,2.18621,2.09345,18.8616,18.1694,1500.1,0.973007,0.0269926,0,104.414,4.99951,2365.88,13592.7,49,51.625,50.187,51,50.937,1454.74,40.36,0,91.79999995,104.6229615,-1.191692299,-14.19452997,2367.523462,15,1599419752,14:15:51,106,1.035,0.277,200,21,0.97,0.37,196.2089524,-0.436831169,0.025165124,1,1.521391262,0.000569051,0.00176025,1,2,2,2-Feb,2.95503,2.79168,0.050966,0.0537427,0.104742,0.105197,21623.5,27932.9,23124.1,27270.3,30263.9,32418.8,37019.3,39513.3,1.871,1.87523,-0.0723526,0,28.8011,999.9,50.794,35.319,28.9323,63.0297,31.6707,1,0.801372,9.28105,19.9592,5.26132,12.0279,4.99595,3.287,9999,9999,969,9999,1.8783,1.88309,1.88099,1.87818,1.8779,1.87998,1.87883,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.035,0.277,2,503.592,479.579,19.7938,36.6146,30.001,36.3341,36.2269,11.858,37.7013,20,19.3865,200,20.7885,98.6349,98.482
ME034,plant_1,8,1599419825,660.9000001,20200906 14:17:04,14:17:04,1599419825,0.003552098,9.367804804,97.4287,31.07392435,3.142416165,9.852682862,0.238913206,3.485314955,0.230173535,0.144617048,241.6368617,27.49861866,27.689,3.726580083,61.53288082,2.211781361,3.594470682,1.514798722,-156.6475181,-115.8029548,-7.197903197,-38.01151439,-0.041783522,0.046905663,3.494951744,7,1,1,0,53271.23629,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-761-20200906-14_25_09,104.0581154,116.265,0.104991912,0.5,1261.0593,9.367804804,66.20051337,0.430611104,0.009039088,1.967264439,DARK-762-20200906-14_25_12,66.2,50.065,0.243820725,0.820419744,0.628485713,0.92172899,761,300,300,300,7084.76,116.124,-0.00479383,2.8269,1499.82,1261.0593,0.840807097,0.191614194,1599419825,97.4287,99.9539,21.8713,20.9681,500.081,100.927,0.20011,27.0727,27.689,999.9,0,0,9983.75,0,379.529,-2.09217,100.05,102.095,0.902227,96.8267,99.9539,21.5933,20.9681,2.20731,2.11625,19.0154,18.342,1499.82,0.973007,0.0269926,0,103.884,4.99951,2364.84,13590.2,49.312,52,50.625,51.312,51.312,1454.47,40.35,0,91.79999995,104.0581154,-0.63422221,-39.44478637,2367.840769,15,1599419845,14:17:24,107,0.602,0.278,100,21,0.9,0.28,97.89663333,-0.47054026,0.024616667,1,1.516954275,-0.004008073,0.001206359,1,2,2,2-Feb,2.95499,2.79159,0.0266133,0.0282915,0.105463,0.105955,22168.9,28672,23115.8,27260.7,30229,32379.3,37007.7,39500.6,1.8686,1.87155,-0.0770316,0,28.946,999.9,50.971,35.49,29.3085,63.0998,31.254,1,0.816423,9.28105,19.9588,5.26341,12.0279,4.99695,3.287,9999,9999,969,9999,1.87832,1.88309,1.88102,1.8782,1.8779,1.88001,1.87887,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.602,0.278,2,503.575,478.674,19.9038,36.8054,30.0007,36.5543,36.4505,7.404,37.7458,20,19.5099,100,20.9174,98.6022,98.4491
ME034,plant_1,9,1599419909,744.9000001,20200906 14:18:28,14:18:28,1599419909,0.004015153,4.80511401,48.6744,18.68483678,1.889543358,4.922300916,0.273381913,3.485659419,0.262004194,0.164735405,241.6677474,27.47279161,27.6639,3.721118052,61.39849406,2.216867835,3.61062249,1.504250217,-177.0682684,-96.74063459,-6.014000841,-38.15515643,-0.041788753,0.046911536,3.495297415,7,1,1,0,53264.07462,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-763-20200906-14_26_33,106.4102308,116.298,0.085020974,0.5,1261.2192,4.80511401,53.6150424,0.355104989,0.005420259,1.966422466,DARK-764-20200906-14_26_36,75,41.298,0.239424893,0.847038213,0.508219861,0.921596004,763,300,300,300,7085.82,115.312,-0.00479442,1.92036,1500.01,1261.2192,0.840807195,0.19161439,1599419909,48.6744,49.9746,21.9216,20.9005,499.978,100.927,0.2001,27.1491,27.6639,999.9,0,0,9985,0,383.565,-1.29225,49.7738,51.0414,1.02616,48.0804,49.9746,21.6486,20.9005,2.21299,2.10942,19.0566,18.2905,1500.01,0.973003,0.0269968,0,106.837,4.99951,2411.04,13591.9,49.062,51.5,50.187,50.812,50.937,1454.65,40.36,0,83.4000001,106.4102308,0.798085472,12.1606838,2407.892308,15,1599419932,14:18:51,108,0.594,0.273,50,21,0.64,0.25,48.6787,-0.464618182,0.026287332,1,1.508905933,-0.008533122,0.001503485,1,2,2,2-Feb,2.95466,2.79159,0.0134217,0.0143999,0.105622,0.105675,22465.2,29076.3,23112.5,27256.8,30219.4,32383.6,37003.3,39494.4,1.86738,1.869,-0.0837222,0,29.03,999.9,50.995,35.651,29.5876,63.0098,31.7468,1,0.824177,9.28105,19.9575,5.26207,12.0279,4.9969,3.287,9999,9999,969,9999,1.87835,1.88309,1.88109,1.8782,1.8779,1.88003,1.87889,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.594,0.273,2,503.778,477.979,19.9111,36.9124,30.0004,36.6943,36.5975,5.18524,38.5689,20,19.5575,50,20.8079,98.5896,98.4342
ME034,plant_1,10,1599419993,828.9000001,20200906 14:19:52,14:19:52,1599419993,0.004320613,2.031044935,19.4519,7.69509407,0.778166719,1.967074224,0.295828383,3.487500528,0.28256102,0.177743068,241.6549795,27.45059502,27.684,3.725491471,61.45091905,2.224690271,3.620271764,1.5008012,-190.5390149,-92.01607207,-5.719145277,-46.6192527,-0.041816718,0.046942929,3.497144973,6,1,1,0,53290.1505,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-765-20200906-14_27_57,108.1608462,117.422,0.078870687,0.5,1261.152,2.031044935,49.73396254,0.390233517,0.003220917,1.938026946,DARK-766-20200906-14_28_00,71.6,45.822,0.202111515,0.832392671,0.450014204,0.917066425,765,300,300,300,7086.73,115.514,-0.004795,2.10252,1499.93,1261.152,0.840807238,0.191614476,1599419993,19.4519,20.0017,21.9994,20.901,500.112,100.925,0.200043,27.1946,27.684,999.9,0,0,9991.88,0,383.565,-0.570751,19.8679,20.4286,1.09641,18.8369,20.0017,21.7244,20.901,2.22008,2.10942,19.1079,18.2905,1499.93,0.972999,0.0270009,0,108.262,4.99951,2431.94,13591.2,48.75,51.25,49.937,50.437,50.687,1454.57,40.36,0,83.4000001,108.1608462,0.852581208,2.425640964,2433.427308,15,1599420012,14:20:12,109,0.615,0.275,20,21,0.82,0.26,19.45930952,-0.470088312,0.024766066,1,1.499330596,0.005370069,0.001336562,1,2,2,2-Feb,2.95489,2.7916,0.0052835,0.00579921,0.105856,0.105644,22645.8,29324.3,23108.6,27252.4,30206.8,32380.2,36998,39489.5,1.86688,1.86648,-0.0847504,0,29.0668,999.9,51.032,35.802,29.8512,63.0398,31.274,1,0.831514,9.28105,19.9573,5.26162,12.0279,4.99655,3.287,9999,9999,969.1,9999,1.87835,1.88309,1.88108,1.8782,1.8779,1.88001,1.87885,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.615,0.275,2,504.309,477.151,19.8826,36.9914,30.0005,36.8092,36.7253,3.86856,39.3046,20,19.6081,20,20.7982,98.5745,98.4204
ME034,plant_1,11,1599420073,909.4000001,20200906 14:21:13,14:21:13,1599420073,0.004780963,0.473353755,9.80406,7.184688285,0.726535739,0.99141392,0.327926931,3.491059587,0.311724708,0.196216919,241.6816241,27.37650543,27.6726,3.723010474,61.15691732,2.217632941,3.62613591,1.505377534,-210.8404879,-84.769786,-5.26381512,-59.19246482,-0.041870797,0.047003637,3.500716504,6,1,1,0,53351.30232,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-767-20200906-14_29_18,108.9599231,115.044,0.052884783,0.5,1261.286992,0.473353755,33.35144416,0.490629672,0.001985571,1.998756997,DARK-768-20200906-14_29_20,58.6,56.444,0.107789613,0.802911425,0.33425886,0.926649466,767,300,300,300,7087.59,115.044,-0.0047957,1.76171,1500.09,1261.286992,0.840807546,0.191615093,1599420073,9.80406,9.93932,21.9301,20.7143,499.996,100.923,0.199792,27.2222,27.6726,999.9,0,0,10005,0,383.323,-0.29326,9.86233,10.1496,1.21483,9.03106,9.93932,21.6541,20.7143,2.21316,2.09056,19.0579,18.1474,1500.09,0.972995,0.0270051,0,108.884,4.99951,2441.24,13592.6,48.5,51.062,49.687,50.312,50.5,1454.72,40.38,0,79.79999995,108.9599231,-0.111726488,1.754871745,2440.725769,15,1599420102,14:21:42,110,0.773,0.276,10,21,0.86,0.29,9.710991429,-0.483176104,0.025780641,1,1.503792969,-0.002332825,0.001452686,1,2,2,2-Feb,2.95456,2.79146,0.00253443,0.00288468,0.105586,0.104945,22705,29406.6,23105.6,27249.5,30212.3,32401.4,36993.6,39484.5,1.86553,1.8642,-0.0913776,0,29.1634,999.9,51.135,35.933,30.1322,62.9198,31.7268,1,0.8375,9.28105,19.9567,5.26251,12.0279,4.9966,3.287,9999,9999,969.1,9999,1.87836,1.88312,1.8811,1.87821,1.8779,1.88004,1.87896,1.87501,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.773,0.276,2,504.082,476.289,19.8924,37.0719,30.0003,36.9062,36.8253,3.42981,40.3182,20,19.5742,10,20.6516,98.5625,98.4088
ME034,plant_1,16,1599420575,1410.9,20200906 14:29:34,14:29:34,1599420575,0.002717353,22.62912587,393.915,159.9293224,16.17246698,39.83370425,0.163436403,3.493124542,0.159303994,0.099927574,241.6805153,28.17565856,28.4547,3.896601946,60.10526092,2.223887955,3.699988855,1.672713991,-119.8352754,-167.2670056,-10.43887588,-55.86064153,-0.041902184,0.047038872,3.502788699,7,1,1,0,53328.49411,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-777-20200906-14_37_39,105.9510385,139.856,0.242427651,0.5,1261.2864,22.62912587,152.8853496,0.519505777,0.019551584,1.466744366,DARK-778-20200906-14_37_42,67.2,72.656,0.466650539,0.738448967,0.788236483,0.826660223,777,300,300,300,7091.29,130.32,-0.00479834,1.82002,1500.09,1261.2864,0.840807152,0.191614304,1599420575,393.915,400.078,21.992,21.3009,499.909,100.923,0.199588,27.5665,28.4547,999.9,0,0,10012.5,0,379.344,-6.16165,402.776,408.785,0.697111,392.228,400.078,21.706,21.3009,2.2201,2.14974,19.1081,18.5926,1500.09,0.973007,0.0269931,0,105.897,4.99951,2370.37,13592.7,47.812,50.312,49,49.375,49.812,1454.73,40.36,0,86.4000001,105.9510385,0.529470086,-22.39794876,2371.374615,15,1599420603,14:30:02,115,1.687,0.286,400,21,0.65,0.65,393.9011905,0.065298701,0.008432472,1,1.670297702,0.028960794,0.003279859,1,2,2,2-Feb,2.95384,2.79132,0.0911061,0.0950814,0.105618,0.106899,20661.7,26653.7,23074.7,27212.5,30179.1,32293.4,36948.4,39432.4,1.85775,1.85102,-0.0516698,0,29.2971,999.9,50.995,36.789,31.4914,62.9499,31.7308,1,0.891313,9.28105,19.9557,5.26236,12.0279,4.9968,3.28663,9999,9999,969.2,9999,1.87836,1.88309,1.88109,1.8782,1.8779,1.88002,1.87891,1.875,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.687,0.286,2,503.096,471.602,20.0899,37.6059,30.0006,37.5115,37.4497,20.3259,40.9101,20,19.5977,400,21.3655,98.4376,98.2775
ME034,plant_1,18,1599420749,1584.9,20200906 14:32:28,14:32:28,1599420749,0.002449203,21.8609932,394.101,145.2071122,14.6836124,39.85222378,0.147684141,3.49395058,0.14430182,0.090486074,241.6655895,28.21676272,28.5575,3.919935797,61.03744167,2.256028563,3.696138798,1.663907234,-108.0098474,-190.0234833,-11.86129902,-68.22904024,-0.041914742,0.04705297,3.503617633,7,1,1,0,53346.95549,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-781-20200906-14_40_33,106.8962308,138.53,0.228353203,0.5,1261.2105,21.8609932,144.0007288,0.458601025,0.018943717,1.49035588,DARK-782-20200906-14_40_36,75,63.53,0.49793435,0.764694117,0.758827545,0.832003836,781,300,300,300,7091.2,130.694,-0.00479838,2.1431,1500,1261.2105,0.840807,0.191614001,1599420749,394.101,400.035,22.31,21.6875,500.069,100.922,0.199854,27.5487,28.5575,999.9,0,0,10015.6,0,378.519,-6.10635,402.919,408.903,0.625441,392.238,400.035,22.024,21.6875,2.25187,2.18874,19.3361,18.8802,1500,0.973007,0.0269931,0,106.796,4.99951,2382.88,13591.9,47.75,50.187,48.812,49.5,49.75,1454.65,40.35,0,84.4000001,106.8962308,1.24,-6.73162392,2383.041538,15,1599420785,14:33:05,117,1.863,0.286,400,22,0.95,0.3,393.9581905,-0.465350649,0.025667506,1,1.666617365,-0.011540687,0.001344729,1,2,2,2-Feb,2.95412,2.79161,0.0910811,0.0950475,0.106693,0.108242,20658.9,26650.8,23071.4,27209,30139.2,32242,36943.7,39429.2,1.85667,1.84865,-0.0486523,0,29.3506,999.9,50.586,37.041,31.6749,62.92,31.2941,1,0.89893,9.28105,19.9572,5.26416,12.0279,4.9971,3.287,9999,9999,969.3,9999,1.87836,1.8831,1.8811,1.8782,1.8779,1.88004,1.87893,1.87502,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.863,0.286,2,503.285,470.821,20.2858,37.741,30.0003,37.6385,37.5717,20.3449,39.9021,20,19.8363,400,21.6754,98.4245,98.2676
ME034,plant_1,20,1599420938,1773.9,20200906 14:35:37,14:35:37,1599420938,0.002448674,23.87598702,493.38,220.6458391,22.31057711,49.88805851,0.148125058,3.489120073,0.144718167,0.090748424,241.6501916,28.20547795,28.5777,3.924535152,61.35138796,2.26601475,3.693502015,1.658520402,-107.9865142,-195.8553856,-12.24274294,-74.43445111,-0.041841323,0.046970551,3.498770193,7,1,1,0,53259.35443,MPF-746-20200906-14_02_23,96.84230769,344.989,248.1466923,0.719288709,-2.031021284,MPF-785-20200906-14_43_42,108.352,144.606,0.250708823,0.5,1261.1268,23.87598702,158.0878076,0.479966253,0.020542747,1.385717052,DARK-786-20200906-14_43_45,75.2,69.406,0.522346771,0.742739697,0.759028422,0.80751832,785,300,300,300,7091.8,135.008,-0.00479875,2.20724,1499.9,1261.1268,0.840807254,0.191614508,1599420938,493.38,499.902,22.4103,21.7879,499.99,100.915,0.199878,27.5365,28.5777,999.9,0,0,9998.75,0,374.531,-6.62784,504.584,511.037,0.625362,491.46,499.902,22.1233,21.7879,2.26184,2.19873,19.4072,18.9531,1499.9,0.973003,0.0269972,0,108.182,4.99951,2402.53,13590.9,47.562,50,48.625,49.437,49.625,1454.54,40.36,0,91,108.352,-0.441367526,-7.524444468,2403.961154,15,1599420967,14:36:07,119,1.92,0.287,500,22,0.74,0.25,493.282381,0.31387013,0.032859696,1,1.654749651,0.032923434,0.003548818,1,2,2,2-Feb,2.95395,2.79149,0.107998,0.112365,0.107026,0.108584,20278,26145.4,23075.8,27214,30134.9,32236.9,36951,39436.9,1.8568,1.84883,-0.0496581,0,29.3871,999.9,49.951,37.303,31.7227,63.01,31.6747,1,0.894609,9.28105,19.9568,5.26251,12.0279,4.9966,3.287,9999,9999,969.3,9999,1.87837,1.8831,1.8811,1.8782,1.8779,1.88001,1.87891,1.87502,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.92,0.287,2,503.501,471.115,20.2528,37.7285,29.9997,37.6547,37.5946,24.3915,39.4483,20,19.9398,500,21.8259,98.4437,98.2863
