species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,5,1599408373,365.5999999,20200906 11:06:13,11:06:13,1599408373,0.001185954,16.16928272,396.085,62.86203911,6.36346142,40.09528886,0.079800729,3.499014741,0.078803266,0.049340621,241.6464376,25.04641589,24.9515,3.170495078,55.87864199,1.683569884,3.01290408,1.486925193,-52.30055893,-160.739192,-9.670756965,18.93592978,-0.041933207,0.047073698,3.504836299,0,0,1,0,53991.45986,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-580-20200906-11_14_18,126.4112308,145.168,0.129207327,0.5,1261.1097,16.16928272,81.47230666,0.439270363,0.013501754,1.83143668,DARK-581-20200906-11_14_20,81.4,63.768,0.29414078,0.806549082,1.458500813,0.953860445,580,300,300,300,7115.11,140.25,-0.00481526,1.81187,1499.88,1261.1097,0.840807065,0.19161413,1599408373,396.085,400.194,16.6313,16.3433,500.102,101.029,0.200001,24.0994,24.9515,999.9,0,0,10009.4,0,0.454798,-4.09689,402.794,406.843,0.285061,393.883,400.194,16.4173,16.3433,1.67993,1.65113,14.7122,14.4445,1499.88,0.973005,0.0269948,0,126.36,4.99951,2364.75,13590.8,43.125,44.062,44,43.937,45.062,1454.53,40.35,0,84.29999995,126.4112308,-1.159794868,-18.87111111,2367.630769,15,1599408399,11:06:39,6,2.202,0.214,400,16,0.97,0.3,396.1540952,-0.340675325,0.02019407,1,1.4926556,-0.033044267,0.003389025,1,2,2,2/2,2.96131,2.79172,0.0932337,0.0969942,0.0878542,0.0899994,20864,27004.4,23326.1,27603.7,31053.9,33335.3,37280.4,39955,1.96068,2.02472,0.0438392,0,24.2318,999.9,46.514,27.191,16.6647,61.8682,32.1394,1,0.226026,4.8202,20.121,5.26446,12.0219,4.9994,3.287,9999,9999,965.8,9999,1.8785,1.88342,1.88126,1.87839,1.87818,1.88034,1.87927,1.87531,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.202,0.214,2,513.429,533.674,18.5413,29.9006,29.9996,29.8519,29.8112,20.1535,0,20,18.5831,400,71.845,99.3944,99.6249
ME034,plant_1,6,1599408472,464.0999999,20200906 11:07:51,11:07:51,1599408472,0.001528318,14.57657577,296.284,65.11167209,6.591047185,29.99188566,0.10425398,3.501028968,0.102559514,0.064249643,241.6655895,25.12494749,25.0008,3.179829249,56.15950659,1.707787473,3.040958828,1.472041776,-67.39884264,-140.9754881,-8.485516982,24.80574176,-0.041963797,0.047108038,3.506854772,0,0,1,0,54001.09682,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-582-20200906-11_15_56,125.916,144.281,0.127286337,0.5,1261.2105,14.57657577,80.26743244,0.428892231,0.012237835,1.848843576,DARK-583-20200906-11_15_59,82.4,61.881,0.296779302,0.81170238,1.533828452,0.957042779,582,300,300,300,7114.52,140.122,-0.00481479,1.14246,1500,1261.2105,0.840807,0.191614001,1599408472,296.284,299.996,16.8709,16.4998,500.035,101.027,0.199815,24.2539,25.0008,999.9,0,0,10016.9,0,0.454798,-3.43948,301.645,305.029,0.369173,294.355,299.996,16.6549,16.4998,1.70421,1.66692,14.9349,14.5917,1500,0.973009,0.0269906,0,125.891,4.99951,2357.15,13591.9,43.187,44.125,44.125,44,45.25,1454.65,40.35,0,98.0999999,125.916,-1.23541879,-25.26769231,2360.13,15,1599408497,11:08:17,7,1.929,0.216,300,17,1.22,0.21,296.5994286,-0.48374026,0.03302895,1,1.479272198,-0.026614423,0.00283166,1,2,2,2/2,2.96111,2.79159,0.0739617,0.0772317,0.0887777,0.0906131,21308.4,27593.4,23327.3,27601.8,31023.6,33311.9,37283.1,39955.2,1.9601,2.02288,0.0426695,0,24.3003,999.9,46.49,27.342,16.8028,62.1182,31.5705,1,0.229992,4.98434,20.1154,5.26461,12.0219,4.9989,3.287,9999,9999,965.9,9999,1.87851,1.88341,1.88129,1.87839,1.87819,1.88034,1.87927,1.87532,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.929,0.216,2,513.545,532.922,18.745,29.9307,30.0004,29.9101,29.8773,16.0384,0,20,18.738,300,70.9617,99.4008,99.6225
ME034,plant_1,7,1599408588,580.5999999,20200906 11:09:48,11:09:48,1599408588,0.002208116,13.69759921,196.475,51.02390958,5.165087608,19.88892259,0.156970966,3.484310062,0.15314553,0.096051891,241.6369516,25.03509786,24.9228,3.165072223,57.05286874,1.740881772,3.051348356,1.424190451,-97.37791206,-114.9618279,-6.952177645,22.345034,-0.041710128,0.046823273,3.490100651,0,0,1,0,53677.6084,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-584-20200906-11_17_53,125.8765769,142.848,0.118807565,0.5,1261.0518,13.69759921,74.91124701,0.411962366,0.011542356,1.877422155,DARK-585-20200906-11_17_55,84,58.848,0.28839422,0.820055407,1.610144938,0.962184023,584,300,300,300,7113.62,139.574,-0.00481425,1.17438,1499.81,1261.0518,0.840807703,0.191615405,1599408588,196.475,199.964,17.1975,16.6617,500.21,101.028,0.20077,24.3108,24.9228,999.9,0,0,9956.25,0,0.454798,-2.94817,200.462,203.352,0.528812,195.087,199.964,16.9745,16.6617,1.73672,1.6833,15.2286,14.7433,1499.81,0.972989,0.0270109,0,125.45,4.99951,2359.89,13590.1,43.375,44.25,44.25,44.187,45.312,1454.43,40.38,0,116.3,125.8765769,-0.632034192,-25.36034187,2363.236538,15,1599408607,11:10:06,8,1.388,0.223,200,17,0.8,0.23,197.082381,-0.544519481,0.02846966,0,1.433599893,-0.03334967,0.003416816,1,1,2,1/2,2.96151,2.79202,0.0520566,0.0547453,0.0900195,0.0912494,21814.4,28264.8,23329.6,27601.2,30983.6,33286.9,37287.6,39954.6,1.95977,2.0202,0.0339113,0,24.3661,999.9,46.453,27.503,16.9493,62.2682,31.6747,1,0.229576,4.34609,20.1331,5.26102,12.0219,4.99805,3.28665,9999,9999,965.9,9999,1.87851,1.88339,1.88127,1.8784,1.8782,1.88034,1.87925,1.87531,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.388,0.223,2,513.815,531.506,19.1148,29.9704,29.9999,29.9658,29.9388,11.7524,0,20,19.1399,200,67.957,99.4119,99.6207
ME034,plant_1,8,1599408688,680.0999999,20200906 11:11:27,11:11:27,1599408688,0.002725544,8.528476558,97.8648,25.39671492,2.57085335,9.906637521,0.197154329,3.490526781,0.191170236,0.120003915,241.6778853,25.13903423,24.969,3.173805679,57.1141177,1.765797341,3.091700287,1.408008339,-120.1965089,-82.57394559,-4.991338988,33.9160919,-0.041804389,0.046929088,3.496330455,0,0,1,0,53754.37756,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-586-20200906-11_19_32,128.9514615,140.302,0.08090076,0.5,1261.2699,8.528476558,51.0188469,0.478268307,0.007442012,1.929637496,DARK-587-20200906-11_19_35,73.2,67.102,0.169153505,0.801375824,1.41982757,0.971318431,586,300,300,300,7112.47,140.302,-0.00481339,2.2608,1500.07,1261.2699,0.840807363,0.191614725,1599408688,97.8648,100.037,17.4438,16.7824,500.05,101.028,0.199791,24.5302,24.969,999.9,0,0,9978.75,0,0.454798,-1.69576,100.087,101.744,0.662386,96.9528,100.037,17.2218,16.7824,1.76241,1.69549,15.4573,14.8552,1500.07,0.972997,0.0270026,0,128.818,4.99951,2415.71,13592.4,43.5,44.375,44.375,44.312,45.437,1454.7,40.37,0,98.79999995,128.9514615,-1.302222221,-19.90940174,2417.985,15,1599408706,11:11:45,9,0.912,0.222,100,17,0.42,0.26,98.36635714,-0.433698701,0.028018235,1,1.420466323,-0.052564539,0.005408854,1,2,2,2/2,2.96109,2.79124,0.0272241,0.0289172,0.0909734,0.091721,22388.2,29035.6,23332.4,27600.2,30953.6,33268.2,37292.4,39954.7,1.9592,2.01898,0.0313967,0,24.4537,999.9,46.398,27.644,17.0688,62.1782,31.5946,1,0.231811,4.2297,20.1355,5.26356,12.0219,4.9987,3.28685,9999,9999,965.9,9999,1.87851,1.88345,1.8813,1.87847,1.8782,1.88034,1.87927,1.87532,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.912,0.222,2,513.728,530.98,19.3917,29.9911,30,30.0016,29.9797,7.32124,0,20,19.5279,100,63.859,99.4243,99.6194
ME034,plant_1,9,1599408774,766.0999999,20200906 11:12:53,11:12:53,1599408774,0.003247006,5.136496414,48.7074,12.51645011,1.267038105,4.930641773,0.238974389,3.501635052,0.230269485,0.144674112,241.6443696,25.18429159,25.0022,3.180094667,57.26409667,1.787688411,3.121831156,1.392406256,-143.1929738,-58.48409014,-3.52743634,36.43986935,-0.041973003,0.047118372,3.507462135,0,0,1,0,53932.9602,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-588-20200906-11_20_58,131.3480769,141.488,0.071666311,0.5,1261.0935,5.136496414,45.18895979,0.438821667,0.00475334,1.905080289,DARK-589-20200906-11_21_01,79.4,62.088,0.163315344,0.81278156,1.104529763,0.967063361,588,300,300,300,7111.44,140.102,-0.00481267,2.54395,1499.86,1261.0935,0.840807476,0.191614951,1599408774,48.7074,50.0151,17.6597,16.8719,500.03,101.03,0.199829,24.6924,25.0022,999.9,0,0,10018.8,0,0.454798,-1.24271,49.6492,50.8735,0.787867,47.8604,50.0151,17.4377,16.8719,1.78416,1.70456,15.6487,14.938,1499.86,0.972997,0.0270026,0,131.189,4.99951,2460.35,13590.5,43.562,44.5,44.437,44.375,45.562,1454.49,40.37,0,85.5999999,131.3480769,0.173128195,-1.571623901,2461.299615,15,1599408794,11:13:13,10,0.847,0.222,50,17,0.45,0.16,48.81417143,-0.438748052,0.023464322,1,1.400005915,-0.038354892,0.003896811,1,2,2,2/2,2.96102,2.79162,0.0136649,0.0147346,0.0918063,0.0920732,22701.3,29459.4,23333.7,27600.3,30926.8,33254.6,37295.3,39954.7,1.95898,2.0177,0.0283942,0,24.5361,999.9,46.362,27.785,17.1971,61.9782,31.891,1,0.233272,4.33876,20.1324,5.26162,12.0219,4.99815,3.2865,9999,9999,965.9,9999,1.87851,1.88343,1.88126,1.87837,1.87819,1.88034,1.87927,1.87531,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.847,0.222,2,513.836,530.325,19.6894,30.0118,29.9997,30.0313,30.0111,5.11119,0,20,19.6968,50,59.1782,99.4313,99.6196
ME034,plant_1,10,1599408859,851.0999999,20200906 11:14:18,11:14:18,1599408859,0.00361453,1.603535131,19.5501,9.407985156,0.952409061,1.979137091,0.270829924,3.494487285,0.259685938,0.163266744,241.6789194,25.19405709,25.0059,3.180796222,57.55523655,1.806441813,3.138622862,1.374354409,-159.4007844,-42.14391643,-2.548286088,37.58593245,-0.041864478,0.046996544,3.500299301,0,0,1,0,53783.08733,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-590-20200906-11_22_23,133.1265,139.612,0.046453743,0.5,1261.278,1.603535131,29.29554219,0.404062688,0.001951548,1.944116552,DARK-591-20200906-11_22_26,83.2,56.412,0.114966674,0.827925108,0.887900712,0.973793978,590,300,300,300,7110.34,139.612,-0.00481193,2.0123,1500.08,1261.278,0.840807157,0.191614314,1599408859,19.5501,19.9636,17.8442,16.9674,500.033,101.034,0.200116,24.7822,25.0059,999.9,0,0,9992.5,0,0.454798,-0.49741,19.8197,20.3081,0.872805,18.6191,19.9636,17.6182,16.9674,1.80246,1.71428,15.8081,15.0263,1500.08,0.973002,0.0269985,0,133.206,4.99951,2495.16,13592.6,43.687,44.625,44.562,44.562,45.687,1454.72,40.36,0,84.4000001,133.1265,0.658153841,3.87452994,2494.842692,15,1599408881,11:14:40,11,0.931,0.226,20,17,0.31,0.15,19.48769048,-0.429553247,0.023979434,1,1.378859611,-0.021901281,0.002294849,1,2,2,2/2,2.96101,2.79168,0.00534436,0.00592181,0.0925004,0.0924503,22894.5,29722.4,23335.6,27600.2,30905.5,33240.3,37298.8,39954.7,1.95875,2.01655,0.0245497,0,24.603,999.9,46.289,27.875,17.2603,62.0282,32.0232,1,0.234355,4.28023,20.1347,5.26491,12.0219,4.99945,3.28702,9999,9999,966,9999,1.87851,1.88349,1.88131,1.87845,1.8782,1.88034,1.87927,1.87532,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.931,0.226,2,513.902,529.725,19.8015,30.0349,29.9998,30.0566,30.0384,3.8025,0,20,19.8024,20,53.8021,99.4401,99.6193
ME034,plant_1,11,1599408942,934.0999999,20200906 11:15:41,11:15:41,1599408942,0.003824509,0.754584489,9.83694,5.304684035,0.536997764,0.995801965,0.287374362,3.501827884,0.274886085,0.172880599,241.6597524,25.22606941,25.0728,3.193504449,57.71206495,1.819948773,3.153497929,1.373555675,-168.6608375,-39.91032119,-2.409942226,30.6786515,-0.041975932,0.047121661,3.507655373,0,0,1,0,53905.98803,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-592-20200906-11_23_46,133.5600769,139.981,0.045869961,0.5,1261.177192,0.754584489,28.92507461,0.429922632,0.001278563,1.936355648,DARK-593-20200906-11_23_49,79.8,60.181,0.106693526,0.818312734,0.836786864,0.972470099,592,300,300,300,7109.55,139.314,-0.00481133,2.53458,1499.96,1261.177192,0.840807216,0.191614433,1599408942,9.83694,10.0326,17.9782,17.0506,500.038,101.031,0.199867,24.8614,25.0728,999.9,0,0,10019.4,0,0.454798,-0.245697,9.96608,10.2067,0.923616,8.85594,10.0326,17.7482,17.0506,1.81594,1.72263,15.9247,15.1019,1499.96,0.973006,0.0269943,0,133.628,4.99951,2503.7,13591.5,43.75,44.687,44.625,44.5,45.75,1454.61,40.36,0,82.29999995,133.5600769,0.277128214,5.196239325,2503.267308,15,1599408967,11:16:07,12,0.981,0.23,10,17,0.56,0.14,9.796197619,0.128158442,0.009904722,1,1.376641581,-0.014842723,0.001814191,1,2,2,2/2,2.961,2.79166,0.0025439,0.00297975,0.0929914,0.0927716,22959.8,29809.6,23336.7,27599.6,30890.6,33227.8,37301.3,39954,1.9581,2.0153,0.0229105,0,24.6968,999.9,46.24,28.006,17.3748,62.5782,32.0833,1,0.240813,5.11008,20.1107,5.26416,12.0219,4.9993,3.287,9999,9999,966,9999,1.87851,1.88347,1.88132,1.87847,1.8782,1.88035,1.87927,1.87536,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.981,0.23,2,513.684,529.047,19.3995,30.0582,30.0005,30.0837,30.0653,3.3661,0,20,19.391,10,48.8151,99.446,99.6174
ME034,plant_1,18,1599409629,1621.1,20200906 11:27:08,11:27:08,1599409629,0.002155976,22.79329579,394.153,131.2902047,13.29063096,39.90047909,0.144987139,3.496130563,0.14172774,0.088866579,241.6741314,25.04068334,25.0301,3.185388108,55.15141149,1.682478486,3.050653537,1.502909622,-95.07854455,-136.29234,-8.218536896,2.084709993,-0.041889419,0.047024543,3.501946042,0,0,1,0,53899.77035,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-606-20200906-11_35_13,123.1587692,149.357,0.175406782,0.5,1261.2528,22.79329579,110.6161476,0.469726896,0.018752153,1.752023675,DARK-607-20200906-11_35_16,79.2,70.157,0.373422905,0.788578024,1.536615518,0.938831365,606,300,300,300,7108.82,142.562,-0.00481084,1.33055,1500.05,1261.2528,0.840807173,0.191614347,1599409629,394.153,399.992,16.6202,16.0966,500.072,101.031,0.199941,24.307,25.0301,999.9,0,0,9998.75,0,0.454798,-5.78329,400.868,406.536,0.513657,391.973,399.992,16.4202,16.0966,1.67815,1.62626,14.6958,14.2099,1500.05,0.973006,0.0269943,0,123.278,4.99951,2324.84,13592.3,43.937,44.812,44.875,44.625,45.875,1454.69,40.36,0,79.5999999,123.1587692,-0.110085471,-7.992136781,2325.308846,15,1599409664,11:27:44,19,2.18,0.2,400,16,0.71,0.3,394.229381,0.083220779,0.008936156,1,1.510547017,-0.029579744,0.003046349,1,2,2,2/2,2.96092,2.79156,0.0927847,0.0968449,0.0877743,0.0889061,20888.6,26998.5,23343.4,27594.4,31085.6,33370.3,37315.2,39948.7,1.95515,2.00458,0.0342503,0,24.4679,999.9,45.422,28.802,17.8751,62.3982,31.5705,1,0.260198,5.56956,20.0975,5.26371,12.0219,4.99875,3.287,9999,9999,966.2,9999,1.87851,1.88341,1.8813,1.87848,1.87819,1.88034,1.87927,1.87532,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.18,0.2,2,513.438,523.005,18.4039,30.2673,30.0003,30.2906,30.2712,20.2702,16.3242,20,18.3764,400,16.0971,99.4799,99.602
ME034,plant_1,19,1599409725,1717.6,20200906 11:28:45,11:28:45,1599409725,0.002268277,23.40700638,394.088,139.0089211,14.07169876,39.89303405,0.153754273,3.5026281,0.150100751,0.094133993,241.6751654,24.99536937,24.9995,3.179582806,55.35091841,1.686612629,3.047126727,1.492970178,-100.0310373,-134.4118178,-8.08807001,-0.855759709,-0.041988088,0.047135307,3.508457277,0,0,1,0,54024.96442,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-608-20200906-11_36_50,123.2815,148.914,0.172129551,0.5,1261.2609,23.40700638,108.5501364,0.456061888,0.019238618,1.760210591,DARK-609-20200906-11_36_52,81,67.914,0.377425862,0.794221201,1.543539989,0.940420738,608,300,300,300,7108.77,143.616,-0.00481079,1.74043,1500.06,1261.2609,0.840806968,0.191613936,1599409725,394.088,400.09,16.6614,16.1105,500.027,101.029,0.199746,24.2877,24.9995,999.9,0,0,10022.5,0,0.454798,-5.98108,400.788,406.641,0.553919,391.929,400.09,16.4644,16.1105,1.68359,1.62763,14.7459,14.2229,1500.06,0.97301,0.0269902,0,123.651,4.99951,2326.38,13592.4,43.937,44.812,44.875,44.687,45.937,1454.71,40.35,0,96.0999999,123.2815,0.253299147,-3.129230767,2326.931154,15,1599409756,11:29:16,20,2.159,0.197,400,16,0.54,1.04,394.0843333,0.061714286,0.01013872,1,1.491498119,-0.004743735,0.000820663,1,2,2,2/2,2.96078,2.79157,0.0927681,0.0968539,0.0879406,0.0889543,20889.8,26997.1,23344.4,27593.3,31081.3,33368.4,37317,39948.5,1.9549,2.0032,0.0307932,0,24.4941,999.9,45.318,28.913,17.9497,62.3282,31.7348,1,0.260371,5.18088,20.111,5.26356,12.0219,4.99875,3.287,9999,9999,966.2,9999,1.87851,1.88347,1.88133,1.87849,1.8782,1.88035,1.87927,1.87535,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.159,0.197,2,513.515,522.249,18.4494,30.3006,29.9999,30.3191,30.2992,20.2744,16.7726,20,18.4491,400,16.0741,99.4844,99.6001
ME034,plant_1,20,1599409835,1827.5,20200906 11:30:35,11:30:35,1599409835,0.002114024,24.59832151,493.685,204.9780197,20.75012663,49.97621834,0.143147986,3.493715192,0.139967632,0.087759627,241.6496296,25.00702278,25.0137,3.182275619,55.54561572,1.690112016,3.042746029,1.492163603,-93.22847984,-141.2648801,-8.521710985,-1.365441271,-0.041852761,0.046983391,3.499525582,0,0,1,0,53862.3674,0,132.3076923,411.034,278.7263077,0.678110102,-0.857909696,MPF-610-20200906-11_38_40,123.6373077,151.803,0.185541078,0.5,1261.1265,24.59832151,116.9953854,0.466413707,0.020185311,1.707680349,DARK-611-20200906-11_38_42,81,70.803,0.397803657,0.785467558,1.444742127,0.930055732,610,300,300,300,7109,145.372,-0.00481089,1.61256,1499.9,1261.1265,0.840807054,0.191614108,1599409835,493.685,500.018,16.6956,16.1822,500.045,101.031,0.199984,24.2637,25.0137,999.9,0,0,9990,0,0.454798,-6.6105,501.784,508.242,0.511339,491.248,500.018,16.4966,16.1822,1.68656,1.6349,14.7733,14.2917,1499.9,0.973006,0.0269943,0,123.696,4.99951,2333.42,13590.9,43.875,44.812,44.812,44.5,45.875,1454.55,40.35,0,109.4000001,123.6373077,-0.182017093,-4.333675206,2334.446154,15,1599409870,11:31:09,21,2.437,0.199,500,16,0.7,0.41,493.4077619,0.466285714,0.029834312,1,1.497570418,-0.023761191,0.002568265,1,2,2,2/2,2.96079,2.79152,0.109927,0.114406,0.0880624,0.0892392,20494.9,26472.1,23344.9,27593.1,31079.1,33357.1,37318.2,39946.1,1.9546,2.00227,0.0294447,0,24.5305,999.9,45.184,29.024,18.0122,63.0282,32.0593,1,0.267927,6.10721,20.08,5.26386,12.0219,4.9991,3.287,9999,9999,966.2,9999,1.87851,1.88344,1.88137,1.87849,1.8782,1.88035,1.87928,1.87534,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.437,0.199,2,513.578,521.854,17.8122,30.3304,30.0001,30.35,30.3303,24.2841,16.3341,20,17.802,500,16.2137,99.4873,99.5963
