species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,1,1552232274,0,20190310 10:37:53,10:37:53,1552232274,-0.001782591,-1.166994831,400.151,374.7751707,37.61071479,40.15731647,-0.115273451,3.462383647,-0.117449071,-0.073206796,1.74E-06,25.66053525,25.0311,3.18557798,52.61586821,1.699498746,3.23001179,1.486079233,78.61227525,43.41805272,2.656436916,124.6867666,-0.041825033,0.046952264,3.497694243,0,0,1,0,53628.28637,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,-,0,0,#DIV/0!,0.5,0.000182664,-1.166994831,#DIV/0!,#DIV/0!,-1156.361056,#DIV/0!,-,0,0,#DIV/0!,1,0,1.144823841,1256,300,300,300,7115.43,783.918,-0.00591897,0.45813,0.00434958,0.000182664,0.041995884,0.009499069,1552232274,400.151,399.535,16.9348,17.5089,499.989,100.156,0.199407,25.2637,25.0311,999.9,0,0,10070.6,0,0.227399,0.00434958,0,0,0,183.5,0.00499951,-17.7,-3.9,36.812,41.437,39.312,41.562,40.062,0,0,0,1552232375,176.3461538,27.37094022,-51.39145319,-1.5,15,1552232293,10:38:12,2,0.662,0.214,399,18,0.43,0.19,400.0857143,0.138545455,0.017015799,1,1,1,1-Jan,1.87847,1.8837,1.88156,1.87868,1.87839,1.88065,1.8796,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.662,0.214,2,510.793,556.189,22.5997,27.857,30.0005,27.7635,27.7005,20.355,0,57.0743,22.58,399.471,17.8313,99.513,99.8874
ME034,plant_1,2,1552232477,203,20190310 10:41:16,10:41:16,1552232477,0.000223477,1.739187529,399.93,200.5550159,20.12506289,40.13171332,0.01452463,3.446903806,0.014490713,0.009059737,8.246831759,25.32334623,24.9184,3.164241562,50.99608873,1.653836405,3.243065197,1.510405157,-9.855336385,76.76615735,4.716795258,79.87444798,-0.041587887,0.046686047,3.482014192,0,0,1,0,53324.59742,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1257-20190310-10_42_57,250.9604231,762.884,0.671037244,0.5,42.2095429,1.739187529,14.16208767,0.769034349,0.063847086,-0.086357922,DARK-1258-20190310-10_43_00,176.2,586.684,0.872571226,-0.126499054,0.758730235,-0.108209342,1257,300,300,300,7120.25,732.06,-0.00588792,-8.95862,50.0891,42.2095429,0.842689186,0.195378372,1552232477,399.93,400.529,16.4812,16.4092,500.031,100.147,0.199844,25.3315,24.9184,999.9,0,0,10014.4,0,6.19662,50.0891,0.900341,0.0996589,0,248.426,4.99951,147.805,406.915,36.75,41.312,39.25,41.625,40.312,40.6,4.49,0,202.3,250.9604231,-20.82670085,-11.85511112,148.857,15,1552232373,10:39:32,3,0.599,0.175,400,17,0.45,0.36,399.9889524,-1.01625974,0.052711683,0,0,1,0/1,1.87851,1.88373,1.88157,1.87873,1.87849,1.88067,1.87969,1.87552,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.599,0.175,2,511.567,553.493,24.7016,27.9142,29.9997,27.8669,27.8116,20.3689,23.717,65.7394,24.7528,400.57,16.3892,99.5333,99.8936
ME034,plant_1,3,1552232627,353.5,20190310 10:43:47,10:43:47,1552232627,0.000235661,1.792287962,400.033,206.7278316,20.74203739,40.13731186,0.015459661,3.436899246,0.015421131,0.009641661,8.245433476,25.56738718,25.0171,3.182920673,51.25666491,1.686842087,3.290971213,1.496078585,-10.39264288,103.9848109,6.418956199,108.2565577,-0.041434874,0.046514276,3.471880452,0,0,1,0,53092.20923,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1259-20190310-10_45_28,217.4662692,748.233,0.709360227,0.5,42.20215412,1.792287962,14.96826482,0.779747752,0.065116504,-0.06846808,DARK-1260-20190310-10_45_30,164.8,583.433,0.90973039,-0.09626042,0.804119008,-0.084145147,1259,300,300,300,7120.01,710.764,-0.00588809,-9.60901,50.0803,42.20215412,0.842689723,0.195379446,1552232627,400.033,400.651,16.8121,16.7362,500.03,100.135,0.200002,25.5783,25.0171,999.9,0,0,9978.75,0,6.19662,50.0803,0.900341,0.0996589,0,216.648,4.99951,129.522,406.837,36.5,40.937,39,41.312,40.125,40.59,4.49,0,150.2,217.4662692,-5.847897411,-2.446119695,129.6432692,15,1552232547,10:42:26,4,0.668,0.176,401,17,0.29,0.17,400.015,0.56025974,0.030403634,0,0,1,0/1,1.87851,1.88372,1.88156,1.87871,1.8784,1.88069,1.87964,1.87551,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.668,0.176,2,512.218,553.214,24.4205,27.7223,30,27.7456,27.7116,20.3564,25.4255,68.8285,24.3963,400.711,16.6628,99.5911,99.9353
ME034,plant_1,4,1552232778,504,20190310 10:46:17,10:46:17,1552232778,0.000799135,4.927767591,400.025,242.8709687,24.36578318,40.1321017,0.053172427,3.447636122,0.052721008,0.032990869,16.49600802,25.40080235,24.9239,3.165279918,51.33974485,1.681319615,3.27488892,1.483960303,-35.24186225,106.2984574,6.535564422,94.08816763,-0.041599095,0.046698629,3.482755971,0,0,1,0,53308.51101,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1261-20190310-10_47_58,217.7455769,716.27,0.696000702,0.5,84.29255855,4.927767591,29.33383998,0.750094238,0.069799001,-0.026899182,DARK-1262-20190310-10_48_01,179,537.27,0.927884347,-0.037194919,0.793706202,-0.031646078,1261,300,300,300,7125.03,676.152,-0.00585481,-7.77209,100.009,84.29255855,0.842849729,0.195699458,1552232778,400.025,401.744,16.7589,16.5015,500.018,100.124,0.199984,25.4958,24.9239,999.9,0,0,10019.4,0,6.19662,100.009,0.900001,0.0999989,0,217.292,4.99951,260.124,850.936,36.375,40.625,38.75,41.062,40,85.51,9.5,0,150.1000001,217.7455769,-3.014119649,-7.401641017,260.6536154,15,1552232705,10:45:04,5,0.74,0.18,402,17,0.54,0.1,399.9845238,0.588,0.030307345,0,0,1,0/1,1.87851,1.8837,1.88156,1.87869,1.87847,1.88067,1.87963,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.74,0.18,2,512.933,551.404,24.3029,27.5081,29.9996,27.5683,27.5461,20.4091,27.6205,69.5797,24.3397,401.729,16.3907,99.6501,99.983
ME034,plant_1,5,1552232929,654.9000001,20190310 10:48:48,10:48:48,1552232929,0.000561284,5.261014119,399.973,161.9696126,16.24849303,40.12455421,0.036612088,3.442040888,0.036397108,0.022767402,16.49523691,25.59899385,25.0286,3.185103318,50.72516776,1.675564017,3.303220258,1.509539301,-24.75262237,113.6228629,7.006044583,112.371522,-0.041513487,0.046602526,3.477088462,0,0,1,0,53177.32937,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1263-20190310-10_50_29,217.5755,726.899,0.700679874,0.5,84.2883728,5.261014119,29.52958323,0.751822468,0.073756115,-0.041128241,DARK-1264-20190310-10_50_32,180.4,546.499,0.931975173,-0.057870514,0.7974054,-0.049104158,1263,300,300,300,7125.21,681.954,-0.00585502,-9.99036,100.004,84.2883728,0.842850014,0.195700028,1552232929,399.973,401.77,16.7025,16.5217,500.015,100.118,0.200157,25.6409,25.0286,999.9,0,0,9999.38,0,6.19662,100.004,0.900001,0.0999989,0,217.566,4.99951,259.548,850.893,36.25,40.437,38.625,40.875,39.812,85.5,9.5,0,150.7,217.5755,0.978769232,0.462974363,259.5719231,15,1552232833,10:47:13,6,0.759,0.166,402,17,0.29,0.29,400.0116667,-0.238909091,0.019317728,1,1,1,1-Jan,1.8785,1.8837,1.88156,1.87867,1.87842,1.88065,1.87963,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.759,0.166,2,513.098,549.861,24.3339,27.3199,29.9998,27.3929,27.377,20.4136,27.3791,69.5797,24.3067,401.774,16.5638,99.7023,100.025
ME034,plant_1,6,1552233079,805.4000001,20190310 10:51:19,10:51:19,1552233079,0.001878442,10.62514041,399.965,255.7728818,25.65654708,40.12044115,0.126917179,3.444380431,0.12437521,0.077958652,33.00664436,25.27024425,24.7879,3.139691365,50.63622311,1.660961086,3.2801836,1.478730279,-82.83927902,136.5032461,8.395991508,95.06660298,-0.041549275,0.046642701,3.47945822,0,0,1,0,53242.13847,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1265-20190310-10_53_00,231.4406923,638.685,0.63762936,0.5,168.528701,10.62514041,53.72942385,0.713160635,0.068717726,0.091309367,DARK-1266-20190310-10_53_02,183.2,455.485,0.894089394,0.113502513,0.739755654,0.095786899,1265,300,300,300,7134.58,612.522,-0.00578816,0.938477,199.933,168.528701,0.842925885,0.19585177,1552233079,399.965,403.692,16.5583,15.9531,499.99,100.11,0.19988,25.523,24.7879,999.9,0,0,10008.8,0,6.19662,199.933,0.899987,0.100013,0,231.736,4.99951,552.31,1739.8,36.25,40.312,38.562,40.687,39.812,175.44,19.5,0,150.0999999,231.4406923,5.074461527,10.88892309,550.8901923,15,1552233005,10:50:05,7,0.781,0.177,403,17,0.61,0.32,399.981619,-0.056883117,0.012206463,1,1,1,1-Jan,1.87849,1.8837,1.88156,1.8787,1.87843,1.88068,1.87963,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.781,0.177,2,513.438,547.489,24.8934,27.1623,29.9998,27.2331,27.2177,20.4746,30.9131,68.8317,25.0548,403.63,15.8609,99.7528,100.057
ME034,plant_1,7,1552233230,955.9000001,20190310 10:53:49,10:53:49,1552233230,0.000996762,10.58429988,399.989,132.3964725,13.27860862,40.11660796,0.065459956,3.43646815,0.064775046,0.040545343,33.00453906,25.77013642,25.1392,3.206161545,50.92115963,1.700579748,3.339632798,1.505581796,-43.95721835,127.2042336,7.867878514,124.1194328,-0.041428285,0.046506879,3.471443793,0,0,1,0,53039.2638,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1267-20190310-10_55_30,230.9122692,658.852,0.649523308,0.5,168.5200302,10.58429988,54.72884377,0.741671878,0.068478914,0.057905149,DARK-1268-20190310-10_55_33,170.2,488.652,0.875755611,0.072419725,0.749878283,0.062662702,1267,300,300,300,7134.61,625.936,-0.0057883,-2.76807,199.923,168.5200302,0.842924677,0.195849354,1552233230,399.989,403.587,16.9559,16.6349,500.004,100.094,0.200278,25.8258,25.1392,999.9,0,0,9981.25,0,6.19662,199.923,0.899987,0.100013,0,231.32,4.99951,548.937,1739.71,36.25,40.25,38.5,40.625,39.812,175.43,19.49,0,150.1000001,230.9122692,0.63135042,1.40830769,549.3213462,15,1552233134,10:52:14,8,0.815,0.139,403,16,0.52,0.18,400.0323333,0.062805195,0.016325071,1,1,1,1-Jan,1.8785,1.8837,1.88158,1.87868,1.87845,1.88068,1.87964,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.815,0.139,2,513.075,546.58,23.641,27.0402,30,27.1047,27.0894,20.4952,27.5131,68.4582,23.5586,403.671,16.6989,99.7827,100.077
ME034,plant_1,8,1552233380,1106.4,20190310 10:56:20,10:56:20,1552233380,0.002586141,17.157121,399.957,231.9395142,23.25977283,40.1092026,0.175299388,3.445872232,0.170491545,0.106978198,66.05009787,25.09601911,24.7043,3.124051815,50.51481154,1.638998101,3.244589163,1.485053713,-114.04884,117.9849809,7.24408564,77.23032436,-0.041572101,0.046668325,3.480969291,0,0,1,0,53302.39553,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1269-20190310-10_58_01,251.1831923,527.752,0.524050705,0.5,337.1169881,17.157121,88.33319765,0.68924798,0.053728796,0.320701623,DARK-1270-20190310-10_58_03,164,363.752,0.760322439,0.317542204,0.629167581,0.277993801,1269,300,300,300,7152.85,510.464,-0.00565315,4.32391,399.919,337.1169881,0.84296317,0.195926341,1552233380,399.957,405.916,16.3436,15.5103,500.044,100.084,0.199787,25.3394,24.7043,999.9,0,0,10016.9,0,6.19662,399.919,0.899967,0.100033,0,251.068,4.99951,1186.36,3518.74,36.5,40.187,38.562,40.625,39.937,355.41,39.5,0,150,251.1831923,-2.617196574,-10.85025642,1188.471154,15,1552233308,10:55:08,9,0.787,0.175,405,17,0.56,0.35,399.9180476,0.491688312,0.025951376,1,1,1,1-Jan,1.87851,1.8837,1.88156,1.87867,1.87843,1.88067,1.87962,1.87549,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.787,0.175,2,513.613,542.882,24.7036,26.977,30,27.02,26.9975,20.5602,32.9013,67.3255,24.9149,405.817,15.4666,99.8116,100.093
ME034,plant_1,9,1552233531,1256.9,20190310 10:58:50,10:58:50,1552233531,0.001511129,17.92529064,400.026,102.8367999,10.31263369,40.11522732,0.099906569,3.452080388,0.098327633,0.061594553,66.08791551,25.76320199,25.1308,3.204557928,51.11745623,1.701095989,3.327818156,1.503461939,-66.64080415,118.216156,7.276380432,124.9396478,-0.041667138,0.046775012,3.487257682,0,0,1,0,53342.85928,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1271-20190310-11_00_31,247.4574231,539.38,0.541218764,0.5,337.3138007,17.92529064,91.28027915,0.680744559,0.055974761,0.292229825,DARK-1272-20190310-11_00_34,172.2,367.18,0.795039427,0.300346885,0.6469816,0.258894869,1271,300,300,300,7152.61,521.962,-0.00565295,3.56317,400.153,337.3138007,0.842962069,0.195924138,1552233531,400.026,406.097,16.9632,16.4765,499.947,100.082,0.19955,25.766,25.1308,999.9,0,0,10040,0,6.19662,400.153,0.900025,0.0999748,0,247.15,4.99951,1173.37,3520.88,36.687,40.312,38.687,40.687,40.062,355.65,39.51,0,150.1000001,247.4574231,0.029230762,7.228376082,1171.665769,15,1552233458,10:57:37,10,0.784,0.125,406,16,0.49,0.12,400.0168095,-0.035376623,0.005703959,1,1,1,1-Jan,1.87851,1.88371,1.88158,1.87869,1.87848,1.88066,1.87965,1.8755,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.784,0.125,2,513.034,542.7,23.2087,26.9111,30.0003,26.9537,26.9313,20.6064,28.175,66.2113,23.1919,406.196,16.5589,99.8351,100.106
ME034,plant_1,10,1552233681,1407.4,20190310 11:01:21,11:01:21,1552233681,0.002393717,22.11790116,399.938,169.998886,17.04635218,40.10310985,0.162222126,3.4221393,0.158067934,0.099156836,97.9910121,25.15775218,24.7673,3.13583126,51.40024269,1.653597243,3.21710007,1.482234017,-105.5629165,79.16653585,4.892432328,76.48706378,-0.041209492,0.046261265,3.456930228,0,0,1,0,52881.21262,MPF-1256-20190310-10_39_34,88.17307692,697.0029231,608.8298462,0.873496833,-0.955768767,MPF-1273-20190310-11_03_02,268.9069615,479.207,0.438850097,0.5,505.143717,22.11790116,110.8411846,0.654846444,0.045677436,0.454492366,DARK-1274-20190310-11_03_04,165.4,313.807,0.670157257,0.409696624,0.537805101,0.357728722,1273,300,300,300,7151.29,464.716,-0.00550423,4.01678,599.938,505.143717,0.841993201,0.193986402,1552233681,399.938,407.495,16.4909,15.7199,500.162,100.073,0.200317,25.1964,24.7673,999.9,0,0,9930.62,0,6.13977,599.938,0.933006,0.0669942,0,268.735,4.99951,1911.22,5349.76,37.062,40.375,38.875,40.75,40.312,555.08,39.86,0,150.0999999,268.9069615,-2.503076926,-13.28786322,1913.481923,15,1552233605,11:00:04,11,0.812,0.161,407,17,0.57,0.25,399.9200476,-0.133402597,0.014591179,1,1,1,1-Jan,1.87852,1.88379,1.88163,1.87876,1.8785,1.88068,1.87966,1.87553,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.812,0.161,2,513.801,539.992,23.944,26.8793,29.9999,26.9025,26.875,20.6377,31.8203,65.0249,23.9889,407.426,15.6011,99.8582,100.116
