species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,,,,
A10,plant_1,1,1553441110,0,20190324 10:25:10,10:25:10,1553441110,0.000284151,-1.580655817,400.058,524.104282,52.74104471,40.25816539,0.018742366,3.472350761,0.018686346,0.011683985,1.74E-06,25.19471402,25.003,3.180246343,52.24803757,1.687025415,3.228878048,1.493220927,-12.53106533,47.69891015,2.909477095,38.07732365,-0.041572973,0.046669304,3.481027037,0,0,1,0,53325.59332,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,-,0,0,#DIV/0!,0.5,0.000182664,-1.580655817,#DIV/0!,#DIV/0!,-3093.565455,#DIV/0!,-,0,0,#DIV/0!,1,0,1.133143755,2750,300,300,300,7117.13,621.468,-0.00592022,0.470825,0.00434958,0.000182664,0.041995884,0.009499069,1553441110,400.058,399.681,16.7645,16.6927,500.018,100.431,0.199822,25.2578,25.003,999.9,0,0,9982.5,0,0.227399,0.00434958,0,0,0,143,0.00499951,-7.1,-0.4,36.875,41.375,39.375,41.312,40.062,0,0,0,1553441219,130.6884615,5.630769742,-63.73675219,1.119230769,15,1553441130,10:25:30,2,0.386,0.154,400,17,0.4,0.3,400.0548095,-0.082753247,0.011970675,1,1.489265146,0.033559395,0-Jan,1,2,2,2/2,1.87837,1.88366,1.88153,1.87865,1.87836,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.386,0.154,2,512.586,552.153,22.7289,28.1341,30.0007,28.0178,27.9553,20.2217,31.8223,73.0504,22.7262,399.661,16.6196,99.5208,99.9107
A10,plant_1,2,1553441303,192.5,20190324 10:28:22,10:28:22,1553441303,0.000462151,2.041128078,399.97,284.4699111,28.6269866,40.25007702,0.030594489,3.456905235,0.030444856,0.019041418,8.24729276,25.12565543,24.8407,3.149604193,51.58143477,1.658497998,3.215300244,1.491106195,-20.38087124,64.53947216,3.949650195,56.35554388,-0.041339127,0.046406791,3.465532708,0,0,1,0,53050.14989,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2751-20190324-10_30_11,195.9992308,606.919,0.677058667,0.5,42.21190243,2.041128078,14.2899672,0.775917379,0.072413212,-0.083693591,DARK-2752-20190324-10_30_14,136,470.919,0.872591187,-0.120905396,0.758749839,-0.10349908,2751,300,300,300,7122.1,583.59,-0.00588928,-5.53943,50.0919,42.21190243,0.842689186,0.195378372,1553441303,399.97,400.542,16.4807,16.3639,500.066,100.432,0.20074,25.187,24.8407,999.9,0,0,9926.25,0,6.13977,50.0919,0.900341,0.0996589,0,194.106,4.99951,119.406,406.94,36.812,41.312,39.312,41.5,40.375,40.6,4.49,0,192,195.9992308,-13.82283761,-8.325230773,119.8939615,15,1553441201,10:26:41,3,0.356,0.161,400,17,0.36,0.18,399.9723333,-0.081506494,0.007292092,1,1.487973307,0.0140422,0.001697859,1,2,2,2/2,1.87836,1.88365,1.88146,1.87863,1.87837,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.356,0.161,2,513.347,550.726,24.1089,28.289,29.9996,28.2126,28.148,20.2617,32.6995,70.8001,24.1245,400.606,16.388,99.5311,99.9041
A10,plant_1,3,1553441453,343,20190324 10:30:53,10:30:53,1553441453,0.000431742,2.769059446,400.017,235.2194555,23.67341465,40.25929015,0.02832499,3.482154078,0.028197609,0.017634903,8.24372237,25.52280265,25.0252,3.184457878,51.07438715,1.680713674,3.290717261,1.503744204,-19.03983189,103.5893537,6.311655456,99.10489961,-0.041721635,0.04683619,3.49086138,0,0,1,0,53451.55384,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2753-20190324-10_32_42,174.0594231,598.663,0.70925308,0.5,42.19316424,2.769059446,14.96281586,0.787860616,0.089697724,-0.071057057,DARK-2754-20190324-10_32_44,127,471.663,0.900226596,-0.099130446,0.796153448,-0.086676863,2753,300,300,300,7122.26,575.024,-0.00588966,-5.72479,50.0696,42.19316424,0.84269026,0.19538052,1553441453,400.017,400.773,16.6996,16.5905,500.022,100.444,0.199948,25.577,25.0252,999.9,0,0,10016.9,0,6.13977,50.0696,0.900341,0.0996589,0,173.217,4.99951,106.684,406.742,36.562,41,39.062,41.25,40.187,40.58,4.49,0,150.0999999,174.0594231,-4.700888898,-2.816376084,106.7457308,15,1553441349,10:29:09,4,0.44,0.147,400,16,0.68,0.16,399.9655238,0.456779221,0.026938411,1,1.505576449,-0.015656101,0.001933503,1,2,2,2/2,1.8784,1.88369,1.88154,1.87865,1.87836,1.88065,1.87958,1.87545,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.44,0.147,2,513.79,551.181,24.2838,28.0729,29.9996,28.0903,28.0513,20.2635,31.1845,68.9307,24.273,400.63,16.5688,99.5953,99.9541
A10,plant_1,4,1553441604,493.5,20190324 10:33:23,10:33:23,1553441604,0.000774403,5.269876633,399.95,227.601263,22.90485316,40.24931981,0.051538733,3.483115251,0.051118791,0.031986689,16.49875847,25.41450269,24.9506,3.1703249,51.35477849,1.682541325,3.276309185,1.487783575,-34.15117571,103.7493944,6.314944386,92.41192159,-0.04173622,0.046852564,3.491825597,0,0,1,0,53482.52903,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2755-20190324-10_35_12,177.7196923,566.156,0.686094129,0.5,84.30685849,5.269876633,28.92122032,0.754837889,0.074554409,-0.017719905,DARK-2756-20190324-10_35_15,138.8,427.356,0.908929108,-0.024039443,0.775613377,-0.02044142,2755,300,300,300,7127.21,537.964,-0.00585625,-4.56122,100.026,84.30685849,0.842849444,0.195698888,1553441604,399.95,401.384,16.7191,16.5234,499.985,100.436,0.199879,25.5031,24.9506,999.9,0,0,10021.2,0,6.13977,100.026,0.900001,0.0999989,0,176.82,4.99951,216.32,851.088,36.437,40.625,38.812,41.062,40,85.52,9.5,0,150.0999999,177.7196923,-3.013948715,-5.170256415,216.3274615,15,1553441525,10:32:04,5,0.481,0.161,401,17,0.57,0.26,399.952381,-0.024779221,0.00935784,1,1.488617835,-0.003718788,0.000897825,1,2,2,2/2,1.87849,1.88369,1.88152,1.87866,1.87838,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.481,0.161,2,514.668,550.214,24.1801,27.8203,29.9996,27.8873,27.8661,20.2957,31.4381,67.0637,24.1952,401.512,16.5379,99.6621,100.006
A10,plant_1,5,1553441754,644,20190324 10:35:54,10:35:54,1553441754,0.000956064,4.917575136,399.969,265.854475,26.75343829,40.24963641,0.063002627,3.475468992,0.062374951,0.039040217,16.49743891,25.48402877,25.008,3.181194462,50.82103551,1.675963749,3.297775679,1.505230713,-42.16244117,113.3772749,6.921976002,94.63424868,-0.041620239,0.046722364,3.484155133,0,0,1,0,53320.26306,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2757-20190324-10_37_43,175.9457308,569.972,0.691308116,0.5,84.3001157,4.917575136,29.13867706,0.787357975,0.070381238,-0.024296335,DARK-2758-20190324-10_37_45,121.2,448.772,0.878009923,-0.031840593,0.780825577,-0.028216805,2757,300,300,300,7128.07,540.422,-0.00585702,-5.2049,100.018,84.3001157,0.842849444,0.195698888,1553441754,399.969,401.331,16.6544,16.4128,500.034,100.432,0.19989,25.6131,25.008,999.9,0,0,9993.75,0,6.13977,100.018,0.900001,0.0999989,0,175.807,4.99951,213.563,851.016,36.25,40.437,38.625,40.812,39.875,85.52,9.5,0,150,175.9457308,0.151145308,-2.144512819,213.4263462,15,1553441657,10:34:16,6,0.6,0.151,401,17,0.72,0.23,400.0424762,-0.94612987,0.052354669,0,1.504088736,0.004281229,0-Jan,1,1,2,1/2,1.87838,1.88364,1.88152,1.87866,1.87836,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.6,0.151,2,514.787,548.886,24.3125,27.599,29.9995,27.6852,27.6722,20.2954,31.4435,65.1968,24.3142,401.476,16.4242,99.7203,100.051
A10,plant_1,6,1553441905,794.5999999,20190324 10:38:24,10:38:24,1553441905,0.001276148,10.78980065,399.952,187.4862181,18.86709248,40.24792567,0.085055198,3.473065051,0.083914723,0.052547895,33.01820038,25.35813849,24.9319,3.166790787,51.15487203,1.673216498,3.270883949,1.493574288,-56.27811364,101.7274284,6.208335016,84.6758502,-0.041583799,0.046681457,3.481743586,0,0,1,0,53300.08809,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2759-20190324-10_40_13,182.7380769,492.862,0.629230744,0.5,168.5892161,10.78980065,53.04075895,0.739886621,0.070024479,0.128355948,DARK-2760-20190324-10_40_16,128.2,364.662,0.850442116,0.147834203,0.725405926,0.128900584,2759,300,300,300,7137.37,475.676,-0.00579028,0.710236,200.005,168.5892161,0.842925007,0.195850014,1553441905,399.952,402.856,16.6271,16.3046,500.026,100.432,0.19989,25.4752,24.9319,999.9,0,0,9985,0,6.13977,200.005,0.899987,0.100013,0,183.304,4.99951,440.982,1740.44,36.25,40.312,38.5,40.75,39.812,175.5,19.5,0,150.0999999,182.7380769,1.261264939,1.464410271,440.8143077,15,1553441831,10:37:10,7,0.552,0.16,403,17,0.39,0.21,399.984,-0.06561039,0.017671608,1,1.49239984,0.00776776,0-Jan,1,2,2,2/2,1.87848,1.88368,1.88155,1.87866,1.87839,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.552,0.16,2,514.856,547.327,24.29,27.4243,29.9998,27.5066,27.495,20.3542,31.6289,63.2986,24.3074,402.843,16.2678,99.7719,100.089
A10,plant_1,7,1553442055,945.0999999,20190324 10:40:55,10:40:55,1553442055,0.00139442,10.80057954,400.011,202.6857033,20.39608052,40.25274812,0.092128417,3.477790147,0.090793765,0.056864405,33.01787021,25.49778419,25.0021,3.180075708,50.61309418,1.67186198,3.303220258,1.508213728,-61.49391662,119.7715648,7.308289098,98.60380748,-0.041655435,0.046761875,3.486483633,0,0,1,0,53358.47908,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2761-20190324-10_42_44,184.4149231,501.959,0.632609589,0.5,168.5875302,10.80057954,53.32504414,0.726272464,0.070089116,0.10790676,DARK-2762-20190324-10_42_46,137.4,364.559,0.871036175,0.129356806,0.727286614,0.110364767,2761,300,300,300,7137.7,483.194,-0.00579053,0.258179,200.003,168.5875302,0.842925007,0.195850014,1553442055,400.011,402.93,16.6141,16.2617,500.017,100.429,0.200103,25.6409,25.0021,999.9,0,0,10002.5,0,6.13977,200.003,0.899987,0.100013,0,184.533,4.99951,444.479,1740.42,36.25,40.187,38.5,40.625,39.75,175.5,19.5,0,150,184.4149231,0.173333335,1.104649567,444.2521154,15,1553441958,10:39:18,8,0.594,0.14,403,16,0.46,0.23,399.9922857,-0.056727273,0.020736769,1,1.50819112,-0.005144292,0-Jan,1,2,2,2/2,1.87847,1.88366,1.88154,1.87866,1.87838,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.594,0.14,2,514.813,545.732,24.4146,27.2764,29.9997,27.3541,27.34,20.3642,31.1399,61.4356,24.4114,402.938,16.3252,99.8124,100.121
A10,plant_1,8,1553442206,1095.6,20190324 10:43:25,10:43:25,1553442206,0.001674935,17.13134932,399.969,145.5929973,14.65100119,40.24881967,0.112326254,3.477130951,0.110348649,0.069142685,66.07374523,25.33323111,24.9262,3.165714228,51.52426279,1.675034135,3.250961866,1.490680094,-73.86465544,83.64424321,5.095981497,80.94931449,-0.041645439,0.046750653,3.485822351,0,0,1,0,53394.22471,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2763-20190324-10_45_14,198.0920769,404.16,0.509867189,0.5,337.2443444,17.13134932,85.97491293,0.663994458,0.053809414,0.375999033,DARK-2764-20190324-10_45_17,135.8,268.36,0.767878682,0.361539795,0.608200508,0.309637541,2763,300,300,300,7155.89,392.608,-0.00565548,4.26471,400.071,337.2443444,0.842961235,0.195922471,1553442206,399.969,404.544,16.6455,16.2222,499.992,100.43,0.199848,25.3724,24.9262,999.9,0,0,10000,0,6.13977,400.071,0.900038,0.0999618,0,197.746,4.99951,945.148,3520.16,36.5,40.187,38.562,40.625,39.937,355.58,39.49,0,150,198.0920769,-2.082119657,-15.35897435,946.8655385,15,1553442122,10:42:01,9,0.567,0.138,404,16,0.49,0.26,399.9635238,0.167688312,0.018492261,1,1.488643197,-0.001147799,0-Jan,1,2,2,2/2,1.8785,1.88369,1.88156,1.87866,1.87838,1.88065,1.87958,1.87546,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.567,0.138,2,514.619,544.209,23.519,27.1652,30.0001,27.2267,27.21,20.4341,30.9544,59.5643,23.4829,404.543,16.2247,99.8497,100.146
A10,plant_1,9,1553442356,1246.1,20190324 10:45:56,10:45:56,1553442356,0.001947215,17.28800498,399.971,175.6937226,17.67986885,40.24864816,0.129584704,3.478641375,0.126961479,0.079582188,66.07391038,25.44071445,24.9925,3.178256097,50.92377865,1.672100383,3.283535564,1.506155714,-85.8721659,102.7159394,6.26256919,89.18025308,-0.041668345,0.046776368,3.487337556,0,0,1,0,53392.34204,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2765-20190324-10_47_45,194.7754615,405.103,0.519195213,0.5,337.2451874,17.28800498,87.54804348,0.651940371,0.054273796,0.372795978,DARK-2766-20190324-10_47_47,141,264.103,0.796384511,0.36379697,0.619049624,0.307716108,2765,300,300,300,7155.83,394.646,-0.00565539,4.10788,400.072,337.2451874,0.842961235,0.195922471,1553442356,399.971,404.614,16.6165,16.1244,500.019,100.429,0.199916,25.5402,24.9925,999.9,0,0,10005.6,0,6.13977,400.072,0.900038,0.0999618,0,194.975,4.99951,931.856,3520.18,36.687,40.25,38.687,40.687,40.062,355.58,39.49,0,149.8999999,194.7754615,-1.003829062,-0.46721368,931.9189231,15,1553442254,10:44:13,10,0.601,0.137,405,16,0.37,0.14,400.0154762,-0.364987013,0.023943622,1,1.5083951,-0.001490383,0-Jan,1,2,2,2/2,1.87851,1.8837,1.88156,1.87869,1.87843,1.88067,1.87958,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.601,0.137,2,514.63,542.77,23.9499,27.0756,29.9993,27.1304,27.1116,20.4454,30.9417,57.6869,24.0059,404.697,16.1549,99.8748,100.161
A10,plant_1,10,1553442507,1396.6,20190324 10:48:26,10:48:26,1553442507,0.001828849,20.39408494,399.97,121.8811593,12.26478893,40.24861313,0.122088955,3.474013425,0.119754446,0.075052557,98.0350654,25.33487248,24.9379,3.167924351,51.69320582,1.668077945,3.226880435,1.499846407,-80.65225962,57.96656814,3.532736335,78.88211026,-0.041598173,0.046697594,3.482694961,0,0,1,0,53358.42478,MPF-2750-20190324-10_26_59,65.34423077,556.1237692,490.7795385,0.882500561,-1.015571362,MPF-2767-20190324-10_50_15,206.3889615,347.054,0.405311676,0.5,505.370275,20.39408494,102.4162366,0.625994802,0.042364297,0.602412792,DARK-2768-20190324-10_50_18,129.8,217.254,0.647468118,0.49040139,0.499326093,0.425995285,2767,300,300,300,7154.38,341.066,-0.00550657,4.79395,600.207,505.370275,0.841993304,0.193986608,1553442507,399.97,405.399,16.5765,16.1143,500.025,100.429,0.20008,25.2474,24.9379,999.9,0,0,9988.75,0,6.13977,600.207,0.933006,0.0669942,0,206.049,4.99951,1478.85,5352.18,37.062,40.375,38.875,40.75,40.312,555.33,39.88,0,150,206.3889615,-3.507042729,-24.81606841,1481.481923,15,1553442428,10:47:07,11,0.57,0.131,405,16,0.62,0.23,399.9554762,0.081662338,0.009993422,1,1.502054761,-0.009718449,0-Jan,1,2,2,2/2,1.87851,1.8837,1.88156,1.8787,1.87845,1.88067,1.87959,1.87547,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.57,0.131,2,514.49,541.522,23.3134,27.0129,29.9999,27.057,27.0348,20.4809,30.2927,55.8189,23.3423,405.496,16.1741,99.9004,100.175
