species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,CO2_hrs,AccH2O_des,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,1,1563811338,0,20190722 11:02:17,11:02:17,1563811338,0.000511436,-1.253036447,400.066,450.0143178,44.72313122,39.75918878,0.033328404,3.433377601,0.033149709,0.020734543,1.73514E-06,25.13763892,25.0093,3.181441013,52.22439265,1.685720196,3.227840691,1.495720817,-22.55433459,44.99787156,2.775891181,25.21942988,-0.041143474,0.046187154,3.452545766,0,0,1,0,52771.05267,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,-,0,0,#DIV/0!,0.5,0.000182664,-1.253036447,#DIV/0!,#DIV/0!,-5207.709903,#DIV/0!,-,0,0,#DIV/0!,1,0,1.144285728,6923,300,300,300,7121.56,650.584,-0.0059242,0.616028,-,-,-,-,-,-,-,-,-,-,0.00434958,0.000182664,0.041995884,0.009499069,1563811338,400.066,399.763,16.9621,16.8168,499.993,99.1818,0.199774,25.2524,25.0093,999.9,0,0,10003.8,0,0.227399,0.312775,406.981,406.6,0.151255,399.339,399.763,16.7801,16.8168,1.68293,1.66793,14.7398,14.6011,0.00434958,0,0,0,145,0.00499951,-9.4,-4.3,36.937,41.625,39.5,41.625,40.125,0,0,0,1563811530,146.1423077,6.191453431,9.870084714,3.357692308,15,1563811359,11:02:38,2,0.727,0.182,400,17,0.53,0.31,400.0517619,-0.051584416,0.012309132,1,1.492784209,0.015935252,0.001803525,1,2,2,2/2,2.96267,2.79144,0.0929067,0.0955664,0.0880214,0.0906002,20852.3,27131.3,23298.3,27684.3,31010,33391.2,37234.4,40050.1,1.98057,2.0468,-0.0137687,0,25.2352,999.9,70.339,24.854,22.3541,61.57,31.8149,1,0.0893445,2.32681,20.1844,5.26401,12.0159,4.99885,3.2879,9999,563.6,9999,9999,1.87827,1.88332,1.88115,1.87829,1.87805,1.88019,1.87915,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.727,0.182,2,511.689,532.931,22.7305,28.2657,30.0007,28.1268,28.0574,20.2581,32.5142,86.8944,22.7278,399.717,16.8093,99.2735,99.8841
ME034,plant_1,2,1563811536,198,20190722 11:05:35,11:05:35,1563811536,0.000810229,1.890267606,399.99,332.4269485,33.03907304,39.75399373,0.052164377,3.441490026,0.051729067,0.032369475,8.23549612,25.22491641,24.9164,3.163864052,50.6187295,1.644822857,3.249435285,1.519041195,-35.73111838,83.13940318,5.117225416,60.76100634,-0.041266517,0.04632528,3.460715515,0,0,1,0,52902.58926,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6924-20190722-11_08_47,229.6862692,629.569,0.63516903,0.5,42.1499002,1.890267606,13.3861556,0.777625645,0.05200583,-0.079521314,DARK-6925-20190722-11_08_50,140,489.569,0.816805661,-0.113910357,0.718570132,-0.098856286,6924,300,300,300,7128.54,613.302,-0.00589477,-4.17175,-,-,-,-,-,-,-,-,-,-,50.0181,42.1499002,0.842692949,0.195385898,1563811536,399.99,400.63,16.5496,16.3193,499.959,99.1879,0.199569,25.3645,24.9164,999.9,0,0,10033.1,0,6.13977,-0.640015,406.721,407.277,0.230316,399.314,400.63,16.3636,16.3193,1.64152,1.61867,14.3542,14.1377,50.0181,0.900341,0.0996589,0,228.259,4.99951,137.619,406.284,36.812,41.375,39.312,41.625,40.312,40.53,4.49,0,197.6000001,229.6862692,-13.57726495,-7.740410258,138.6555,15,1563811439,11:03:58,3,0.676,0.186,400,17,0.57,0.33,399.9593333,0.169558442,0.012510313,1,1.511046521,0.037508287,0.00389016,1,2,2,2/2,2.96252,2.79149,0.0928702,0.0956911,0.0863783,0.0886095,20859.2,27133,23305.4,27690.1,31076.4,33472.3,37246.5,40060.1,1.97992,2.04378,0.0142157,0,24.6831,999.9,69.43,25.085,22.371,61.63,31.847,1,0.0850813,-0.092726,20.1986,5.26296,12.0159,4.9985,3.28763,9999,563.7,9999,9999,1.87824,1.88326,1.88112,1.87825,1.87805,1.8802,1.87912,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.676,0.186,2,512.568,532.123,24.9004,28.3388,29.9993,28.2705,28.202,20.2936,33.8521,83.9085,24.9334,400.644,16.4818,99.3049,99.9074
ME034,plant_1,3,1563811686,348.5,20190722 11:08:06,11:08:06,1563811686,0.000774048,2.022537749,400.06,326.9356994,32.49152957,39.75877012,0.050764492,3.438463047,0.050351772,0.031506659,8.232217653,25.45960846,24.9886,3.177517139,51.22614384,1.687129014,3.293492126,1.490388126,-34.1355014,111.7066254,6.89194602,92.69528763,-0.041220591,0.046273725,3.457667139,0,0,1,0,52805.91196,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6926-20190722-11_11_18,202.8623077,623.089,0.674424829,0.5,42.13524401,2.022537749,14.20852737,0.77146122,0.0551631,-0.069948521,DARK-6927-20190722-11_11_20,142.4,480.689,0.874217409,-0.099710983,0.764023741,-0.086060929,6926,300,300,300,7129.4,603.55,-0.00589566,-5.78058,-,-,-,-,-,-,-,-,-,-,50.001,42.13524401,0.842688026,0.195376053,1563811686,400.06,400.734,16.9762,16.7563,500.005,99.1823,0.199718,25.5912,24.9886,999.9,0,0,10022.5,0,6.22504,-0.673615,406.969,407.563,0.219875,399.284,400.734,16.7932,16.7563,1.68374,1.66193,14.7473,14.5453,50.001,0.900341,0.0996589,0,201.947,4.99951,121.669,406.131,36.5,40.937,39,41.187,40.062,40.52,4.48,0,150.0999999,202.8623077,-4.867829061,-3.6822906,122.2858077,15,1563811607,11:06:46,4,0.776,0.183,401,17,0.83,0.31,400.0059048,0.767532468,0.042308284,0,1.494509678,-0.014585336,0.001653512,1,1,2,1/2,2.96296,2.79154,0.0929232,0.0957622,0.0880959,0.0903793,20881.8,27156.1,23330.6,27714.6,31049.3,33436.2,37284.6,40094.8,1.98465,2.04792,0.0278726,0,24.5311,999.9,68.685,25.257,22.3582,61.86,31.9111,1,0.0572053,0.924545,20.1961,5.26446,12.0159,4.9994,3.288,9999,563.7,9999,9999,1.87822,1.88326,1.88111,1.87824,1.87805,1.88019,1.87912,1.87516,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.776,0.183,2,513.532,533.012,23.9682,27.9755,29.9991,28.0174,27.9814,20.2958,32.0157,81.6407,24.4398,400.639,16.818,99.4087,99.9947
ME034,plant_1,4,1563811837,499,20190722 11:10:36,11:10:36,1563811837,0.000954732,5.074837978,400.029,260.1475555,25.85521694,39.75757742,0.062183009,3.432144173,0.061563836,0.038532514,16.49584307,25.45168321,24.9323,3.166866347,50.52195925,1.663028348,3.291694093,1.503837998,-42.10366496,120.2164317,7.428183506,102.0367933,-0.041124778,0.046166166,3.451303627,0,0,1,0,52689.93395,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6928-20190722-11_13_48,203.9113077,594.346,0.656914814,0.5,84.2917157,5.074837978,27.68623839,0.743247199,0.063785757,-0.024970562,DARK-6929-20190722-11_13_51,152.6,441.746,0.883844318,-0.034764548,0.748999679,-0.029305226,6928,300,300,300,7134.56,571.62,-0.00586252,-4.09027,-,-,-,-,-,-,-,-,-,-,100.008,84.2917157,0.842849729,0.195699458,1563811837,400.029,401.606,16.7329,16.4616,500.001,99.1868,0.199938,25.582,24.9323,999.9,0,0,9998.75,0,6.25347,-1.57608,406.837,408.327,0.271336,399.187,401.606,16.5589,16.4616,1.65969,1.63277,14.5244,14.2716,100.008,0.900001,0.0999989,0,203.29,4.99951,246.416,850.927,36.25,40.437,38.625,40.75,39.75,85.51,9.5,0,150,203.9113077,-3.853059833,-3.875008533,246.6197692,15,1563811780,11:09:39,5,0.842,0.174,402,17,0.49,0.2,399.948619,0.997558442,0.050514945,0,1.500162192,0.019123945,0.002023638,1,1,2,1/2,2.9633,2.79156,0.0929838,0.0959958,0.0872604,0.0892853,20901.8,27171.8,23353.2,27736.5,31106.6,33501.3,37318.9,40125.2,1.9902,2.05055,0.0407025,0,24.2641,999.9,67.757,25.408,22.2565,61.83,31.8029,1,0.0290091,-0.204001,20.1987,5.26431,12.0159,4.9993,3.288,9999,563.7,9999,9999,1.87821,1.88326,1.88114,1.87826,1.87805,1.88019,1.87912,1.87516,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.842,0.174,2,514.43,531.961,24.9551,27.5959,29.9992,27.6975,27.6823,20.3253,32.8629,79.3984,24.9894,401.575,16.5173,99.5019,100.072
ME034,plant_1,5,1563811987,649.5,20190722 11:13:07,11:13:07,1563811987,0.000800683,4.897870989,400.007,239.8338255,23.84074306,39.76279864,0.051853571,3.439261355,0.051423133,0.032177833,16.49199161,25.61092928,25.0085,3.181289287,50.39899855,1.671280705,3.316099035,1.510008583,-35.31010105,129.4213858,7.988468856,118.5917452,-0.041232702,0.04628732,3.45847109,0,0,1,0,52800.90604,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6930-20190722-11_16_19,196.1610385,591.108,0.668146873,0.5,84.27154429,4.897870989,28.15288438,0.74420918,0.061701064,-0.019629499,DARK-6931-20190722-11_16_21,151.2,439.908,0.897794451,-0.027090877,0.762391642,-0.022911497,6930,300,300,300,7135.17,567.33,-0.00586308,-4.93689,-,-,-,-,-,-,-,-,-,-,99.984,84.27154429,0.842850299,0.195700598,1563811987,400.007,401.515,16.8128,16.5853,500.015,99.2055,0.199757,25.7065,25.0085,999.9,0,0,10023.1,0,6.25347,-1.50821,406.847,408.287,0.227514,399.133,401.515,16.6358,16.5853,1.66792,1.64535,14.601,14.3902,99.984,0.900001,0.0999989,0,195.962,4.99951,236.132,850.713,35.937,40.125,38.375,40.437,39.562,85.49,9.5,0,150.0999999,196.1610385,-1.654256416,-3.217811966,236.5468077,15,1563811901,11:11:41,6,0.874,0.177,402,17,0.24,0.17,399.9935714,0.342545455,0.019365092,1,1.511421183,-0.008211343,0.001239339,1,2,2,2/2,2.96363,2.7916,0.0930659,0.0960719,0.0876422,0.089857,20918.2,27189,23372.3,27755.3,31117.6,33502.7,37347.8,40152.4,1.9948,2.05352,0.0445582,0,24.277,999.9,66.903,25.559,22.169,61.25,32.0152,1,0.00702236,0.372887,20.1986,5.26431,12.0159,4.9995,3.288,9999,563.8,9999,9999,1.87825,1.88327,1.88111,1.87827,1.87805,1.8802,1.87912,1.87516,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.874,0.177,2,514.724,531.137,24.5334,27.2648,29.9994,27.3872,27.3818,20.3345,31.7752,77.1608,24.5322,401.67,16.6587,99.5806,100.14
ME034,plant_1,6,1563812138,800,20190722 11:15:37,11:15:37,1563812138,0.001675258,10.06329676,399.957,245.3007266,24.38646429,39.76154997,0.111389632,3.439516142,0.109423695,0.068563551,33.02624878,25.35642069,24.8989,3.160562515,50.95747407,1.675562852,3.288159162,1.484999662,-73.87887283,123.3117442,7.601143614,90.06026373,-0.041236567,0.046291659,3.458727677,0,0,1,0,52831.07697,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6932-20190722-11_18_49,202.7142308,523.557,0.612813446,0.5,168.6289873,10.06329676,51.66905538,0.717318267,0.061466714,0.106861041,DARK-6933-20190722-11_18_52,148,375.557,0.85431178,0.129657515,0.712214983,0.110474179,6932,300,300,300,7144.61,504.37,-0.00579652,-0.838165,-,-,-,-,-,-,-,-,-,-,200.052,168.6289873,0.842925776,0.195851551,1563812138,399.957,403.059,16.8543,16.3783,499.989,99.2148,0.199762,25.5639,24.8989,999.9,0,0,10023.1,0,6.25347,-3.10229,406.813,409.771,0.476009,399.084,403.059,16.6653,16.3783,1.6722,1.62497,14.6407,14.1977,200.052,0.899987,0.100013,0,203.1,4.99951,490.099,1740.86,35.875,39.875,38.187,40.187,39.375,175.54,19.51,0,150,202.7142308,2.01647863,4.811658119,489.3940385,15,1563812053,11:14:12,7,0.873,0.189,403,17,0.35,0.16,399.9658095,0.504,0.034843349,0,1.479756754,0.002654587,0.00140142,1,1,2,1/2,2.96381,2.7916,0.0931301,0.0964268,0.0878234,0.0891037,20931.8,27193.3,23388.1,27769.7,31131.4,33546.9,37371.9,40172.5,1.9985,2.0553,0.0481829,0,24.1077,999.9,66.146,25.71,22.1112,61.49,32.0473,1,-0.0137652,-0.359159,20.1979,5.26401,12.0159,5,3.288,9999,563.8,9999,9999,1.8782,1.88324,1.8811,1.8782,1.878,1.88019,1.87912,1.87515,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.873,0.189,2,514.754,529.72,24.8471,27.0004,29.9995,27.1176,27.1121,20.396,32.7344,74.9212,24.889,403.094,16.3188,99.6461,100.191
ME034,plant_1,7,1563812288,950.5999999,20190722 11:18:08,11:18:08,1563812288,0.001021461,10.42218777,399.96,139.4229934,13.86083811,39.76231377,0.06630036,3.426480548,0.065595828,0.041060068,32.983669,25.73902558,25.0662,3.192248753,50.44320616,1.682094201,3.334629832,1.510154552,-45.04644234,135.6460783,8.410327328,131.9936323,-0.041038966,0.046069834,3.445600024,0,0,1,0,52546.60775,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6934-20190722-11_21_20,203.9757308,537.295,0.620365477,0.5,168.4130297,10.42218777,52.2388148,0.729012926,0.06367655,0.078559909,DARK-6935-20190722-11_21_22,145.6,391.695,0.850966362,0.097279038,0.718014105,0.083347231,6934,300,300,300,7145.18,516.216,-0.00579708,-1.12219,-,-,-,-,-,-,-,-,-,-,199.796,168.4130297,0.842924932,0.195849864,1563812288,399.96,403.09,16.9198,16.6296,500.013,99.2155,0.200226,25.8005,25.0662,999.9,0,0,9975,0,6.25347,-3.13052,406.844,409.907,0.290129,399.055,403.09,16.7548,16.6296,1.6787,1.64992,14.7009,14.4331,199.796,0.900013,0.0999869,0,203.661,4.99951,491.193,1738.59,35.75,39.687,38,40,39.312,175.32,19.48,0,150.0999999,203.9757308,0.088307682,-1.694529899,491.7781923,15,1563812188,11:16:27,8,0.905,0.165,403,16,0.51,0.23,400.017,-0.379636364,0.022776345,1,1.510976999,0.012683603,0.001686801,1,2,2,2/2,2.96406,2.79164,0.0931797,0.0964908,0.0882197,0.0901498,20942.8,27203.6,23400.9,27781.5,31133.8,33522.4,37391.1,40189.3,2.00143,2.05725,0.0520721,0,24.2114,999.9,65.432,25.851,22.0571,61.6628,32.0793,1,-0.0287805,0.435248,20.1974,5.26491,12.0159,4.99975,3.288,9999,563.9,9999,9999,1.87825,1.88327,1.8811,1.87823,1.87805,1.88019,1.87912,1.87516,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.905,0.165,2,514.654,528.87,24.745,26.7846,29.9998,26.893,26.8867,20.4063,31.1819,72.6814,24.7074,403.198,16.6291,99.6987,100.233
ME034,plant_1,8,1563812439,1101.1,20190722 11:20:38,11:20:38,1563812439,0.001724865,15.22772601,399.935,177.3105985,17.62708598,39.75898052,0.114813931,3.435604435,0.112724154,0.070637186,66.06905382,25.3402659,24.8588,3.15300863,51.27261127,1.668707084,3.254577916,1.484301547,-76.06654267,98.59276905,6.0778284,94.6731086,-0.041177237,0.046225055,3.45478833,0,0,1,0,52788.72463,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6936-20190722-11_23_50,222.9964615,423.404,0.473324622,0.5,337.2222163,15.22772601,79.8077891,0.648562602,0.046051233,0.368680613,DARK-6937-20190722-11_23_53,148.8,274.604,0.729805605,0.362431135,0.572048955,0.308235507,6936,300,300,300,7163.52,411.648,-0.00566191,2.53906,-,-,-,-,-,-,-,-,-,-,400.045,337.2222163,0.842960708,0.195921415,1563812439,399.935,404.535,16.7855,16.2954,500.019,99.2136,0.200006,25.3911,24.8588,999.9,0,0,10008.8,0,6.25347,-4.60001,406.763,411.237,0.490124,399.015,404.535,16.5915,16.2954,1.66535,1.61672,14.5772,14.1191,400.045,0.900051,0.0999488,0,223.007,4.99951,1067.67,3519.94,35.937,39.625,38,39.937,39.375,355.56,39.48,0,150.0999999,222.9964615,0.3779829,1.411965806,1067.436923,15,1563812366,11:19:26,9,0.92,0.194,404,17,0.46,0.1,399.9295714,0.141506494,0.015000227,1,1.483585973,0.00603049,0.000937707,1,2,2,2/2,2.96422,2.79171,0.0932127,0.0967958,0.0876228,0.0888623,20952.8,27203.7,23412.4,27790.5,31169.1,33579.7,37408.7,40201.6,2.0038,2.05755,0.0542365,0,23.9681,999.9,64.577,25.972,21.9236,61.7828,32.1074,1,-0.0422485,-0.3789,20.1957,5.26416,12.0159,4.99985,3.288,9999,563.9,9999,9999,1.87826,1.88326,1.88111,1.87831,1.87805,1.88019,1.87913,1.87517,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.92,0.194,2,514.564,527.165,24.4825,26.6278,29.9998,26.7106,26.6973,20.4568,32.2145,71.1676,24.5197,404.459,16.2905,99.7463,100.264
ME034,plant_1,9,1563812589,1251.6,20190722 11:23:09,11:23:09,1563812589,0.001676158,15.5449146,399.999,161.7086798,16.07559084,39.76422459,0.109161953,3.432803403,0.10726952,0.067210745,66.08185097,25.7065305,25.0805,3.194969973,50.53303618,1.679694751,3.32395375,1.515275221,-73.91855666,123.2376449,7.625378184,123.0263174,-0.04113477,0.046177383,3.451967513,0,0,1,0,52673.73404,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6938-20190722-11_26_21,219.5196923,428.424,0.487611123,0.5,337.2735733,15.5449146,82.22917289,0.649412731,0.04698467,0.352643284,DARK-6939-20190722-11_26_23,150.2,278.224,0.750849343,0.351919731,0.587878527,0.298323055,6938,300,300,300,7163.81,416.67,-0.00566207,2.24023,-,-,-,-,-,-,-,-,-,-,400.104,337.2735733,0.842964762,0.195929525,1563812589,399.999,404.685,16.8965,16.4203,500.026,99.2109,0.19991,25.7464,25.0805,999.9,0,0,9998.75,0,6.25347,-4.68613,406.874,411.441,0.476227,399.07,404.685,16.7435,16.4203,1.67632,1.62907,14.6789,14.2366,400.104,0.899923,0.100077,0,219.423,4.99951,1050.48,3520.34,36.062,39.562,38.062,39.875,39.437,355.56,39.54,0,150.1000001,219.5196923,-2.058188029,-7.45504274,1050.924615,15,1563812515,11:21:55,10,0.929,0.153,405,16,0.25,0.12,400.0055714,0.107220779,0.015767874,1,1.512760969,0.013742805,0.001560236,1,2,2,2/2,2.96437,2.79153,0.0932569,0.0968589,0.088244,0.0893902,20961,27209.1,23422.1,27797.5,31160.1,33569.1,37423.7,40212.2,2.00555,2.0581,0.0581965,0,24.125,999.9,63.497,26.093,21.7162,61.4728,32.1274,1,-0.0517251,0.525324,20.1953,5.26431,12.0159,5.0007,3.288,9999,564,9999,9999,1.87825,1.88324,1.88115,1.87823,1.87805,1.8802,1.87912,1.87515,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.929,0.153,2,514.346,526.027,24.5529,26.4839,29.9999,26.561,26.5458,20.4687,30.2243,68.9222,24.5289,404.761,16.5024,99.7867,100.29
ME034,plant_1,10,1563812740,1402.1,20190722 11:25:39,11:25:39,1563812740,0.001690053,17.69203977,399.917,136.5146809,13.57084374,39.75551262,0.11192579,3.43869572,0.109940599,0.068888303,98.03243695,25.33410683,24.8912,3.159110792,51.79304313,1.668050119,3.220606511,1.491060673,-74.53134302,59.97268275,3.691061981,87.16483866,-0.041224121,0.046277687,3.457901458,0,0,1,0,52877.52229,MPF-6923-20190722-11_05_29,73.07115385,579.5048462,506.4336923,0.873907605,-0.301772944,MPF-6940-20190722-11_28_51,239.7780385,377.468,0.364772541,0.5,505.353775,17.69203977,92.16959033,0.609503322,0.035606368,0.535242315,DARK-6941-20190722-11_28_54,147.4,230.068,0.598475066,0.467564407,0.452337018,0.398940373,6940,300,300,300,7162.38,367.952,-0.00551307,3.52899,-,-,-,-,-,-,-,-,-,-,600.187,505.353775,0.84199387,0.19398774,1563812740,399.917,405.225,16.7796,16.2994,500.031,99.2096,0.199809,25.2147,24.8912,999.9,0,0,10020.6,0,6.25347,-5.30865,406.742,411.94,0.480207,398.981,405.225,16.5946,16.2994,1.66469,1.61705,14.5711,14.1223,600.187,0.932977,0.067023,0,239.387,4.99951,1715.68,5351.96,36.375,39.625,38.187,39.937,39.625,555.3,39.89,0,150,239.7780385,-4.230051268,-29.34632478,1719.221538,15,1563812678,11:24:38,11,0.936,0.185,405,17,0.4,0.18,399.9425238,-0.100987013,0.01318592,1,1.491943787,-0.004356173,0.000696904,1,2,2,2/2,2.96447,2.79162,0.0932662,0.0969851,0.0876886,0.0889339,20967.9,27213.3,23429.6,27805.3,31189.2,33594.8,37435.5,40223,2.00707,2.05785,0.0632629,0,23.8522,999.9,62.733,26.224,21.6219,61.7428,32.2196,1,-0.0603354,0.0997032,20.1948,5.26177,12.0159,4.99955,3.288,9999,564,9999,9999,1.87824,1.88327,1.88117,1.87827,1.87805,1.88021,1.87913,1.87518,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0.936,0.185,2,514.284,524.602,23.8005,26.391,29.9996,26.4443,26.4238,20.4931,30.8723,67.429,23.8178,405.286,16.3552,99.8185,100.318
