species,rep,obs,time,elapsed,date,hhmmss,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,?CO2,CO2_s_d,CO2_r_d,?H2O,CO2_a,CO2_b,H2O_a,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,VPDleaf:MN,VPDleaf:SLP,VPDleaf:SD,VPDleaf:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
ME034,plant_1,1,1568216927,0,20190911 10:48:47,10:48:47,1568216927,0.000263491,-1.384798041,400.058,518.0892133,51.63308755,39.87002472,0.017173205,3.415297617,0.017125376,0.010707646,1.74E-06,25.22958197,24.9985,3.179393247,52.03990702,1.683427177,3.234877372,1.49596607,-11.61993588,53.48846505,3.317569425,45.18610034,-0.041248405,0.046304949,3.459513481,0,0,1,0,52899.7096,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,-,0,0,#DIV/0!,0.5,0.000182664,-1.384798041,#DIV/0!,#DIV/0!,-989.3339255,#DIV/0!,-,0,0,#DIV/0!,1,0,1.140775689,9383,300,300,300,7123.4,599.594,-0.00592535,-1.32056,0.00434958,0.000182664,0.041995884,0.009499069,1568216927,400.058,399.613,16.8916,16.8015,499.967,99.4606,0.200011,25.289,24.9985,999.9,0,0,10001.2,0,0.909595,0.394135,406.886,406.442,0.103033,398.845,399.613,16.7076,16.8015,1.68134,1.67109,14.7252,14.6305,0.00434958,0,0,0,134.3,0.00499951,-13.6,-4.5,36.812,41.25,39.25,12:00:00,40.062,0,0,0,1568217153,132.6,-10.56410242,-15.55897489,-3.380769231,15,1568216948,10:49:08,2,1-Jan,0.184,400,17,0.44,0.24,400.0055714,0.153974026,0.015912174,1,1.496405195,-0.000970078,0.000974021,1,2,2,2/2,2.9644,2.79166,0.0935371,0.0962748,0.0884039,0.091216,21010.1,27258.3,23483.4,27829.1,31232.4,33537.8,37517.1,40255.1,2.00735,2.0789,0.00947714,0,24.843,999.9,73.337,24.139,22.269,61.7036,31.9311,1,-0.070841,1.2486,20.2233,5.26416,12.0159,4.9997,3.288,9999,9999,662.5,9999,1.8779,1.88296,1.8808,1.87796,1.87774,1.87988,1.87887,1.87485,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.213,0.184,2,512.144,537.283,23.3393,26.2886,30.0003,26.2028,26.1487,20.2027,31.3398,77.4427,23.3333,399.702,16.7791,100.041,100.4
ME034,plant_1,2,1568217123,195.5,20190911 10:52:02,10:52:02,1568217123,0.000295296,0.879503689,400,316.9487237,31.58853258,39.8657956,0.019033403,3.419961768,0.01897475,0.011864473,8.212678006,25.41993878,24.9727,3.174506022,50.877093,1.661098072,3.264923316,1.51340795,-13.02254453,86.98905862,5.391571278,87.57076337,-0.041319852,0.046385153,3.464254218,0,0,1,0,52960.05109,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9384-20190911-10_55_48,194.1268077,588.987,0.670405616,0.5,42.02963056,0.879503689,14.08845017,0.760266356,0.049574207,-0.087820274,DARK-9385-20190911-10_55_51,141.2,447.787,0.881803608,-0.13059824,0.755442918,-0.109828394,9384,300,300,300,7129.09,563.074,-0.00589521,-6.20953,49.8749,42.02963056,0.842701049,0.195402098,1568217123,400,400.347,16.6669,16.5659,499.961,99.4648,0.199689,25.4445,24.9727,999.9,0,0,10018.1,0,6.42402,-0.346954,406.78,407.091,0.101002,398.839,400.347,16.4909,16.5659,1.65777,1.64773,14.5066,14.4126,49.8749,0.899834,0.100166,0,192.468,4.99951,117.164,404.949,36.5,40.937,39,6:00:00,40.062,40.38,4.49,0,195.1999998,194.1268077,-14.92680341,-6.045094004,118.4291923,15,1568217055,10:50:55,3,1.161,0.176,400,17,0.64,0.23,399.954,0.378233766,0.024422862,1,1.511252487,0.021680388,0.002399533,1,2,2,2/2,2.9644,2.79147,0.0935319,0.096404,0.0875552,0.090279,21015,27255.9,23488.8,27830.6,31269.5,33574.7,37526.4,40258.2,2.00755,2.0769,0.0380054,0,24.3488,999.9,72.311,24.34,22.2219,61.7337,32.0152,1,-0.072185,-0.22787,20.2265,5.26341,12.0159,5.0005,3.28797,9999,9999,662.6,9999,1.8779,1.88295,1.8808,1.87798,1.87775,1.87988,1.87887,1.87485,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.161,0.176,2,512.538,536.118,24.9578,26.2797,30.0001,26.2293,26.1795,20.2353,31.8522,75.1936,24.972,400.423,16.6256,100.065,100.407
ME034,plant_1,3,1568217274,346.4000001,20190911 10:54:33,10:54:33,1568217274,0.000525243,1.388546269,399.992,325.641109,32.45546856,39.86575227,0.034143176,3.419846349,0.033954926,0.021238655,8.245449941,25.47372597,25.0174,3.182977595,51.10020756,1.678860137,3.285427236,1.504117458,-23.16319563,98.17742775,6.089827004,89.34950907,-0.041318083,0.046383168,3.464136902,0,0,1,0,52939.21909,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9386-20190911-10_58_19,173.7906538,575.678,0.698111351,0.5,42.20223839,1.388546269,14.73093082,0.775221565,0.061433428,-0.066731749,DARK-9387-20190911-10_58_22,129.4,446.278,0.900531387,-0.094188721,0.788976646,-0.081569214,9386,300,300,300,7129.51,547.124,-0.00589575,-8.30548,50.0804,42.20223839,0.842689723,0.195379446,1568217274,399.992,400.548,16.8448,16.6652,500.006,99.4665,0.199874,25.5499,25.0174,999.9,0,0,10017.5,0,6.42402,-0.555603,406.845,407.336,0.179552,398.839,400.548,16.6568,16.6652,1.67549,1.65763,14.6712,14.5052,50.0804,0.900341,0.0996589,0,173.437,4.99951,105.476,406.838,36.187,40.5,38.687,21:00:00,39.812,40.59,4.49,0,150.7,173.7906538,-3.09644444,-4.294529907,105.7314231,15,1568217191,10:53:10,4,1-Jan,0.188,400,17,0.42,0.26,399.9988095,0.121528784,0.00856693,1,1.50134135,0.029503359,0.003245347,1,2,2,2/2,2.96455,2.79167,0.0935391,0.0964456,0.088209,0.0906766,21019.4,27256.9,23493.7,27832.7,31253.7,33563,37534.6,40261.6,2.00802,2.07603,0.0457466,0,24.2664,999.9,71.456,24.491,22.1592,61.2437,32.1114,1,-0.073628,0.38445,20.2265,5.26356,12.0159,5.0002,3.288,9999,9999,662.6,9999,1.8779,1.88304,1.88081,1.87803,1.87775,1.8799,1.87893,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.153,0.188,2,512.697,535.377,24.3798,26.2377,30,26.2116,26.1707,20.2449,31.4315,73.3229,24.3588,400.544,16.6849,100.086,100.415
ME034,plant_1,4,1568217424,496.9000001,20190911 10:57:04,10:57:04,1568217424,0.000575494,3.625452171,399.985,237.0424766,23.62677317,39.8677697,0.037595769,3.410600361,0.037367044,0.023374836,16.47136896,25.42359559,24.9486,3.169946755,51.14070092,1.672156835,3.269718257,1.49778992,-25.37927467,95.72391244,5.949259984,92.76526672,-0.041176496,0.046224224,3.454739142,0,0,1,0,52779.6234,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9388-20190911-11_00_50,176.6722308,527.065,0.664799919,0.5,84.16014426,3.625452171,27.97482854,0.746141368,0.05738505,0.01934676,DARK-9389-20190911-11_00_52,133.8,393.265,0.890983864,0.025273756,0.760458735,0.021651428,9388,300,300,300,7134.43,507.664,-0.00586225,-3.27704,99.851,84.16014426,0.8428573,0.1957146,1568217424,399.985,401.326,16.7764,16.5796,499.997,99.4732,0.199962,25.4692,24.9486,999.9,0,0,9982.5,0,6.42402,-1.34109,406.81,408.092,0.196777,398.833,401.326,16.5874,16.5796,1.6688,1.64922,14.6092,14.4266,99.851,0.899759,0.100241,0,176.628,4.99951,213.676,849.469,36,40.187,38.375,13:29:17,39.562,85.34,9.51,0,150,176.6722308,-4.15015386,-4.744581182,214.6849615,15,1568217348,10:55:47,5,1-Jan,0.189,401,17,0.62,0.26,399.9813333,0.183116883,0.011411495,1,1.496069568,0.004937449,0.000732344,1,2,2,2/2,2.96456,2.79145,0.09355,0.0965997,0.0879495,0.0903476,21024.3,27255.3,23499.3,27835.7,31270.2,33579,37543.6,40266.4,2.0087,2.07498,0.0486225,0,24.1503,999.9,70.498,24.642,22.0586,61.9536,31.9271,1,-0.0777973,-0.0988045,20.2262,5.26461,12.0159,4.99935,3.288,9999,9999,662.7,9999,1.8779,1.88305,1.88083,1.87804,1.87775,1.87991,1.87895,1.87485,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.152,0.189,2,512.91,534.369,24.5867,26.1982,30.0001,26.1852,26.1486,20.2774,31.0745,71.4511,24.6197,401.334,16.5713,100.11,100.426
ME034,plant_1,5,1568217575,647.4000001,20190911 10:59:34,10:59:34,1568217575,0.000456477,3.480449129,400.047,203.2073934,20.255182,39.87563964,0.02953061,3.418949129,0.029389637,0.018381133,16.50647736,25.5210894,25.0083,3.181251357,50.88454142,1.67075249,3.283418585,1.510498867,-20.13063277,97.93048337,6.075510674,100.3818386,-0.041304336,0.046367736,3.463224946,0,0,1,0,52924.39045,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9390-20190911-11_03_20,172.0809231,532.433,0.676802672,0.5,84.34494425,3.480449129,28.54244181,0.747949507,0.055540152,0.009069686,DARK-9391-20190911-11_03_23,134.2,398.233,0.904877489,0.011980787,0.773067079,0.010253481,9390,300,300,300,7134.76,509.384,-0.00586264,-4.31833,100.071,84.34494425,0.842851018,0.195702037,1568217575,400.047,401.321,16.7616,16.6055,500.005,99.4771,0.200287,25.5396,25.0083,999.9,0,0,10013.1,0,6.42402,-1.27472,406.866,408.098,0.156061,398.917,401.321,16.5826,16.6055,1.66739,1.65187,14.5962,14.4514,100.071,0.900001,0.0999989,0,171.997,4.99951,208.674,851.491,35.812,39.937,38.187,6:00:00,39.375,85.56,9.51,0,150,172.0809231,-0.473504262,0.497846139,208.5705385,15,1568217498,10:58:18,6,1-Jan,0.179,401,17,0.7,0.39,400.0074762,0.207428571,0.011978628,1,1.509827549,0.007338894,0.001044762,1,2,2,2/2,2.96462,2.79206,0.0935767,0.0966105,0.0879416,0.0904611,21028.3,27257.5,23504.3,27838.2,31277.2,33578.2,37551.6,40270.5,2.00925,2.0743,0.05164,0,24.1604,999.9,69.637,24.783,21.9712,61.5336,32.1114,1,-0.0802134,0.190221,20.2266,5.26416,12.0159,5.00105,3.28797,9999,9999,662.7,9999,1.8779,1.88305,1.88088,1.87805,1.87775,1.87994,1.87895,1.87488,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.13,0.179,2,512.972,533.55,24.4887,26.1559,30.0001,26.1522,26.118,20.2823,30.5068,69.582,24.4842,401.274,16.6453,100.131,100.436
ME034,plant_1,6,1568217725,797.9000001,20190911 11:02:05,11:02:05,1568217725,0.001309641,7.610668389,399.824,249.1176201,24.83085633,39.85254956,0.086334358,3.42177797,0.085142231,0.053319631,32.99197832,25.40981876,24.8642,3.154024941,50.50172463,1.65784828,3.282755771,1.496176662,-57.75515134,123.9671287,7.678745376,106.8827011,-0.041347684,0.046416398,3.466100254,0,0,1,0,52978.19909,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9392-20190911-11_05_51,185.3751154,487.217,0.619522481,0.5,168.4567156,7.610668389,52.18136119,0.715116673,0.0523265,0.102716038,DARK-9393-20190911-11_05_53,138.8,348.417,0.866323643,0.125595414,0.717105474,0.106261227,9392,300,300,300,7144.19,472.568,-0.00579612,0.10553,199.848,168.4567156,0.8429242,0.195848401,1568217725,399.824,402.653,16.6325,16.1846,500.019,99.4752,0.200031,25.5362,24.8642,999.9,0,0,10023.8,0,6.42402,-2.82904,406.586,409.277,0.447966,398.665,402.653,16.4405,16.1846,1.65452,1.60996,14.4762,14.0545,199.848,0.900011,0.0999889,0,185.37,4.99951,449.247,1739.05,35.812,39.75,38.062,3:00:00,39.312,175.37,19.48,0,150.1000001,185.3751154,1.76741881,6.540546989,448.6370385,15,1568217639,11:00:39,7,1-Jan,0.192,402,17,0.31,0.22,399.9727619,-1.152623377,0.060114894,0,1.487902515,0.040794551,0.004354195,1,1,2,1/2,2.96469,2.79187,0.0935356,0.0968564,0.08739,0.0887852,21033.3,27254.4,23508.7,27842.5,31302.6,33644.9,37559.1,40276.9,2.0101,2.07275,0.0481978,0,24.0727,999.9,68.746,24.934,21.8888,61.7637,31.9752,1,-0.082622,-0.958105,20.222,5.26506,12.0159,5.0015,3.288,9999,9999,662.8,9999,1.8779,1.88303,1.88087,1.87803,1.87775,1.87988,1.87892,1.87488,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.159,0.192,2,513.264,532.085,25.3779,26.1184,30.0001,26.1214,26.0874,20.3344,32.0949,67.3305,25.4564,402.906,16.1302,100.151,100.452
ME034,plant_1,7,1568217876,948.4000001,20190911 11:04:35,11:04:35,1568217876,0.000736445,7.74439995,399.973,135.8025843,13.5361029,39.86725078,0.048425263,3.408619204,0.04804629,0.030062733,33.0351634,25.53545776,24.999,3.179488025,51.46168639,1.689000385,3.282054095,1.49048764,-32.47724249,98.05725936,6.101311467,104.7164917,-0.04114618,0.046190192,3.452725488,0,0,1,0,52731.16347,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9394-20190911-11_08_21,185.7317692,497.32,0.626534687,0.5,168.6760156,7.74439995,52.84068735,0.72412129,0.0530513,0.080314486,DARK-9395-20190911-11_08_24,137.2,360.12,0.865234452,0.099839525,0.722908985,0.08480939,9394,300,300,300,7144.44,481.854,-0.00579631,1.22986,200.108,168.6760156,0.842924898,0.195849797,1568217876,399.973,402.769,16.9451,16.6933,499.991,99.4747,0.200155,25.5326,24.999,999.9,0,0,9975,0,6.42402,-2.78827,406.881,409.607,0.265829,398.822,402.769,16.7671,16.6933,1.687,1.66056,14.7774,14.5326,200.108,0.899987,0.100013,0,185.773,4.99951,449.232,1741.35,35.75,39.625,38,0:00:00,39.25,175.6,19.51,0,150,185.7317692,-1.374017093,0.052136735,448.9246538,15,1568217898,11:04:57,8,1-Jan,0.178,403,17,0.75,0.71,399.9865238,-0.273974026,0.018206799,1,1.497239288,-0.036136415,0.003865628,1,2,2,2/2,2.96465,2.79157,0.0935734,0.0968887,0.0886727,0.0908199,21036.5,27254.2,23513.2,27843.1,31264,33571.3,37566.2,40278.1,2.01012,2.0733,0.0485852,0,24.2014,999.9,67.855,25.065,21.7753,61.8236,32.1795,1,-0.0836433,1.00704,20.221,5.26132,12.0159,4.99855,3.28725,9999,9999,662.8,9999,1.87791,1.88304,1.88086,1.87803,1.87775,1.8799,1.87894,1.87486,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.151,0.178,2,512.984,532.205,23.4883,26.0873,29.9998,26.0907,26.0598,20.3534,29.2353,65.4558,23.497,402.748,16.6874,100.17,100.454
ME034,plant_1,8,1568218049,1121.4,20190911 11:07:28,11:07:28,1568218049,0.001637217,11.48137445,399.985,219.4136512,21.87045568,39.86923405,0.107818739,3.417785874,0.105964203,0.066391593,66.07677172,25.32950544,24.8589,3.153027448,50.79107562,1.650060096,3.248720519,1.502967353,-72.20126847,92.47992939,5.729848414,92.08528106,-0.041286516,0.046347731,3.462042589,0,0,1,0,52934.19422,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9396-20190911-11_11_14,205.7504615,404.195,0.490962378,0.5,337.2603015,11.48137445,82.79105984,0.66897166,0.037613251,0.329214859,DARK-9397-20190911-11_11_17,133.8,270.395,0.733906095,0.329812969,0.587296463,0.282542965,9396,300,300,300,7162.75,396.016,-0.00566114,4.47092,400.09,337.2603015,0.842961087,0.195922175,1568218049,399.985,404.206,16.5541,15.9941,499.998,99.4769,0.199923,25.3608,24.8589,999.9,0,0,10008.8,0,6.42402,-4.22021,406.718,410.776,0.559938,398.829,404.206,16.3741,15.9941,1.64675,1.59105,14.4034,13.8724,400.09,0.900051,0.0999488,0,205.211,4.99951,985.525,3520.35,36,39.562,38,22:29:17,39.312,355.6,39.49,0,172.8,205.7504615,-2.177299142,-11.00451284,986.5264615,15,1568217963,11:06:02,9,1-Jan,0.18,403,17,0.48,0.21,399.956619,0.572883117,0.029602889,0,1.492561322,0.043722006,0.004696833,1,1,2,1/2,2.96468,2.79165,0.0935786,0.0971534,0.0871416,0.0880318,21039.1,27247.8,23516.1,27844.7,31321.5,33675.2,37571.5,40280.1,2.0107,2.0712,0.055939,0,23.9402,999.9,66.805,25.216,21.6306,61.3837,32.0873,1,-0.0863415,-0.857459,20.2201,5.26222,12.0159,4.9995,3.28733,9999,9999,662.8,9999,1.87792,1.88304,1.88085,1.87805,1.87775,1.8799,1.87889,1.87487,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.156,0.18,2,513.185,530.421,25.0462,26.0693,30.0001,26.0703,26.0371,20.4091,31.8558,63.21,25.1183,404.21,15.9878,100.183,100.46
ME034,plant_1,9,1568218199,1271.9,20190911 11:09:59,11:09:59,1568218199,0.000955044,11.80854168,399.986,92.2152713,9.191592301,39.86875694,0.063162594,3.405949758,0.062519008,0.039131657,66.08341802,25.56475449,25.0081,3.181213427,51.94851387,1.695817127,3.264418943,1.4853963,-42.11744883,79.65503418,4.958137544,108.5791409,-0.041105344,0.046144349,3.450012268,0,0,1,0,52696.96148,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9398-20190911-11_13_45,202.9537308,400.01,0.492628357,0.5,337.2872444,11.80854168,83.07863059,0.667008325,0.038580242,0.343121422,DARK-9399-20190911-11_13_47,133.2,266.81,0.738564031,0.339680544,0.590501541,0.291429032,9398,300,300,300,7162.7,391.786,-0.00566107,3.09329,400.121,337.2872444,0.842963115,0.195926229,1568218199,399.986,404.227,17.0134,16.6868,499.867,99.4757,0.199681,25.4419,25.0081,999.9,0,0,9965,0,6.43254,-4.24066,406.909,411.086,0.326599,398.79,404.227,16.8404,16.6868,1.69242,1.65993,14.827,14.5267,400.121,0.89998,0.10002,0,202.758,4.99951,972.066,3520.55,36.062,39.625,38.125,22:29:17,39.437,355.6,39.52,0,150.1000001,202.9537308,-1.34369231,-10.82895724,972.9692692,15,1568218150,11:09:09,10,1-Jan,0.173,404,17,0.57,0.21,399.9826667,-0.286441558,0.018878896,1,1.495711053,-0.055021806,0.005839204,1,2,2,2/2,2.96437,2.79101,0.0935806,0.097169,0.0889689,0.0908058,21043.2,27249.6,23520.7,27846.9,31264.1,33576.9,37578.7,40284.2,2.0101,2.07163,0.0583008,0,24.0508,999.9,65.816,25.337,21.4634,62.0937,32.2997,1,-0.0871773,1.06446,20.2189,5.26177,12.0159,4.99985,3.28733,9999,9999,662.9,9999,1.87792,1.88307,1.88089,1.87805,1.87775,1.87992,1.87893,1.87489,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.196,0.173,2,512.521,530.464,23.2929,26.0393,29.9999,26.0448,26.0111,20.4223,28.0087,61.7263,23.2891,404.29,16.6349,100.203,100.469
ME034,plant_1,10,1568218350,1422.4,20190911 11:12:29,11:12:29,1568218350,0.001437714,13.59152031,399.965,160.9549269,16.04344067,39.86715332,0.094921856,3.415728209,0.093480402,0.058552937,97.99340813,25.33816777,24.8712,3.155342808,51.68716104,1.659356314,3.210383934,1.495986494,-63.40320929,53.42154925,3.308752783,91.32050087,-0.041255,0.046312351,3.459951141,0,0,1,0,52930.8264,MPF-9383-20190911-10_52_33,66.3,537.262,470.962,0.876596521,-1.204081897,MPF-9400-20190911-11_16_15,214.4311538,338.792,0.367071378,0.5,505.151033,13.59152031,92.71324279,0.615103072,0.029289462,0.585816666,DARK-9401-20190911-11_16_18,130.4,208.392,0.596764013,0.487806676,0.456383476,0.421414042,9400,300,300,300,7161.26,333.734,-0.00551212,4.3866,599.946,505.151033,0.841994168,0.193988336,1568218350,399.965,404.892,16.6474,16.1557,500.013,99.4765,0.200105,25.1613,24.8712,999.9,0,0,10001.2,0,6.42402,-4.92764,406.736,411.541,0.491669,398.812,404.892,16.4714,16.1557,1.65602,1.60711,14.4902,14.0272,599.946,0.932977,0.067023,0,213.657,4.99951,1536.53,5349.8,36.437,39.687,38.25,0:00:00,39.625,555.07,39.88,0,150.1000001,214.4311538,-5.451897435,-37.86358974,1541.237308,15,1568218263,11:11:03,11,1-Jan,0.176,404,17,0.37,0.23,399.9252857,0.549974026,0.030442988,0,1.491291287,0.022791003,0.002486571,1,1,2,1/2,2.96476,2.79175,0.0935888,0.0972935,0.0875348,0.0886933,21046.5,27249,23524.4,27850,31318.9,33658,37584.7,40288.6,2.01133,2.06978,0.0680573,0,23.7533,999.9,64.943,25.458,21.3308,61.8537,32.1394,1,-0.0912957,-0.275387,20.2216,5.26281,12.0159,5.001,3.288,9999,9999,662.9,9999,1.8779,1.88301,1.88086,1.87804,1.87775,1.87989,1.87893,1.87485,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.152,0.176,2,513.095,528.808,24.1485,26.0173,30,26.0163,25.9825,20.44,30.1649,60.2285,24.2306,404.864,16.2188,100.219,100.48
